Season,Region,Rating,Rank,Race
29,EU,2278,Silver,Terran
29,EU,2278,Silver,Random
29,EU,2278,Silver,Terran
29,EU,2277,Silver,Zerg
29,EU,2277,Silver,Protoss
29,EU,2276,Silver,Terran
29,EU,2276,Silver,Terran
29,EU,2276,Silver,Protoss
29,EU,2276,Silver,Zerg
29,EU,2275,Silver,Terran
29,EU,2275,Silver,Terran
29,EU,2275,Silver,Protoss
29,EU,2275,Silver,Protoss
29,EU,2275,Silver,Zerg
29,EU,2274,Silver,Random
29,EU,2274,Silver,Zerg
29,EU,2274,Silver,Terran
29,EU,2273,Silver,Protoss
29,EU,2273,Silver,Zerg
29,EU,2273,Silver,Terran
29,EU,2272,Silver,Zerg
29,EU,2272,Silver,Terran
29,EU,2272,Silver,Terran
29,EU,2272,Silver,Random
29,EU,2272,Silver,Protoss
29,EU,2271,Silver,Protoss
29,EU,2271,Silver,Terran
29,EU,2271,Silver,Zerg
29,EU,2271,Silver,Terran
29,EU,2271,Silver,Terran
29,EU,2271,Silver,Zerg
29,EU,2270,Silver,Protoss
29,EU,2270,Silver,Protoss
29,EU,2270,Silver,Terran
29,EU,2270,Silver,Zerg
29,EU,2269,Silver,Random
29,EU,2269,Silver,Protoss
29,EU,2269,Silver,Zerg
29,EU,2269,Silver,Terran
29,EU,2269,Silver,Zerg
29,EU,2269,Silver,Terran
29,EU,2268,Silver,Protoss
29,EU,2268,Silver,Protoss
29,EU,2268,Silver,Terran
29,EU,2267,Silver,Terran
29,EU,2267,Silver,Zerg
29,EU,2267,Silver,Protoss
29,EU,2266,Silver,Zerg
29,EU,2266,Silver,Terran
29,EU,2266,Silver,Protoss
29,EU,2266,Silver,Zerg
29,EU,2266,Silver,Zerg
29,EU,2264,Silver,Terran
29,EU,2264,Silver,Zerg
29,EU,2264,Silver,Terran
29,EU,2264,Silver,Terran
29,EU,2263,Silver,Random
29,EU,2263,Silver,Zerg
29,EU,2263,Silver,Zerg
29,EU,2262,Silver,Protoss
29,EU,2262,Silver,Random
29,EU,2261,Silver,Protoss
29,EU,2261,Silver,Terran
29,EU,2261,Silver,Protoss
29,EU,2261,Silver,Protoss
29,EU,2260,Silver,Zerg
29,EU,2260,Silver,Terran
29,EU,2259,Silver,Random
29,EU,2259,Silver,Protoss
29,EU,2259,Silver,Terran
29,EU,2258,Silver,Protoss
29,EU,2258,Silver,Zerg
29,EU,2258,Silver,Protoss
29,EU,2258,Silver,Random
29,EU,2257,Silver,Protoss
29,EU,2257,Silver,Protoss
29,EU,2256,Silver,Terran
29,EU,2256,Silver,Protoss
29,EU,2255,Silver,Zerg
29,EU,2255,Silver,Protoss
29,EU,2255,Silver,Terran
29,EU,2255,Silver,Terran
29,EU,2254,Silver,Random
29,EU,2254,Silver,Zerg
29,EU,2254,Silver,Terran
29,EU,2253,Silver,Protoss
29,EU,2253,Silver,Terran
29,EU,2252,Silver,Protoss
29,EU,2252,Silver,Zerg
29,EU,2252,Silver,Terran
29,EU,2251,Silver,Terran
29,EU,2251,Silver,Protoss
29,EU,2251,Silver,Terran
29,EU,2251,Silver,Random
29,EU,2250,Silver,Random
29,EU,2250,Silver,Zerg
29,EU,2250,Silver,Terran
29,EU,2250,Silver,Terran
29,EU,2250,Silver,Protoss
29,EU,2250,Silver,Zerg
29,EU,2248,Silver,Protoss
29,EU,2248,Silver,Terran
29,EU,2247,Silver,Protoss
29,EU,2247,Silver,Zerg
29,EU,2247,Silver,Terran
29,EU,2247,Silver,Protoss
29,EU,2247,Silver,Zerg
29,EU,2246,Silver,Protoss
29,EU,2246,Silver,Protoss
29,EU,2246,Silver,Random
29,EU,2245,Silver,Terran
29,EU,2244,Silver,Protoss
29,EU,2244,Silver,Terran
29,EU,2244,Silver,Zerg
29,EU,2244,Silver,Terran
29,EU,2244,Silver,Terran
29,EU,2244,Silver,Terran
29,EU,2243,Silver,Terran
29,EU,2242,Silver,Terran
29,EU,2242,Silver,Terran
29,EU,2242,Silver,Terran
29,EU,2242,Silver,Terran
29,EU,2241,Silver,Protoss
29,EU,2241,Silver,Protoss
