Season,Region,Rating,Rank,Race
31,US,1716,Bronze,Protoss
31,US,1715,Bronze,Random
31,US,1715,Bronze,Terran
31,US,1713,Bronze,Zerg
31,US,1711,Bronze,Terran
31,US,1705,Bronze,Terran
31,US,1701,Bronze,Terran
31,US,1696,Bronze,Terran
31,US,1692,Bronze,Terran
31,US,1690,Bronze,Protoss
31,US,1687,Bronze,Protoss
31,US,1682,Bronze,Zerg
31,US,1681,Bronze,Protoss
31,US,1679,Bronze,Protoss
31,US,1667,Bronze,Zerg
31,US,1660,Bronze,Protoss
31,US,1646,Bronze,Terran
31,US,1645,Bronze,Protoss
31,US,1634,Bronze,Terran
31,US,1627,Bronze,Random
31,US,1623,Bronze,Random
31,US,1607,Bronze,Random
31,US,1592,Bronze,Protoss
31,US,1591,Bronze,Terran
31,US,1585,Bronze,Terran
31,US,1583,Bronze,Zerg
31,US,1577,Bronze,Zerg
31,US,1567,Bronze,Terran
31,US,1562,Bronze,Random
31,US,1552,Bronze,Random
31,US,1550,Bronze,Random
31,US,1548,Bronze,Terran
31,US,1548,Bronze,Protoss
31,US,1489,Bronze,Random
31,US,1461,Bronze,Random
31,US,1444,Bronze,Terran
31,US,1427,Bronze,Terran
31,US,1402,Bronze,Terran
31,US,1265,Bronze,Protoss
31,US,1243,Bronze,Terran
31,US,1172,Bronze,Zerg
31,US,1072,Bronze,Random
31,US,928,Bronze,Random
