Season,Region,Rating,Rank,Race
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Protoss
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Protoss
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Protoss
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Protoss
31,US,4248,Diamond,Protoss
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Zerg
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Terran
31,US,4248,Diamond,Random
31,US,4248,Diamond,Terran
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Random
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Protoss
31,US,4247,Diamond,Random
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Random
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Random
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Protoss
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Terran
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Zerg
31,US,4247,Diamond,Terran
31,US,4246,Diamond,Terran
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Protoss
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Terran
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Protoss
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Terran
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Zerg
31,US,4246,Diamond,Zerg
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Random
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Zerg
31,US,4245,Diamond,Terran
31,US,4245,Diamond,Protoss
31,US,4245,Diamond,Zerg
31,US,4244,Diamond,Zerg
31,US,4244,Diamond,Protoss
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Protoss
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Random
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Zerg
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Terran
31,US,4244,Diamond,Zerg
31,US,4242,Diamond,Protoss
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Random
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Protoss
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Protoss
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Terran
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Zerg
31,US,4242,Diamond,Protoss
31,US,4242,Diamond,Terran
31,US,4241,Diamond,Protoss
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Protoss
31,US,4241,Diamond,Random
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Random
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Terran
31,US,4241,Diamond,Random
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Terran
31,US,4241,Diamond,Protoss
31,US,4241,Diamond,Terran
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Terran
31,US,4241,Diamond,Terran
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Zerg
31,US,4241,Diamond,Protoss
31,US,4240,Diamond,Terran
31,US,4240,Diamond,Zerg
31,US,4240,Diamond,Protoss
31,US,4240,Diamond,Random
31,US,4240,Diamond,Terran
31,US,4240,Diamond,Protoss
31,US,4240,Diamond,Zerg
31,US,4240,Diamond,Zerg
31,US,4240,Diamond,Zerg
31,US,4240,Diamond,Protoss
31,US,4240,Diamond,Protoss
31,US,4240,Diamond,Random
31,US,4240,Diamond,Zerg
31,US,4240,Diamond,Protoss
31,US,4240,Diamond,Terran
31,US,4240,Diamond,Random
31,US,4240,Diamond,Zerg
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Random
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Terran
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Protoss
31,US,4239,Diamond,Zerg
31,US,4239,Diamond,Terran
31,US,4238,Diamond,Random
31,US,4238,Diamond,Zerg
31,US,4238,Diamond,Zerg
31,US,4238,Diamond,Terran
31,US,4238,Diamond,Protoss
31,US,4238,Diamond,Zerg
31,US,4238,Diamond,Zerg
31,US,4238,Diamond,Random
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Terran
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Random
31,US,4236,Diamond,Protoss
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Zerg
31,US,4236,Diamond,Protoss
31,US,4236,Diamond,Protoss
31,US,4235,Diamond,Random
31,US,4235,Diamond,Random
31,US,4235,Diamond,Terran
31,US,4235,Diamond,Protoss
31,US,4235,Diamond,Zerg
31,US,4235,Diamond,Zerg
31,US,4235,Diamond,Protoss
31,US,4235,Diamond,Terran
31,US,4235,Diamond,Terran
31,US,4235,Diamond,Zerg
31,US,4235,Diamond,Protoss
31,US,4235,Diamond,Protoss
31,US,4235,Diamond,Zerg
31,US,4235,Diamond,Zerg
31,US,4235,Diamond,Random
31,US,4234,Diamond,Zerg
31,US,4234,Diamond,Protoss
31,US,4234,Diamond,Protoss
31,US,4234,Diamond,Terran
31,US,4234,Diamond,Random
31,US,4234,Diamond,Terran
31,US,4234,Diamond,Zerg
31,US,4234,Diamond,Random
31,US,4234,Diamond,Terran
31,US,4234,Diamond,Zerg
31,US,4234,Diamond,Random
31,US,4234,Diamond,Zerg
31,US,4234,Diamond,Random
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Protoss
31,US,4233,Diamond,Protoss
31,US,4233,Diamond,Terran
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Random
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Protoss
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Random
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Protoss
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Zerg
31,US,4233,Diamond,Protoss
31,US,4232,Diamond,Protoss
31,US,4232,Diamond,Terran
