Season,Region,Rating,Rank,Race
32,CN,4249,Diamond,Protoss
32,CN,4249,Diamond,Zerg
32,CN,4249,Diamond,Random
32,CN,4249,Diamond,Zerg
32,CN,4249,Diamond,Protoss
32,CN,4249,Diamond,Terran
32,CN,4249,Diamond,Zerg
32,CN,4248,Diamond,Terran
32,CN,4248,Diamond,Protoss
32,CN,4248,Diamond,Zerg
32,CN,4248,Diamond,Zerg
32,CN,4248,Diamond,Protoss
32,CN,4248,Diamond,Terran
32,CN,4248,Diamond,Terran
32,CN,4248,Diamond,Protoss
32,CN,4248,Diamond,Protoss
32,CN,4248,Diamond,Terran
32,CN,4248,Diamond,Terran
32,CN,4247,Diamond,Zerg
32,CN,4247,Diamond,Terran
32,CN,4247,Diamond,Protoss
32,CN,4247,Diamond,Zerg
32,CN,4247,Diamond,Protoss
32,CN,4247,Diamond,Terran
32,CN,4246,Diamond,Terran
32,CN,4246,Diamond,Random
32,CN,4246,Diamond,Terran
32,CN,4246,Diamond,Terran
32,CN,4246,Diamond,Protoss
32,CN,4246,Diamond,Protoss
32,CN,4246,Diamond,Terran
32,CN,4246,Diamond,Zerg
32,CN,4245,Diamond,Zerg
32,CN,4245,Diamond,Zerg
32,CN,4245,Diamond,Protoss
32,CN,4245,Diamond,Protoss
32,CN,4245,Diamond,Terran
32,CN,4245,Diamond,Terran
32,CN,4244,Diamond,Zerg
32,CN,4244,Diamond,Terran
32,CN,4244,Diamond,Protoss
32,CN,4244,Diamond,Terran
32,CN,4244,Diamond,Protoss
32,CN,4244,Diamond,Terran
32,CN,4244,Diamond,Terran
32,CN,4244,Diamond,Terran
32,CN,4244,Diamond,Protoss
32,CN,4243,Diamond,Protoss
32,CN,4243,Diamond,Random
32,CN,4243,Diamond,Terran
32,CN,4243,Diamond,Zerg
32,CN,4243,Diamond,Terran
32,CN,4242,Diamond,Terran
32,CN,4242,Diamond,Protoss
32,CN,4242,Diamond,Terran
32,CN,4242,Diamond,Terran
32,CN,4242,Diamond,Terran
32,CN,4242,Diamond,Protoss
32,CN,4241,Diamond,Zerg
32,CN,4241,Diamond,Zerg
32,CN,4241,Diamond,Zerg
32,CN,4241,Diamond,Zerg
32,CN,4240,Diamond,Protoss
32,CN,4240,Diamond,Zerg
32,CN,4240,Diamond,Terran
32,CN,4240,Diamond,Terran
32,CN,4240,Diamond,Terran
32,CN,4240,Diamond,Terran
32,CN,4240,Diamond,Zerg
32,CN,4239,Diamond,Terran
32,CN,4239,Diamond,Terran
32,CN,4239,Diamond,Terran
32,CN,4239,Diamond,Zerg
32,CN,4239,Diamond,Terran
32,CN,4239,Diamond,Random
32,CN,4239,Diamond,Protoss
32,CN,4239,Diamond,Terran
32,CN,4238,Diamond,Terran
