Season,Region,Rating,Rank,Race
32,EU,4249,Diamond,Protoss
32,EU,4249,Diamond,Protoss
32,EU,4249,Diamond,Random
32,EU,4249,Diamond,Terran
32,EU,4249,Diamond,Terran
32,EU,4249,Diamond,Zerg
32,EU,4249,Diamond,Zerg
32,EU,4247,Diamond,Terran
32,EU,4247,Diamond,Protoss
32,EU,4247,Diamond,Protoss
32,EU,4247,Diamond,Terran
32,EU,4247,Diamond,Random
32,EU,4247,Diamond,Protoss
32,EU,4247,Diamond,Terran
32,EU,4247,Diamond,Protoss
32,EU,4247,Diamond,Random
32,EU,4247,Diamond,Terran
32,EU,4247,Diamond,Zerg
32,EU,4247,Diamond,Random
32,EU,4247,Diamond,Protoss
32,EU,4247,Diamond,Random
32,EU,4247,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Zerg
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Protoss
32,EU,4246,Diamond,Zerg
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Zerg
32,EU,4246,Diamond,Protoss
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Terran
32,EU,4246,Diamond,Random
32,EU,4246,Diamond,Protoss
32,EU,4246,Diamond,Protoss
32,EU,4246,Diamond,Terran
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Random
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Protoss
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Random
32,EU,4245,Diamond,Protoss
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Random
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Terran
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Zerg
32,EU,4245,Diamond,Zerg
32,EU,4244,Diamond,Random
32,EU,4244,Diamond,Protoss
32,EU,4244,Diamond,Terran
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Terran
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Terran
32,EU,4244,Diamond,Terran
32,EU,4244,Diamond,Protoss
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Protoss
32,EU,4244,Diamond,Terran
32,EU,4244,Diamond,Protoss
32,EU,4244,Diamond,Zerg
32,EU,4244,Diamond,Protoss
32,EU,4243,Diamond,Protoss
32,EU,4243,Diamond,Protoss
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Protoss
32,EU,4243,Diamond,Terran
32,EU,4243,Diamond,Zerg
32,EU,4243,Diamond,Terran
32,EU,4242,Diamond,Zerg
32,EU,4242,Diamond,Random
32,EU,4242,Diamond,Protoss
32,EU,4242,Diamond,Protoss
32,EU,4242,Diamond,Zerg
32,EU,4242,Diamond,Protoss
32,EU,4242,Diamond,Terran
32,EU,4242,Diamond,Terran
32,EU,4242,Diamond,Zerg
32,EU,4242,Diamond,Zerg
32,EU,4242,Diamond,Terran
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Random
32,EU,4240,Diamond,Zerg
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Protoss
32,EU,4240,Diamond,Protoss
32,EU,4240,Diamond,Zerg
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Protoss
32,EU,4240,Diamond,Protoss
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Zerg
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Terran
32,EU,4240,Diamond,Zerg
32,EU,4239,Diamond,Protoss
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Terran
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Terran
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Protoss
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Terran
32,EU,4239,Diamond,Protoss
32,EU,4239,Diamond,Zerg
32,EU,4239,Diamond,Terran
32,EU,4239,Diamond,Zerg
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Terran
32,EU,4238,Diamond,Terran
32,EU,4238,Diamond,Protoss
32,EU,4238,Diamond,Random
32,EU,4238,Diamond,Protoss
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Terran
32,EU,4238,Diamond,Terran
32,EU,4238,Diamond,Random
32,EU,4238,Diamond,Zerg
32,EU,4238,Diamond,Protoss
32,EU,4238,Diamond,Protoss
32,EU,4238,Diamond,Terran
32,EU,4238,Diamond,Protoss
32,EU,4237,Diamond,Random
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Random
32,EU,4237,Diamond,Protoss
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Random
32,EU,4237,Diamond,Protoss
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Terran
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Zerg
32,EU,4237,Diamond,Protoss
32,EU,4236,Diamond,Random
32,EU,4236,Diamond,Protoss
32,EU,4236,Diamond,Protoss
32,EU,4236,Diamond,Protoss
32,EU,4236,Diamond,Random
32,EU,4236,Diamond,Zerg
32,EU,4236,Diamond,Protoss
32,EU,4236,Diamond,Terran
32,EU,4236,Diamond,Zerg
32,EU,4236,Diamond,Terran
32,EU,4236,Diamond,Terran
32,EU,4236,Diamond,Terran
32,EU,4236,Diamond,Terran
32,EU,4236,Diamond,Terran
32,EU,4235,Diamond,Terran
32,EU,4235,Diamond,Random
32,EU,4235,Diamond,Zerg
32,EU,4235,Diamond,Protoss
32,EU,4235,Diamond,Random
32,EU,4235,Diamond,Terran
32,EU,4235,Diamond,Terran
32,EU,4235,Diamond,Zerg
32,EU,4235,Diamond,Zerg
32,EU,4235,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Protoss
32,EU,4233,Diamond,Protoss
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Protoss
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Terran
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Terran
32,EU,4233,Diamond,Random
32,EU,4233,Diamond,Terran
32,EU,4233,Diamond,Protoss
32,EU,4233,Diamond,Random
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Protoss
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Terran
32,EU,4233,Diamond,Zerg
32,EU,4233,Diamond,Terran
32,EU,4232,Diamond,Protoss
32,EU,4232,Diamond,Zerg
32,EU,4232,Diamond,Terran
32,EU,4232,Diamond,Terran
32,EU,4232,Diamond,Zerg
32,EU,4232,Diamond,Terran
