Season,Region,Rating,Rank,Race
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Zerg
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Zerg
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Random
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Protoss
33,CN,2679,Gold,Random
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Terran
33,CN,2679,Gold,Terran
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Zerg
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Zerg
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Protoss
33,CN,2678,Gold,Protoss
33,CN,2678,Gold,Protoss
33,CN,2678,Gold,Protoss
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Protoss
33,CN,2678,Gold,Zerg
33,CN,2678,Gold,Terran
33,CN,2678,Gold,Protoss
33,CN,2677,Gold,Zerg
33,CN,2677,Gold,Zerg
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Random
33,CN,2677,Gold,Random
33,CN,2677,Gold,Protoss
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Zerg
33,CN,2677,Gold,Protoss
33,CN,2677,Gold,Protoss
33,CN,2677,Gold,Zerg
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Random
33,CN,2677,Gold,Protoss
33,CN,2677,Gold,Zerg
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Protoss
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Terran
33,CN,2677,Gold,Zerg
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Zerg
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Zerg
33,CN,2675,Gold,Zerg
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Protoss
33,CN,2675,Gold,Terran
33,CN,2675,Gold,Protoss
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Zerg
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Zerg
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Zerg
33,CN,2674,Gold,Zerg
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Zerg
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Protoss
33,CN,2674,Gold,Terran
33,CN,2674,Gold,Terran
33,CN,2673,Gold,Protoss
33,CN,2673,Gold,Zerg
33,CN,2673,Gold,Protoss
33,CN,2673,Gold,Terran
33,CN,2673,Gold,Terran
33,CN,2673,Gold,Protoss
33,CN,2673,Gold,Terran
33,CN,2673,Gold,Terran
33,CN,2673,Gold,Terran
33,CN,2673,Gold,Protoss
