Season,Region,Rating,Rank,Race
33,KR,2679,Gold,Terran
33,KR,2679,Gold,Terran
33,KR,2679,Gold,Zerg
33,KR,2679,Gold,Protoss
33,KR,2679,Gold,Protoss
33,KR,2679,Gold,Protoss
33,KR,2679,Gold,Protoss
33,KR,2679,Gold,Protoss
33,KR,2679,Gold,Protoss
33,KR,2678,Gold,Terran
33,KR,2678,Gold,Terran
33,KR,2678,Gold,Protoss
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Protoss
33,KR,2678,Gold,Random
33,KR,2678,Gold,Terran
33,KR,2678,Gold,Terran
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Protoss
33,KR,2678,Gold,Protoss
33,KR,2678,Gold,Protoss
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Zerg
33,KR,2678,Gold,Protoss
33,KR,2677,Gold,Random
33,KR,2677,Gold,Protoss
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Zerg
33,KR,2677,Gold,Protoss
33,KR,2677,Gold,Protoss
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Zerg
33,KR,2677,Gold,Zerg
33,KR,2677,Gold,Terran
33,KR,2677,Gold,Terran
33,KR,2676,Gold,Protoss
33,KR,2676,Gold,Protoss
33,KR,2676,Gold,Zerg
33,KR,2676,Gold,Terran
33,KR,2676,Gold,Terran
33,KR,2676,Gold,Terran
33,KR,2676,Gold,Terran
33,KR,2676,Gold,Zerg
33,KR,2676,Gold,Zerg
33,KR,2676,Gold,Protoss
33,KR,2676,Gold,Zerg
33,KR,2676,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Protoss
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Protoss
33,KR,2675,Gold,Zerg
33,KR,2675,Gold,Protoss
33,KR,2675,Gold,Zerg
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Terran
33,KR,2675,Gold,Protoss
33,KR,2675,Gold,Zerg
33,KR,2675,Gold,Zerg
33,KR,2675,Gold,Terran
33,KR,2674,Gold,Terran
33,KR,2674,Gold,Random
33,KR,2672,Gold,Zerg
