Season,Region,Rating,Rank,Race
34,CN,2279,Silver,Terran
34,CN,2279,Silver,Protoss
34,CN,2279,Silver,Zerg
34,CN,2279,Silver,Zerg
34,CN,2279,Silver,Random
34,CN,2278,Silver,Zerg
34,CN,2278,Silver,Terran
34,CN,2278,Silver,Protoss
34,CN,2278,Silver,Random
34,CN,2278,Silver,Protoss
34,CN,2278,Silver,Terran
34,CN,2278,Silver,Terran
34,CN,2278,Silver,Protoss
34,CN,2278,Silver,Protoss
34,CN,2278,Silver,Terran
34,CN,2278,Silver,Terran
34,CN,2277,Silver,Protoss
34,CN,2277,Silver,Protoss
34,CN,2277,Silver,Terran
34,CN,2277,Silver,Terran
34,CN,2277,Silver,Zerg
34,CN,2276,Silver,Terran
34,CN,2276,Silver,Zerg
34,CN,2276,Silver,Terran
34,CN,2275,Silver,Protoss
34,CN,2275,Silver,Terran
34,CN,2275,Silver,Terran
34,CN,2275,Silver,Protoss
34,CN,2274,Silver,Terran
34,CN,2274,Silver,Zerg
34,CN,2274,Silver,Protoss
34,CN,2274,Silver,Zerg
34,CN,2274,Silver,Zerg
34,CN,2274,Silver,Protoss
34,CN,2273,Silver,Protoss
34,CN,2273,Silver,Protoss
34,CN,2273,Silver,Protoss
34,CN,2273,Silver,Zerg
34,CN,2273,Silver,Terran
34,CN,2273,Silver,Terran
34,CN,2272,Silver,Zerg
34,CN,2272,Silver,Terran
34,CN,2272,Silver,Terran
34,CN,2272,Silver,Terran
34,CN,2271,Silver,Zerg
34,CN,2271,Silver,Terran
34,CN,2271,Silver,Terran
34,CN,2270,Silver,Terran
34,CN,2270,Silver,Zerg
34,CN,2268,Silver,Terran
34,CN,2268,Silver,Zerg
34,CN,2268,Silver,Protoss
34,CN,2268,Silver,Terran
34,CN,2268,Silver,Terran
34,CN,2268,Silver,Terran
34,CN,2268,Silver,Terran
34,CN,2268,Silver,Terran
34,CN,2267,Silver,Terran
34,CN,2267,Silver,Protoss
34,CN,2267,Silver,Terran
34,CN,2267,Silver,Terran
34,CN,2267,Silver,Zerg
34,CN,2266,Silver,Terran
34,CN,2266,Silver,Terran
34,CN,2266,Silver,Random
34,CN,2265,Silver,Terran
34,CN,2265,Silver,Terran
34,CN,2265,Silver,Terran
34,CN,2265,Silver,Terran
34,CN,2265,Silver,Zerg
34,CN,2265,Silver,Protoss
34,CN,2264,Silver,Protoss
34,CN,2264,Silver,Terran
34,CN,2264,Silver,Protoss
34,CN,2263,Silver,Terran
34,CN,2263,Silver,Terran
34,CN,2263,Silver,Protoss
34,CN,2263,Silver,Terran
34,CN,2263,Silver,Terran
34,CN,2263,Silver,Terran
34,CN,2262,Silver,Zerg
34,CN,2262,Silver,Protoss
34,CN,2261,Silver,Protoss
34,CN,2261,Silver,Terran
34,CN,2261,Silver,Zerg
34,CN,2261,Silver,Protoss
34,CN,2261,Silver,Protoss
