Season,Region,Rating,Rank,Race
36,EU,4799,Master,Terran
36,EU,4799,Master,Protoss
36,EU,4799,Master,Terran
36,EU,4799,Master,Zerg
36,EU,4799,Master,Terran
36,EU,4799,Master,Protoss
36,EU,4798,Master,Protoss
36,EU,4798,Master,Protoss
36,EU,4798,Master,Terran
36,EU,4798,Master,Terran
36,EU,4798,Master,Terran
36,EU,4798,Master,Protoss
36,EU,4798,Master,Terran
36,EU,4798,Master,Zerg
36,EU,4798,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Terran
36,EU,4797,Master,Protoss
36,EU,4797,Master,Terran
36,EU,4796,Master,Protoss
36,EU,4796,Master,Zerg
36,EU,4796,Master,Terran
36,EU,4796,Master,Random
36,EU,4796,Master,Random
36,EU,4796,Master,Zerg
36,EU,4795,Master,Terran
36,EU,4795,Master,Terran
36,EU,4795,Master,Terran
36,EU,4795,Master,Zerg
36,EU,4795,Master,Terran
36,EU,4795,Master,Protoss
36,EU,4795,Master,Terran
36,EU,4795,Master,Terran
36,EU,4795,Master,Zerg
36,EU,4795,Master,Zerg
36,EU,4795,Master,Zerg
36,EU,4794,Master,Terran
36,EU,4794,Master,Terran
36,EU,4794,Master,Terran
36,EU,4794,Master,Zerg
36,EU,4794,Master,Protoss
36,EU,4794,Master,Zerg
36,EU,4793,Master,Terran
36,EU,4793,Master,Terran
36,EU,4793,Master,Terran
36,EU,4792,Master,Protoss
36,EU,4792,Master,Terran
36,EU,4792,Master,Protoss
36,EU,4792,Master,Protoss
36,EU,4792,Master,Protoss
36,EU,4792,Master,Zerg
36,EU,4792,Master,Terran
36,EU,4792,Master,Terran
36,EU,4792,Master,Zerg
36,EU,4792,Master,Zerg
36,EU,4792,Master,Protoss
36,EU,4791,Master,Random
36,EU,4791,Master,Terran
36,EU,4791,Master,Zerg
36,EU,4791,Master,Zerg
36,EU,4791,Master,Zerg
36,EU,4791,Master,Zerg
36,EU,4791,Master,Zerg
36,EU,4790,Master,Terran
36,EU,4790,Master,Terran
36,EU,4790,Master,Terran
36,EU,4790,Master,Zerg
36,EU,4790,Master,Zerg
36,EU,4790,Master,Terran
36,EU,4789,Master,Terran
36,EU,4789,Master,Terran
36,EU,4789,Master,Zerg
36,EU,4788,Master,Protoss
36,EU,4788,Master,Zerg
36,EU,4788,Master,Zerg
36,EU,4788,Master,Terran
36,EU,4788,Master,Zerg
36,EU,4788,Master,Protoss
36,EU,4787,Master,Terran
36,EU,4787,Master,Terran
36,EU,4787,Master,Terran
36,EU,4787,Master,Zerg
36,EU,4787,Master,Protoss
36,EU,4787,Master,Protoss
36,EU,4787,Master,Protoss
36,EU,4787,Master,Zerg
36,EU,4786,Master,Terran
36,EU,4786,Master,Protoss
36,EU,4786,Master,Protoss
36,EU,4786,Master,Zerg
36,EU,4786,Master,Random
36,EU,4786,Master,Zerg
36,EU,4785,Master,Protoss
36,EU,4785,Master,Terran
36,EU,4785,Master,Terran
36,EU,4785,Master,Terran
36,EU,4783,Master,Terran
36,EU,4783,Master,Random
36,EU,4783,Master,Random
36,EU,4783,Master,Terran
36,EU,4783,Master,Protoss
36,EU,4783,Master,Zerg
36,EU,4783,Master,Protoss
36,EU,4782,Master,Zerg
36,EU,4782,Master,Zerg
36,EU,4782,Master,Zerg
36,EU,4782,Master,Random
36,EU,4782,Master,Protoss
36,EU,4782,Master,Zerg
36,EU,4781,Master,Protoss
36,EU,4781,Master,Zerg
36,EU,4781,Master,Terran
36,EU,4781,Master,Terran
36,EU,4781,Master,Protoss
36,EU,4781,Master,Protoss
36,EU,4781,Master,Random
36,EU,4781,Master,Zerg
36,EU,4781,Master,Terran
36,EU,4781,Master,Protoss
36,EU,4781,Master,Zerg
36,EU,4780,Master,Zerg
36,EU,4780,Master,Zerg
36,EU,4779,Master,Terran
36,EU,4779,Master,Zerg
36,EU,4779,Master,Zerg
36,EU,4779,Master,Zerg
36,EU,4779,Master,Protoss
36,EU,4779,Master,Terran
36,EU,4779,Master,Zerg
36,EU,4779,Master,Zerg
36,EU,4778,Master,Random
36,EU,4778,Master,Protoss
36,EU,4778,Master,Terran
36,EU,4778,Master,Terran
36,EU,4778,Master,Zerg
36,EU,4777,Master,Terran
36,EU,4777,Master,Terran
36,EU,4777,Master,Zerg
36,EU,4777,Master,Random
36,EU,4777,Master,Zerg
36,EU,4777,Master,Zerg
36,EU,4777,Master,Protoss
36,EU,4777,Master,Random
36,EU,4777,Master,Zerg
36,EU,4777,Master,Protoss
36,EU,4777,Master,Protoss
36,EU,4777,Master,Random
36,EU,4776,Master,Terran
36,EU,4776,Master,Zerg
36,EU,4776,Master,Zerg
36,EU,4776,Master,Protoss
36,EU,4776,Master,Protoss
36,EU,4776,Master,Random
36,EU,4776,Master,Terran
