Season,Region,Rating,Rank,Race
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Random
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Random
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Random
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Random
37,CN,3119,Platinum,Terran
37,CN,3119,Platinum,Random
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Zerg
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Protoss
37,CN,3119,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Random
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Random
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Random
37,CN,3117,Platinum,Protoss
37,CN,3117,Platinum,Zerg
37,CN,3117,Platinum,Terran
37,CN,3117,Platinum,Protoss
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Zerg
37,CN,3116,Platinum,Terran
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Protoss
37,CN,3116,Platinum,Random
37,CN,3116,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Random
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Protoss
37,CN,3114,Platinum,Terran
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3114,Platinum,Zerg
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Random
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Protoss
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Random
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Protoss
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Protoss
37,CN,3113,Platinum,Protoss
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Zerg
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3113,Platinum,Terran
37,CN,3111,Platinum,Protoss
37,CN,3111,Platinum,Random
37,CN,3111,Platinum,Terran
37,CN,3111,Platinum,Terran
37,CN,3111,Platinum,Zerg
37,CN,3111,Platinum,Protoss
37,CN,3111,Platinum,Zerg
37,CN,3111,Platinum,Terran
37,CN,3111,Platinum,Protoss
37,CN,3111,Platinum,Zerg
