Season,Region,Rating,Rank,Race
37,EU,1719,Bronze,Terran
37,EU,1719,Bronze,Protoss
37,EU,1719,Bronze,Terran
37,EU,1718,Bronze,Terran
37,EU,1718,Bronze,Zerg
37,EU,1718,Bronze,Zerg
37,EU,1717,Bronze,Terran
37,EU,1717,Bronze,Zerg
37,EU,1717,Bronze,Terran
37,EU,1717,Bronze,Terran
37,EU,1716,Bronze,Zerg
37,EU,1716,Bronze,Terran
37,EU,1716,Bronze,Terran
37,EU,1716,Bronze,Zerg
37,EU,1716,Bronze,Terran
37,EU,1715,Bronze,Terran
37,EU,1715,Bronze,Protoss
37,EU,1715,Bronze,Terran
37,EU,1714,Bronze,Terran
37,EU,1714,Bronze,Random
37,EU,1714,Bronze,Terran
37,EU,1713,Bronze,Protoss
37,EU,1713,Bronze,Protoss
37,EU,1712,Bronze,Terran
37,EU,1712,Bronze,Terran
37,EU,1712,Bronze,Terran
37,EU,1712,Bronze,Terran
37,EU,1711,Bronze,Terran
37,EU,1711,Bronze,Terran
37,EU,1711,Bronze,Terran
37,EU,1711,Bronze,Terran
37,EU,1710,Bronze,Protoss
37,EU,1710,Bronze,Terran
37,EU,1709,Bronze,Zerg
37,EU,1709,Bronze,Terran
37,EU,1708,Bronze,Random
37,EU,1708,Bronze,Terran
37,EU,1706,Bronze,Zerg
37,EU,1706,Bronze,Terran
37,EU,1706,Bronze,Zerg
37,EU,1706,Bronze,Terran
37,EU,1705,Bronze,Terran
37,EU,1705,Bronze,Random
37,EU,1705,Bronze,Terran
37,EU,1705,Bronze,Zerg
37,EU,1705,Bronze,Terran
37,EU,1705,Bronze,Terran
37,EU,1704,Bronze,Terran
37,EU,1703,Bronze,Zerg
37,EU,1701,Bronze,Zerg
37,EU,1700,Bronze,Protoss
37,EU,1700,Bronze,Terran
37,EU,1700,Bronze,Terran
37,EU,1699,Bronze,Terran
37,EU,1699,Bronze,Protoss
37,EU,1698,Bronze,Terran
37,EU,1698,Bronze,Terran
37,EU,1698,Bronze,Protoss
37,EU,1697,Bronze,Protoss
37,EU,1696,Bronze,Terran
37,EU,1696,Bronze,Random
37,EU,1696,Bronze,Zerg
37,EU,1696,Bronze,Terran
37,EU,1696,Bronze,Terran
37,EU,1695,Bronze,Zerg
37,EU,1695,Bronze,Terran
37,EU,1695,Bronze,Zerg
37,EU,1695,Bronze,Terran
37,EU,1695,Bronze,Random
37,EU,1694,Bronze,Terran
