Season,Region,Rating,Rank,Race
37,KR,1719,Bronze,Protoss
37,KR,1718,Bronze,Zerg
37,KR,1717,Bronze,Zerg
37,KR,1716,Bronze,Protoss
37,KR,1712,Bronze,Random
37,KR,1710,Bronze,Terran
37,KR,1706,Bronze,Zerg
37,KR,1703,Bronze,Terran
37,KR,1701,Bronze,Terran
37,KR,1700,Bronze,Terran
37,KR,1699,Bronze,Protoss
37,KR,1693,Bronze,Terran
37,KR,1686,Bronze,Zerg
37,KR,1682,Bronze,Terran
37,KR,1661,Bronze,Zerg
37,KR,1655,Bronze,Zerg
37,KR,1652,Bronze,Terran
37,KR,1649,Bronze,Zerg
37,KR,1642,Bronze,Zerg
37,KR,1638,Bronze,Terran
37,KR,1624,Bronze,Random
37,KR,1613,Bronze,Zerg
37,KR,1612,Bronze,Protoss
37,KR,1605,Bronze,Random
37,KR,1591,Bronze,Protoss
37,KR,1590,Bronze,Terran
37,KR,1583,Bronze,Zerg
37,KR,1556,Bronze,Random
37,KR,1544,Bronze,Protoss
37,KR,1532,Bronze,Protoss
37,KR,1497,Bronze,Zerg
37,KR,1483,Bronze,Terran
37,KR,1437,Bronze,Terran
37,KR,1262,Bronze,Random
37,KR,1261,Bronze,Protoss
37,KR,1127,Bronze,Terran
37,KR,83,Bronze,Terran
