Season,Region,Rating,Rank,Race
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Zerg
42,EU,3119,Platinum,Random
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Terran
42,EU,3119,Platinum,Protoss
42,EU,3119,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Random
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Random
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Zerg
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Protoss
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Random
42,EU,3118,Platinum,Terran
42,EU,3118,Platinum,Terran
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Terran
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Random
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Protoss
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Zerg
42,EU,3116,Platinum,Terran
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Random
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Random
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Random
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Terran
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Zerg
42,EU,3115,Platinum,Protoss
42,EU,3115,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Random
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Random
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Random
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Random
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Random
42,EU,3113,Platinum,Terran
42,EU,3113,Platinum,Protoss
42,EU,3113,Platinum,Zerg
42,EU,3113,Platinum,Protoss
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Random
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Random
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Random
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Random
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Protoss
42,EU,3112,Platinum,Terran
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Zerg
42,EU,3112,Platinum,Zerg
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Terran
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Random
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Protoss
42,EU,3110,Platinum,Zerg
42,EU,3110,Platinum,Random
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Terran
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Zerg
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Protoss
42,EU,3109,Platinum,Zerg
