Season,Region,Rating,Rank,Race
42,KR,4249,Diamond,Terran
42,KR,4249,Diamond,Protoss
42,KR,4249,Diamond,Zerg
42,KR,4249,Diamond,Terran
42,KR,4249,Diamond,Protoss
42,KR,4249,Diamond,Terran
42,KR,4249,Diamond,Protoss
42,KR,4249,Diamond,Zerg
42,KR,4249,Diamond,Zerg
42,KR,4249,Diamond,Protoss
42,KR,4248,Diamond,Terran
42,KR,4248,Diamond,Terran
42,KR,4248,Diamond,Zerg
42,KR,4248,Diamond,Zerg
42,KR,4248,Diamond,Terran
42,KR,4248,Diamond,Terran
42,KR,4248,Diamond,Terran
42,KR,4247,Diamond,Terran
42,KR,4247,Diamond,Protoss
42,KR,4246,Diamond,Protoss
42,KR,4246,Diamond,Protoss
42,KR,4246,Diamond,Terran
42,KR,4246,Diamond,Terran
42,KR,4245,Diamond,Zerg
42,KR,4245,Diamond,Random
42,KR,4245,Diamond,Zerg
42,KR,4244,Diamond,Random
42,KR,4244,Diamond,Terran
42,KR,4244,Diamond,Zerg
42,KR,4244,Diamond,Terran
42,KR,4244,Diamond,Terran
42,KR,4244,Diamond,Protoss
42,KR,4244,Diamond,Protoss
42,KR,4244,Diamond,Protoss
42,KR,4244,Diamond,Zerg
42,KR,4244,Diamond,Terran
42,KR,4244,Diamond,Terran
42,KR,4243,Diamond,Protoss
42,KR,4243,Diamond,Protoss
42,KR,4243,Diamond,Zerg
42,KR,4243,Diamond,Terran
42,KR,4243,Diamond,Zerg
42,KR,4243,Diamond,Terran
42,KR,4243,Diamond,Zerg
42,KR,4242,Diamond,Terran
42,KR,4242,Diamond,Zerg
42,KR,4242,Diamond,Protoss
42,KR,4242,Diamond,Protoss
42,KR,4242,Diamond,Random
42,KR,4242,Diamond,Protoss
42,KR,4242,Diamond,Protoss
42,KR,4242,Diamond,Zerg
42,KR,4241,Diamond,Zerg
42,KR,4241,Diamond,Terran
42,KR,4241,Diamond,Terran
42,KR,4241,Diamond,Terran
42,KR,4239,Diamond,Terran
42,KR,4239,Diamond,Random
42,KR,4239,Diamond,Terran
42,KR,4239,Diamond,Zerg
42,KR,4239,Diamond,Protoss
42,KR,4239,Diamond,Random
42,KR,4239,Diamond,Terran
42,KR,4239,Diamond,Random
42,KR,4238,Diamond,Terran
42,KR,4238,Diamond,Terran
42,KR,4238,Diamond,Terran
42,KR,4238,Diamond,Protoss
42,KR,4238,Diamond,Protoss
42,KR,4238,Diamond,Terran
42,KR,4238,Diamond,Zerg
42,KR,4237,Diamond,Zerg
42,KR,4237,Diamond,Zerg
42,KR,4237,Diamond,Zerg
42,KR,4237,Diamond,Terran
42,KR,4237,Diamond,Terran
42,KR,4236,Diamond,Terran
42,KR,4236,Diamond,Protoss
42,KR,4236,Diamond,Terran
42,KR,4236,Diamond,Terran
42,KR,4236,Diamond,Terran
42,KR,4236,Diamond,Terran
42,KR,4236,Diamond,Protoss
42,KR,4236,Diamond,Protoss
42,KR,4235,Diamond,Zerg
42,KR,4235,Diamond,Terran
42,KR,4235,Diamond,Random
42,KR,4235,Diamond,Protoss
42,KR,4235,Diamond,Protoss
42,KR,4235,Diamond,Terran
42,KR,4235,Diamond,Terran
42,KR,4234,Diamond,Zerg
42,KR,4234,Diamond,Zerg
42,KR,4233,Diamond,Zerg
42,KR,4233,Diamond,Protoss
42,KR,4233,Diamond,Terran
42,KR,4233,Diamond,Protoss
42,KR,4232,Diamond,Zerg
42,KR,4232,Diamond,Zerg
42,KR,4232,Diamond,Zerg
42,KR,4232,Diamond,Protoss
42,KR,4232,Diamond,Protoss
42,KR,4232,Diamond,Protoss
42,KR,4232,Diamond,Random
42,KR,4231,Diamond,Zerg
42,KR,4231,Diamond,Protoss
42,KR,4230,Diamond,Terran
42,KR,4230,Diamond,Terran
42,KR,4230,Diamond,Protoss
42,KR,4230,Diamond,Zerg
42,KR,4230,Diamond,Zerg
42,KR,4229,Diamond,Protoss
42,KR,4228,Diamond,Zerg
42,KR,4228,Diamond,Terran
42,KR,4228,Diamond,Zerg
42,KR,4228,Diamond,Zerg
42,KR,4227,Diamond,Terran
42,KR,4227,Diamond,Protoss
42,KR,4227,Diamond,Terran
42,KR,4227,Diamond,Random
42,KR,4227,Diamond,Random
42,KR,4227,Diamond,Zerg
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Terran
42,KR,4226,Diamond,Zerg
42,KR,4225,Diamond,Terran
42,KR,4225,Diamond,Protoss
42,KR,4225,Diamond,Zerg
42,KR,4225,Diamond,Protoss
42,KR,4225,Diamond,Terran
42,KR,4225,Diamond,Zerg
42,KR,4225,Diamond,Terran
42,KR,4224,Diamond,Protoss
42,KR,4224,Diamond,Terran
42,KR,4224,Diamond,Protoss
42,KR,4224,Diamond,Protoss
42,KR,4224,Diamond,Random
42,KR,4224,Diamond,Zerg
42,KR,4224,Diamond,Protoss
42,KR,4224,Diamond,Zerg
42,KR,4224,Diamond,Protoss
42,KR,4224,Diamond,Terran
42,KR,4223,Diamond,Zerg
42,KR,4223,Diamond,Random
42,KR,4223,Diamond,Zerg
42,KR,4222,Diamond,Terran
42,KR,4222,Diamond,Zerg
42,KR,4222,Diamond,Protoss
42,KR,4222,Diamond,Terran
42,KR,4222,Diamond,Terran
42,KR,4222,Diamond,Protoss
42,KR,4222,Diamond,Zerg
42,KR,4220,Diamond,Zerg
42,KR,4220,Diamond,Zerg
42,KR,4220,Diamond,Terran
42,KR,4220,Diamond,Terran
42,KR,4220,Diamond,Protoss
42,KR,4220,Diamond,Zerg
