Season,Region,Rating,Rank,Race
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2678,Gold,Random
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Zerg
45,US,2678,Gold,Random
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Random
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Random
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Random
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Random
45,US,2678,Gold,Protoss
45,US,2678,Gold,Random
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Random
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Random
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Protoss
45,US,2678,Gold,Zerg
45,US,2678,Gold,Terran
45,US,2678,Gold,Terran
45,US,2678,Gold,Random
45,US,2678,Gold,Protoss
45,US,2678,Gold,Protoss
45,US,2678,Gold,Terran
45,US,2677,Gold,Random
45,US,2677,Gold,Protoss
45,US,2677,Gold,Terran
45,US,2677,Gold,Random
45,US,2677,Gold,Random
45,US,2677,Gold,Protoss
45,US,2677,Gold,Protoss
45,US,2677,Gold,Zerg
45,US,2677,Gold,Protoss
45,US,2677,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Random
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Random
45,US,2675,Gold,Random
45,US,2675,Gold,Zerg
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Random
45,US,2675,Gold,Random
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Random
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Zerg
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Zerg
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Zerg
45,US,2675,Gold,Protoss
45,US,2675,Gold,Random
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Zerg
45,US,2675,Gold,Terran
45,US,2675,Gold,Random
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Terran
45,US,2675,Gold,Zerg
45,US,2675,Gold,Protoss
45,US,2675,Gold,Terran
45,US,2674,Gold,Protoss
45,US,2674,Gold,Zerg
45,US,2674,Gold,Protoss
45,US,2674,Gold,Random
45,US,2674,Gold,Protoss
45,US,2672,Gold,Random
45,US,2672,Gold,Random
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Random
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Random
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Random
45,US,2672,Gold,Random
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Random
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Random
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2672,Gold,Random
45,US,2672,Gold,Protoss
45,US,2672,Gold,Zerg
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Random
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Terran
45,US,2672,Gold,Zerg
45,US,2672,Gold,Protoss
45,US,2672,Gold,Protoss
45,US,2671,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Random
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Random
45,US,2669,Gold,Random
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Protoss
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Protoss
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Random
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Zerg
45,US,2669,Gold,Protoss
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Random
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Protoss
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2669,Gold,Terran
45,US,2669,Gold,Zerg
45,US,2669,Gold,Zerg
45,US,2669,Gold,Terran
45,US,2669,Gold,Terran
45,US,2669,Gold,Protoss
45,US,2668,Gold,Protoss
45,US,2668,Gold,Zerg
45,US,2668,Gold,Terran
45,US,2668,Gold,Terran
45,US,2668,Gold,Terran
45,US,2668,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Terran
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Random
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Random
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
45,US,2666,Gold,Protoss
45,US,2666,Gold,Protoss
45,US,2666,Gold,Random
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Terran
45,US,2666,Gold,Protoss
45,US,2666,Gold,Zerg
45,US,2666,Gold,Zerg
