Season,Region,Rating,Rank,Race
48,KR,9817,Grandmaster,Random
48,KR,8777,Grandmaster,Random
48,KR,7590,Grandmaster,Terran
48,KR,7581,Grandmaster,Terran
48,KR,7435,Grandmaster,Zerg
48,KR,7350,Grandmaster,Zerg
48,KR,7257,Grandmaster,Zerg
48,KR,7133,Grandmaster,Terran
48,KR,7042,Grandmaster,Terran
48,KR,7016,Grandmaster,Terran
48,KR,7010,Grandmaster,Terran
48,KR,7007,Grandmaster,Protoss
48,KR,7000,Grandmaster,Protoss
48,KR,6957,Grandmaster,Terran
48,KR,6937,Grandmaster,Terran
48,KR,6934,Grandmaster,Terran
48,KR,6933,Grandmaster,Protoss
48,KR,6924,Grandmaster,Protoss
48,KR,6900,Grandmaster,Terran
48,KR,6878,Grandmaster,Protoss
48,KR,6857,Grandmaster,Terran
48,KR,6856,Grandmaster,Protoss
48,KR,6841,Grandmaster,Protoss
48,KR,6841,Grandmaster,Protoss
48,KR,6834,Grandmaster,Zerg
48,KR,6832,Grandmaster,Terran
48,KR,6820,Grandmaster,Protoss
48,KR,6815,Grandmaster,Zerg
48,KR,6811,Grandmaster,Zerg
48,KR,6811,Grandmaster,Terran
48,KR,6809,Grandmaster,Zerg
48,KR,6790,Grandmaster,Terran
48,KR,6779,Grandmaster,Protoss
48,KR,6775,Grandmaster,Protoss
48,KR,6772,Grandmaster,Protoss
48,KR,6764,Grandmaster,Terran
48,KR,6764,Grandmaster,Protoss
48,KR,6760,Grandmaster,Terran
48,KR,6758,Grandmaster,Zerg
48,KR,6750,Grandmaster,Protoss
48,KR,6747,Grandmaster,Protoss
48,KR,6745,Grandmaster,Protoss
48,KR,6743,Grandmaster,Zerg
48,KR,6731,Grandmaster,Random
48,KR,6726,Grandmaster,Protoss
48,KR,6719,Grandmaster,Protoss
48,KR,6714,Grandmaster,Zerg
48,KR,6712,Grandmaster,Protoss
48,KR,6709,Grandmaster,Protoss
48,KR,6701,Grandmaster,Protoss
48,KR,6695,Grandmaster,Terran
48,KR,6694,Grandmaster,Protoss
48,KR,6680,Grandmaster,Terran
48,KR,6675,Grandmaster,Terran
48,KR,6673,Grandmaster,Protoss
48,KR,6652,Grandmaster,Zerg
48,KR,6647,Grandmaster,Zerg
48,KR,6645,Grandmaster,Terran
48,KR,6645,Grandmaster,Protoss
48,KR,6640,Grandmaster,Zerg
48,KR,6640,Grandmaster,Zerg
48,KR,6637,Grandmaster,Zerg
48,KR,6633,Grandmaster,Terran
48,KR,6621,Grandmaster,Protoss
48,KR,6619,Grandmaster,Terran
48,KR,6604,Grandmaster,Protoss
48,KR,6602,Grandmaster,Terran
48,KR,6596,Grandmaster,Terran
48,KR,6593,Grandmaster,Protoss
48,KR,6587,Grandmaster,Zerg
48,KR,6587,Grandmaster,Protoss
48,KR,6586,Grandmaster,Protoss
48,KR,6576,Grandmaster,Zerg
48,KR,6576,Grandmaster,Terran
48,KR,6575,Grandmaster,Zerg
48,KR,6570,Grandmaster,Protoss
48,KR,6570,Grandmaster,Protoss
48,KR,6560,Grandmaster,Protoss
48,KR,6526,Grandmaster,Protoss
48,KR,6517,Grandmaster,Zerg
48,KR,6512,Grandmaster,Terran
48,KR,6508,Grandmaster,Protoss
48,KR,6507,Grandmaster,Protoss
48,KR,6506,Grandmaster,Protoss
48,KR,6504,Grandmaster,Protoss
48,KR,6498,Grandmaster,Protoss
48,KR,6487,Grandmaster,Protoss
48,KR,6476,Grandmaster,Protoss
48,KR,6471,Grandmaster,Protoss
48,KR,6468,Grandmaster,Zerg
48,KR,6467,Grandmaster,Protoss
48,KR,6467,Grandmaster,Zerg
48,KR,6448,Grandmaster,Terran
48,KR,6448,Grandmaster,Zerg
48,KR,6447,Grandmaster,Protoss
48,KR,6441,Grandmaster,Protoss
48,KR,6434,Grandmaster,Terran
48,KR,6433,Grandmaster,Protoss
48,KR,6421,Grandmaster,Terran
48,KR,6420,Grandmaster,Protoss
48,KR,6417,Grandmaster,Terran
48,KR,6404,Grandmaster,Protoss
48,KR,6403,Grandmaster,Terran
48,KR,6399,Grandmaster,Zerg
48,KR,6393,Grandmaster,Zerg
48,KR,6391,Grandmaster,Protoss
48,KR,6390,Grandmaster,Terran
48,KR,6367,Grandmaster,Terran
48,KR,6365,Grandmaster,Zerg
48,KR,6363,Grandmaster,Protoss
48,KR,6359,Grandmaster,Protoss
48,KR,6348,Grandmaster,Protoss
48,KR,6343,Grandmaster,Protoss
48,KR,6339,Grandmaster,Protoss
48,KR,6333,Grandmaster,Terran
48,KR,6331,Grandmaster,Protoss
48,KR,6325,Grandmaster,Protoss
48,KR,6316,Grandmaster,Zerg
48,KR,6311,Grandmaster,Zerg
48,KR,6306,Grandmaster,Protoss
48,KR,6290,Grandmaster,Terran
48,KR,6288,Grandmaster,Protoss
48,KR,6287,Grandmaster,Terran
48,KR,6279,Grandmaster,Terran
48,KR,6260,Grandmaster,Protoss
48,KR,6258,Grandmaster,Protoss
48,KR,6257,Grandmaster,Terran
48,KR,6255,Grandmaster,Terran
48,KR,6251,Grandmaster,Protoss
48,KR,6236,Grandmaster,Protoss
48,KR,6231,Grandmaster,Zerg
48,KR,6227,Grandmaster,Terran
48,KR,6221,Grandmaster,Protoss
48,KR,6218,Grandmaster,Terran
48,KR,6212,Grandmaster,Protoss
