Season,Region,Rating,Rank,Race
48,KR,4799,Master,Protoss
48,KR,4799,Master,Protoss
48,KR,4799,Master,Protoss
48,KR,4799,Master,Protoss
48,KR,4797,Master,Terran
48,KR,4797,Master,Zerg
48,KR,4797,Master,Terran
48,KR,4797,Master,Protoss
48,KR,4797,Master,Random
48,KR,4796,Master,Zerg
48,KR,4796,Master,Protoss
48,KR,4795,Master,Terran
48,KR,4794,Master,Zerg
48,KR,4794,Master,Terran
48,KR,4793,Master,Protoss
48,KR,4793,Master,Zerg
48,KR,4792,Master,Terran
48,KR,4792,Master,Zerg
48,KR,4792,Master,Terran
48,KR,4791,Master,Terran
48,KR,4790,Master,Protoss
48,KR,4790,Master,Protoss
48,KR,4790,Master,Terran
48,KR,4790,Master,Protoss
48,KR,4790,Master,Zerg
48,KR,4790,Master,Protoss
48,KR,4789,Master,Terran
48,KR,4789,Master,Terran
48,KR,4788,Master,Protoss
48,KR,4788,Master,Terran
48,KR,4787,Master,Terran
48,KR,4787,Master,Terran
48,KR,4786,Master,Protoss
48,KR,4786,Master,Protoss
48,KR,4786,Master,Protoss
48,KR,4785,Master,Protoss
48,KR,4785,Master,Protoss
48,KR,4785,Master,Protoss
48,KR,4785,Master,Terran
48,KR,4785,Master,Random
48,KR,4784,Master,Terran
48,KR,4783,Master,Terran
48,KR,4783,Master,Protoss
48,KR,4783,Master,Zerg
48,KR,4783,Master,Protoss
48,KR,4781,Master,Random
48,KR,4781,Master,Terran
48,KR,4780,Master,Terran
48,KR,4779,Master,Protoss
48,KR,4779,Master,Terran
48,KR,4779,Master,Random
48,KR,4778,Master,Random
48,KR,4778,Master,Zerg
48,KR,4778,Master,Terran
48,KR,4778,Master,Terran
48,KR,4777,Master,Random
48,KR,4777,Master,Protoss
48,KR,4775,Master,Zerg
48,KR,4775,Master,Protoss
48,KR,4773,Master,Zerg
48,KR,4773,Master,Terran
48,KR,4771,Master,Zerg
48,KR,4771,Master,Protoss
48,KR,4770,Master,Protoss
48,KR,4770,Master,Random
48,KR,4770,Master,Random
48,KR,4770,Master,Protoss
48,KR,4769,Master,Protoss
48,KR,4769,Master,Zerg
48,KR,4769,Master,Zerg
48,KR,4769,Master,Random
48,KR,4769,Master,Terran
48,KR,4768,Master,Protoss
48,KR,4768,Master,Zerg
48,KR,4768,Master,Terran
48,KR,4767,Master,Zerg
48,KR,4766,Master,Zerg
48,KR,4766,Master,Protoss
48,KR,4766,Master,Protoss
48,KR,4765,Master,Protoss
48,KR,4765,Master,Zerg
48,KR,4765,Master,Zerg
48,KR,4763,Master,Protoss
48,KR,4763,Master,Zerg
48,KR,4763,Master,Protoss
48,KR,4763,Master,Terran
48,KR,4762,Master,Terran
48,KR,4761,Master,Terran
48,KR,4761,Master,Zerg
48,KR,4761,Master,Protoss
48,KR,4760,Master,Protoss
48,KR,4760,Master,Terran
48,KR,4759,Master,Protoss
48,KR,4758,Master,Zerg
48,KR,4758,Master,Terran
48,KR,4757,Master,Protoss
48,KR,4757,Master,Protoss
48,KR,4757,Master,Zerg
48,KR,4756,Master,Random
48,KR,4756,Master,Zerg
48,KR,4756,Master,Protoss
48,KR,4756,Master,Random
48,KR,4755,Master,Zerg
48,KR,4755,Master,Random
48,KR,4753,Master,Terran
48,KR,4753,Master,Terran
48,KR,4752,Master,Random
48,KR,4752,Master,Protoss
48,KR,4752,Master,Protoss
48,KR,4752,Master,Terran
48,KR,4752,Master,Zerg
48,KR,4752,Master,Terran
48,KR,4751,Master,Random
48,KR,4751,Master,Terran
