Season,Region,Rating,Rank,Race
49,CN,1719,Bronze,Zerg
49,CN,1719,Bronze,Protoss
49,CN,1718,Bronze,Terran
49,CN,1718,Bronze,Terran
49,CN,1717,Bronze,Terran
49,CN,1717,Bronze,Terran
49,CN,1717,Bronze,Terran
49,CN,1716,Bronze,Protoss
49,CN,1716,Bronze,Protoss
49,CN,1716,Bronze,Zerg
49,CN,1715,Bronze,Terran
49,CN,1714,Bronze,Terran
49,CN,1714,Bronze,Protoss
49,CN,1713,Bronze,Zerg
49,CN,1713,Bronze,Terran
49,CN,1713,Bronze,Terran
49,CN,1713,Bronze,Terran
49,CN,1713,Bronze,Terran
49,CN,1713,Bronze,Protoss
49,CN,1712,Bronze,Terran
49,CN,1712,Bronze,Random
49,CN,1712,Bronze,Protoss
49,CN,1712,Bronze,Terran
49,CN,1712,Bronze,Terran
49,CN,1712,Bronze,Terran
49,CN,1712,Bronze,Random
49,CN,1711,Bronze,Zerg
49,CN,1711,Bronze,Terran
49,CN,1711,Bronze,Terran
49,CN,1711,Bronze,Protoss
49,CN,1711,Bronze,Terran
49,CN,1710,Bronze,Terran
49,CN,1710,Bronze,Terran
49,CN,1710,Bronze,Terran
49,CN,1710,Bronze,Zerg
49,CN,1710,Bronze,Terran
49,CN,1710,Bronze,Zerg
49,CN,1709,Bronze,Zerg
49,CN,1709,Bronze,Zerg
49,CN,1708,Bronze,Zerg
49,CN,1708,Bronze,Terran
49,CN,1708,Bronze,Protoss
49,CN,1707,Bronze,Zerg
49,CN,1707,Bronze,Terran
49,CN,1707,Bronze,Protoss
49,CN,1706,Bronze,Terran
49,CN,1706,Bronze,Zerg
49,CN,1706,Bronze,Zerg
49,CN,1706,Bronze,Zerg
49,CN,1704,Bronze,Terran
49,CN,1703,Bronze,Terran
49,CN,1703,Bronze,Protoss
49,CN,1702,Bronze,Zerg
49,CN,1702,Bronze,Zerg
49,CN,1702,Bronze,Protoss
49,CN,1702,Bronze,Terran
49,CN,1702,Bronze,Terran
