Season,Region,Rating,Rank,Race
49,EU,2679,Gold,Random
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Random
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Random
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Random
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Random
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Random
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Zerg
49,EU,2679,Gold,Random
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Terran
49,EU,2679,Gold,Protoss
49,EU,2679,Gold,Zerg
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Random
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Random
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Random
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Random
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Random
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Random
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Random
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Protoss
49,EU,2678,Gold,Terran
49,EU,2678,Gold,Zerg
49,EU,2678,Gold,Terran
49,EU,2677,Gold,Zerg
49,EU,2677,Gold,Terran
49,EU,2677,Gold,Protoss
49,EU,2677,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Random
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Random
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Random
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Random
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Random
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Random
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Protoss
49,EU,2675,Gold,Terran
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Zerg
49,EU,2675,Gold,Terran
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Random
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Random
49,EU,2674,Gold,Random
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Random
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Protoss
49,EU,2674,Gold,Random
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Terran
49,EU,2674,Gold,Zerg
49,EU,2674,Gold,Zerg
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Random
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Zerg
49,EU,2672,Gold,Protoss
49,EU,2672,Gold,Random
49,EU,2672,Gold,Terran
49,EU,2672,Gold,Random
49,EU,2672,Gold,Protoss
49,EU,2671,Gold,Zerg
49,EU,2671,Gold,Zerg
49,EU,2671,Gold,Protoss
49,EU,2671,Gold,Terran
49,EU,2671,Gold,Zerg
49,EU,2671,Gold,Terran
49,EU,2671,Gold,Zerg
