Season,Region,Rating,Rank,Race
50,US,4799,Master,Protoss
50,US,4799,Master,Protoss
50,US,4799,Master,Protoss
50,US,4799,Master,Protoss
50,US,4799,Master,Terran
50,US,4798,Master,Zerg
50,US,4798,Master,Protoss
50,US,4798,Master,Random
50,US,4798,Master,Protoss
50,US,4798,Master,Zerg
50,US,4798,Master,Zerg
50,US,4798,Master,Protoss
50,US,4798,Master,Protoss
50,US,4798,Master,Protoss
50,US,4797,Master,Terran
50,US,4796,Master,Terran
50,US,4796,Master,Terran
50,US,4796,Master,Zerg
50,US,4796,Master,Protoss
50,US,4795,Master,Random
50,US,4795,Master,Terran
50,US,4795,Master,Protoss
50,US,4795,Master,Terran
50,US,4795,Master,Zerg
50,US,4794,Master,Random
50,US,4794,Master,Protoss
50,US,4794,Master,Zerg
50,US,4794,Master,Terran
50,US,4793,Master,Protoss
50,US,4793,Master,Terran
50,US,4792,Master,Terran
50,US,4792,Master,Terran
50,US,4792,Master,Protoss
50,US,4791,Master,Terran
50,US,4791,Master,Terran
50,US,4791,Master,Terran
50,US,4791,Master,Terran
50,US,4791,Master,Protoss
50,US,4791,Master,Protoss
50,US,4790,Master,Zerg
50,US,4790,Master,Protoss
50,US,4790,Master,Protoss
50,US,4790,Master,Terran
50,US,4790,Master,Zerg
50,US,4789,Master,Random
50,US,4789,Master,Zerg
50,US,4789,Master,Terran
50,US,4789,Master,Terran
50,US,4789,Master,Random
50,US,4789,Master,Protoss
50,US,4789,Master,Zerg
50,US,4788,Master,Protoss
50,US,4788,Master,Random
50,US,4788,Master,Terran
50,US,4787,Master,Zerg
50,US,4787,Master,Protoss
50,US,4787,Master,Zerg
50,US,4787,Master,Protoss
50,US,4786,Master,Protoss
50,US,4786,Master,Terran
50,US,4786,Master,Zerg
50,US,4786,Master,Terran
50,US,4786,Master,Terran
50,US,4785,Master,Zerg
50,US,4785,Master,Zerg
50,US,4785,Master,Terran
50,US,4785,Master,Terran
50,US,4785,Master,Protoss
50,US,4784,Master,Zerg
50,US,4784,Master,Terran
50,US,4784,Master,Protoss
50,US,4784,Master,Protoss
50,US,4783,Master,Terran
50,US,4783,Master,Terran
50,US,4783,Master,Terran
50,US,4782,Master,Terran
50,US,4782,Master,Protoss
50,US,4782,Master,Terran
50,US,4782,Master,Terran
50,US,4781,Master,Terran
50,US,4781,Master,Protoss
50,US,4781,Master,Protoss
50,US,4780,Master,Terran
50,US,4780,Master,Zerg
50,US,4780,Master,Protoss
50,US,4779,Master,Zerg
50,US,4779,Master,Terran
50,US,4777,Master,Zerg
50,US,4777,Master,Protoss
50,US,4777,Master,Zerg
50,US,4776,Master,Protoss
50,US,4776,Master,Terran
50,US,4776,Master,Terran
50,US,4775,Master,Zerg
50,US,4775,Master,Terran
50,US,4775,Master,Zerg
50,US,4775,Master,Zerg
50,US,4775,Master,Zerg
50,US,4775,Master,Protoss
50,US,4774,Master,Terran
50,US,4774,Master,Terran
50,US,4772,Master,Protoss
50,US,4772,Master,Protoss
50,US,4772,Master,Terran
50,US,4770,Master,Terran
50,US,4769,Master,Protoss
50,US,4769,Master,Terran
50,US,4768,Master,Terran
50,US,4768,Master,Terran
