Season,Region,Rating,Rank,Race
51,US,7354,Grandmaster,Zerg
51,US,7164,Grandmaster,Zerg
51,US,6691,Grandmaster,Zerg
51,US,6608,Grandmaster,Zerg
51,US,6607,Grandmaster,Terran
51,US,6557,Grandmaster,Terran
51,US,6550,Grandmaster,Protoss
51,US,6504,Grandmaster,Protoss
51,US,6501,Grandmaster,Protoss
51,US,6469,Grandmaster,Zerg
51,US,6467,Grandmaster,Protoss
51,US,6466,Grandmaster,Terran
51,US,6443,Grandmaster,Protoss
51,US,6398,Grandmaster,Protoss
51,US,6373,Grandmaster,Protoss
51,US,6360,Grandmaster,Terran
51,US,6357,Grandmaster,Protoss
51,US,6332,Grandmaster,Protoss
51,US,6322,Grandmaster,Protoss
51,US,6298,Grandmaster,Terran
51,US,6270,Grandmaster,Protoss
51,US,6257,Grandmaster,Protoss
51,US,6247,Grandmaster,Zerg
51,US,6239,Grandmaster,Protoss
51,US,6235,Grandmaster,Terran
51,US,6194,Grandmaster,Protoss
51,US,6160,Grandmaster,Terran
51,US,6153,Grandmaster,Protoss
51,US,6146,Grandmaster,Protoss
51,US,6140,Grandmaster,Protoss
51,US,6129,Grandmaster,Zerg
51,US,6111,Grandmaster,Zerg
51,US,6091,Grandmaster,Protoss
51,US,6075,Grandmaster,Terran
51,US,6067,Grandmaster,Protoss
51,US,6050,Grandmaster,Zerg
51,US,6048,Grandmaster,Zerg
51,US,6044,Grandmaster,Zerg
51,US,6038,Grandmaster,Protoss
51,US,6025,Grandmaster,Terran
51,US,6024,Grandmaster,Zerg
51,US,6021,Grandmaster,Protoss
51,US,6020,Grandmaster,Terran
51,US,6017,Grandmaster,Terran
51,US,6006,Grandmaster,Protoss
51,US,6000,Grandmaster,Protoss
51,US,5997,Grandmaster,Terran
51,US,5992,Grandmaster,Random
51,US,5992,Grandmaster,Protoss
51,US,5989,Grandmaster,Protoss
51,US,5985,Grandmaster,Terran
51,US,5983,Grandmaster,Zerg
51,US,5978,Grandmaster,Zerg
51,US,5974,Grandmaster,Zerg
51,US,5972,Grandmaster,Zerg
51,US,5971,Grandmaster,Protoss
51,US,5960,Grandmaster,Terran
51,US,5938,Grandmaster,Zerg
51,US,5938,Grandmaster,Terran
51,US,5925,Grandmaster,Terran
51,US,5912,Grandmaster,Zerg
51,US,5911,Grandmaster,Terran
51,US,5908,Grandmaster,Zerg
51,US,5907,Grandmaster,Terran
51,US,5901,Grandmaster,Random
51,US,5896,Grandmaster,Zerg
51,US,5893,Grandmaster,Zerg
51,US,5886,Grandmaster,Random
51,US,5879,Grandmaster,Protoss
51,US,5874,Grandmaster,Protoss
51,US,5870,Grandmaster,Zerg
51,US,5869,Grandmaster,Protoss
51,US,5866,Grandmaster,Protoss
51,US,5860,Grandmaster,Protoss
51,US,5858,Grandmaster,Terran
51,US,5856,Grandmaster,Protoss
51,US,5855,Grandmaster,Protoss
51,US,5846,Grandmaster,Protoss
51,US,5845,Grandmaster,Terran
51,US,5839,Grandmaster,Zerg
51,US,5837,Grandmaster,Zerg
51,US,5828,Grandmaster,Protoss
51,US,5824,Grandmaster,Zerg
51,US,5823,Grandmaster,Zerg
51,US,5823,Grandmaster,Protoss
51,US,5821,Grandmaster,Zerg
51,US,5820,Grandmaster,Zerg
51,US,5819,Grandmaster,Zerg
51,US,5811,Grandmaster,Terran
51,US,5808,Grandmaster,Protoss
51,US,5807,Grandmaster,Protoss
51,US,5806,Grandmaster,Terran
51,US,5802,Grandmaster,Terran
51,US,5801,Grandmaster,Terran
51,US,5793,Grandmaster,Protoss
