Season,Region,Rating,Rank,Race
52,EU,7830,Grandmaster,Zerg
52,EU,7537,Grandmaster,Zerg
52,EU,7473,Grandmaster,Terran
52,EU,7466,Grandmaster,Zerg
52,EU,7024,Grandmaster,Zerg
52,EU,6982,Grandmaster,Terran
52,EU,6951,Grandmaster,Zerg
52,EU,6948,Grandmaster,Protoss
52,EU,6926,Grandmaster,Zerg
52,EU,6924,Grandmaster,Zerg
52,EU,6905,Grandmaster,Terran
52,EU,6851,Grandmaster,Zerg
52,EU,6848,Grandmaster,Zerg
52,EU,6848,Grandmaster,Terran
52,EU,6834,Grandmaster,Zerg
52,EU,6823,Grandmaster,Terran
52,EU,6791,Grandmaster,Protoss
52,EU,6764,Grandmaster,Protoss
52,EU,6755,Grandmaster,Protoss
52,EU,6729,Grandmaster,Protoss
52,EU,6662,Grandmaster,Protoss
52,EU,6618,Grandmaster,Protoss
52,EU,6609,Grandmaster,Protoss
52,EU,6602,Grandmaster,Protoss
52,EU,6600,Grandmaster,Protoss
52,EU,6596,Grandmaster,Zerg
52,EU,6587,Grandmaster,Protoss
52,EU,6586,Grandmaster,Zerg
52,EU,6582,Grandmaster,Protoss
52,EU,6568,Grandmaster,Protoss
52,EU,6563,Grandmaster,Terran
52,EU,6558,Grandmaster,Protoss
52,EU,6558,Grandmaster,Protoss
52,EU,6547,Grandmaster,Terran
52,EU,6535,Grandmaster,Protoss
52,EU,6534,Grandmaster,Protoss
52,EU,6523,Grandmaster,Protoss
52,EU,6508,Grandmaster,Terran
52,EU,6507,Grandmaster,Protoss
52,EU,6485,Grandmaster,Terran
52,EU,6480,Grandmaster,Zerg
52,EU,6451,Grandmaster,Protoss
52,EU,6447,Grandmaster,Protoss
52,EU,6436,Grandmaster,Protoss
52,EU,6412,Grandmaster,Zerg
52,EU,6402,Grandmaster,Zerg
52,EU,6402,Grandmaster,Terran
52,EU,6395,Grandmaster,Terran
52,EU,6381,Grandmaster,Random
52,EU,6375,Grandmaster,Zerg
52,EU,6366,Grandmaster,Terran
52,EU,6353,Grandmaster,Terran
52,EU,6341,Grandmaster,Protoss
52,EU,6329,Grandmaster,Protoss
52,EU,6324,Grandmaster,Protoss
52,EU,6322,Grandmaster,Protoss
52,EU,6318,Grandmaster,Protoss
52,EU,6293,Grandmaster,Protoss
52,EU,6285,Grandmaster,Zerg
52,EU,6279,Grandmaster,Zerg
52,EU,6276,Grandmaster,Protoss
52,EU,6270,Grandmaster,Protoss
52,EU,6266,Grandmaster,Terran
52,EU,6260,Grandmaster,Terran
52,EU,6257,Grandmaster,Terran
52,EU,6254,Grandmaster,Protoss
52,EU,6251,Grandmaster,Terran
52,EU,6245,Grandmaster,Protoss
52,EU,6244,Grandmaster,Zerg
52,EU,6241,Grandmaster,Protoss
52,EU,6233,Grandmaster,Protoss
52,EU,6231,Grandmaster,Zerg
52,EU,6227,Grandmaster,Protoss
52,EU,6223,Grandmaster,Protoss
52,EU,6212,Grandmaster,Terran
52,EU,6212,Grandmaster,Protoss
52,EU,6209,Grandmaster,Protoss
52,EU,6206,Grandmaster,Protoss
52,EU,6200,Grandmaster,Terran
52,EU,6179,Grandmaster,Protoss
52,EU,6172,Grandmaster,Protoss
52,EU,6168,Grandmaster,Protoss
