Season,Region,Rating,Rank,Race
53,CN,6920,Grandmaster,Random
53,CN,6792,Grandmaster,Zerg
53,CN,6571,Grandmaster,Random
53,CN,6463,Grandmaster,Terran
53,CN,6350,Grandmaster,Terran
53,CN,6053,Grandmaster,Zerg
53,CN,6031,Grandmaster,Random
53,CN,6018,Grandmaster,Random
53,CN,6006,Grandmaster,Terran
53,CN,5992,Grandmaster,Terran
53,CN,5915,Grandmaster,Random
53,CN,5862,Grandmaster,Random
53,CN,5846,Grandmaster,Protoss
53,CN,5836,Grandmaster,Zerg
53,CN,5810,Grandmaster,Terran
53,CN,5806,Grandmaster,Zerg
53,CN,5801,Grandmaster,Random
53,CN,5780,Grandmaster,Protoss
53,CN,5770,Grandmaster,Protoss
53,CN,5756,Grandmaster,Terran
53,CN,5751,Grandmaster,Protoss
53,CN,5725,Grandmaster,Zerg
53,CN,5721,Grandmaster,Terran
53,CN,5711,Grandmaster,Protoss
53,CN,5708,Grandmaster,Random
53,CN,5686,Grandmaster,Zerg
53,CN,5664,Grandmaster,Terran
53,CN,5655,Grandmaster,Protoss
53,CN,5654,Grandmaster,Terran
53,CN,5648,Grandmaster,Terran
53,CN,5640,Grandmaster,Terran
53,CN,5629,Grandmaster,Zerg
53,CN,5625,Grandmaster,Protoss
53,CN,5613,Grandmaster,Terran
53,CN,5585,Grandmaster,Terran
53,CN,5583,Grandmaster,Zerg
53,CN,5572,Grandmaster,Zerg
53,CN,5561,Grandmaster,Zerg
53,CN,5560,Grandmaster,Protoss
53,CN,5554,Grandmaster,Protoss
53,CN,5551,Grandmaster,Protoss
53,CN,5550,Grandmaster,Protoss
53,CN,5541,Grandmaster,Protoss
53,CN,5540,Grandmaster,Terran
53,CN,5539,Grandmaster,Random
53,CN,5530,Grandmaster,Protoss
53,CN,5522,Grandmaster,Zerg
53,CN,5513,Grandmaster,Terran
53,CN,5508,Grandmaster,Terran
53,CN,5506,Grandmaster,Terran
53,CN,5494,Grandmaster,Terran
53,CN,5490,Grandmaster,Terran
53,CN,5489,Grandmaster,Random
53,CN,5481,Grandmaster,Protoss
53,CN,5477,Grandmaster,Zerg
53,CN,5474,Grandmaster,Terran
53,CN,5474,Grandmaster,Terran
53,CN,5465,Grandmaster,Protoss
53,CN,5457,Grandmaster,Random
53,CN,5451,Grandmaster,Zerg
53,CN,5446,Grandmaster,Protoss
53,CN,5438,Grandmaster,Random
53,CN,5437,Grandmaster,Zerg
53,CN,5429,Grandmaster,Protoss
53,CN,5428,Grandmaster,Zerg
53,CN,5428,Grandmaster,Protoss
53,CN,5425,Grandmaster,Protoss
53,CN,5419,Grandmaster,Protoss
53,CN,5419,Grandmaster,Terran
53,CN,5419,Grandmaster,Terran
53,CN,5408,Grandmaster,Protoss
53,CN,5406,Grandmaster,Protoss
53,CN,5368,Grandmaster,Random
53,CN,5364,Grandmaster,Protoss
53,CN,5363,Grandmaster,Protoss
53,CN,5362,Grandmaster,Protoss
53,CN,5358,Grandmaster,Protoss
53,CN,5358,Grandmaster,Protoss
53,CN,5351,Grandmaster,Zerg
53,CN,5322,Grandmaster,Protoss
53,CN,5318,Grandmaster,Zerg
53,CN,5317,Grandmaster,Protoss
53,CN,5317,Grandmaster,Protoss
53,CN,5317,Grandmaster,Zerg
53,CN,5316,Grandmaster,Protoss
53,CN,5315,Grandmaster,Protoss
53,CN,5312,Grandmaster,Protoss
53,CN,5308,Grandmaster,Protoss
53,CN,5308,Grandmaster,Protoss
53,CN,5306,Grandmaster,Protoss
53,CN,5304,Grandmaster,Terran
53,CN,5294,Grandmaster,Protoss
53,CN,5292,Grandmaster,Protoss
53,CN,5289,Grandmaster,Zerg
53,CN,5274,Grandmaster,Protoss
53,CN,5268,Grandmaster,Protoss
53,CN,5267,Grandmaster,Terran
53,CN,5267,Grandmaster,Protoss
53,CN,5264,Grandmaster,Protoss
53,CN,5264,Grandmaster,Protoss
53,CN,5258,Grandmaster,Zerg
53,CN,5254,Grandmaster,Protoss
53,CN,5251,Grandmaster,Terran
53,CN,5250,Grandmaster,Protoss
53,CN,5246,Grandmaster,Zerg
53,CN,5242,Grandmaster,Zerg
53,CN,5242,Grandmaster,Zerg
53,CN,5235,Grandmaster,Protoss
53,CN,5231,Grandmaster,Random
53,CN,5225,Grandmaster,Protoss
53,CN,5224,Grandmaster,Protoss
53,CN,5223,Grandmaster,Zerg
53,CN,5216,Grandmaster,Terran
53,CN,5214,Grandmaster,Zerg
53,CN,5213,Grandmaster,Protoss
53,CN,5212,Grandmaster,Terran
53,CN,5206,Grandmaster,Protoss
53,CN,5205,Grandmaster,Protoss
53,CN,5202,Grandmaster,Terran
53,CN,5201,Grandmaster,Protoss
53,CN,5200,Grandmaster,Protoss
53,CN,5200,Grandmaster,Zerg
53,CN,5198,Grandmaster,Protoss
53,CN,5198,Grandmaster,Zerg
53,CN,5197,Grandmaster,Protoss
53,CN,5194,Grandmaster,Terran
53,CN,5191,Grandmaster,Protoss
53,CN,5187,Grandmaster,Terran
53,CN,5186,Grandmaster,Protoss
53,CN,5185,Grandmaster,Terran
53,CN,5180,Grandmaster,Zerg
53,CN,5178,Grandmaster,Terran
53,CN,5177,Grandmaster,Protoss
53,CN,5170,Grandmaster,Terran
53,CN,5170,Grandmaster,Terran
53,CN,5170,Grandmaster,Zerg
53,CN,5167,Grandmaster,Protoss
53,CN,5164,Grandmaster,Terran
53,CN,5163,Grandmaster,Random
53,CN,5154,Grandmaster,Terran
53,CN,5152,Grandmaster,Terran
53,CN,5146,Grandmaster,Zerg
53,CN,5141,Grandmaster,Terran
53,CN,5138,Grandmaster,Protoss
53,CN,5136,Grandmaster,Terran
53,CN,5134,Grandmaster,Protoss
53,CN,5132,Grandmaster,Protoss
53,CN,5129,Grandmaster,Protoss
53,CN,5128,Grandmaster,Zerg
53,CN,5127,Grandmaster,Protoss
53,CN,5123,Grandmaster,Terran
53,CN,5120,Grandmaster,Protoss
53,CN,5119,Grandmaster,Protoss
53,CN,5118,Grandmaster,Terran
53,CN,5117,Grandmaster,Zerg
53,CN,5117,Grandmaster,Zerg
53,CN,5116,Grandmaster,Protoss
53,CN,5113,Grandmaster,Protoss
53,CN,5113,Grandmaster,Terran
53,CN,5108,Grandmaster,Zerg
53,CN,5107,Grandmaster,Protoss
53,CN,5107,Grandmaster,Zerg
53,CN,5106,Grandmaster,Zerg
53,CN,5103,Grandmaster,Protoss
53,CN,5102,Grandmaster,Zerg
53,CN,5102,Grandmaster,Zerg
53,CN,5099,Grandmaster,Protoss
53,CN,5099,Grandmaster,Protoss
53,CN,5097,Grandmaster,Zerg
53,CN,5097,Grandmaster,Random
53,CN,5095,Grandmaster,Terran
53,CN,5091,Grandmaster,Zerg
53,CN,5088,Grandmaster,Protoss
53,CN,5087,Grandmaster,Terran
53,CN,5084,Grandmaster,Terran
53,CN,5081,Grandmaster,Zerg
53,CN,5079,Grandmaster,Protoss
53,CN,5078,Grandmaster,Zerg
