Season,Region,Rating,Rank,Race
53,CN,4799,Master,Zerg
53,CN,4799,Master,Zerg
53,CN,4799,Master,Terran
53,CN,4797,Master,Protoss
53,CN,4797,Master,Protoss
53,CN,4797,Master,Protoss
53,CN,4797,Master,Zerg
53,CN,4797,Master,Random
53,CN,4797,Master,Terran
53,CN,4796,Master,Zerg
53,CN,4796,Master,Protoss
53,CN,4792,Master,Terran
53,CN,4792,Master,Protoss
53,CN,4791,Master,Protoss
53,CN,4788,Master,Random
53,CN,4788,Master,Zerg
53,CN,4788,Master,Zerg
53,CN,4788,Master,Protoss
53,CN,4787,Master,Zerg
53,CN,4787,Master,Terran
53,CN,4786,Master,Protoss
53,CN,4786,Master,Zerg
53,CN,4785,Master,Protoss
53,CN,4785,Master,Terran
53,CN,4785,Master,Zerg
53,CN,4784,Master,Terran
53,CN,4783,Master,Terran
53,CN,4783,Master,Terran
53,CN,4782,Master,Terran
53,CN,4781,Master,Protoss
53,CN,4781,Master,Protoss
53,CN,4779,Master,Zerg
53,CN,4779,Master,Zerg
53,CN,4779,Master,Terran
53,CN,4779,Master,Zerg
53,CN,4778,Master,Terran
53,CN,4776,Master,Protoss
53,CN,4776,Master,Terran
53,CN,4775,Master,Protoss
53,CN,4774,Master,Zerg
53,CN,4774,Master,Zerg
53,CN,4773,Master,Terran
53,CN,4773,Master,Zerg
53,CN,4771,Master,Protoss
53,CN,4770,Master,Random
53,CN,4769,Master,Protoss
53,CN,4768,Master,Terran
53,CN,4768,Master,Zerg
53,CN,4768,Master,Zerg
53,CN,4767,Master,Terran
53,CN,4766,Master,Protoss
53,CN,4765,Master,Zerg
53,CN,4764,Master,Zerg
53,CN,4764,Master,Protoss
53,CN,4763,Master,Zerg
53,CN,4761,Master,Protoss
53,CN,4760,Master,Terran
53,CN,4760,Master,Zerg
53,CN,4759,Master,Random
53,CN,4758,Master,Terran
53,CN,4757,Master,Protoss
53,CN,4756,Master,Terran
53,CN,4755,Master,Zerg
53,CN,4755,Master,Protoss
53,CN,4755,Master,Zerg
53,CN,4754,Master,Protoss
53,CN,4754,Master,Terran
53,CN,4754,Master,Terran
53,CN,4754,Master,Zerg
53,CN,4754,Master,Protoss
53,CN,4753,Master,Protoss
53,CN,4753,Master,Protoss
53,CN,4753,Master,Protoss
53,CN,4752,Master,Protoss
53,CN,4752,Master,Terran
53,CN,4751,Master,Protoss
53,CN,4750,Master,Terran
53,CN,4746,Master,Protoss
53,CN,4745,Master,Random
53,CN,4745,Master,Zerg
53,CN,4744,Master,Terran
53,CN,4744,Master,Terran
53,CN,4743,Master,Terran
53,CN,4742,Master,Protoss
53,CN,4742,Master,Protoss
53,CN,4742,Master,Zerg
53,CN,4741,Master,Terran
53,CN,4741,Master,Protoss
53,CN,4741,Master,Zerg
53,CN,4740,Master,Zerg
53,CN,4740,Master,Protoss
53,CN,4739,Master,Random
53,CN,4739,Master,Protoss
53,CN,4739,Master,Protoss
53,CN,4739,Master,Terran
53,CN,4738,Master,Protoss
53,CN,4737,Master,Zerg
53,CN,4737,Master,Terran
53,CN,4737,Master,Terran
53,CN,4737,Master,Protoss
53,CN,4737,Master,Protoss
53,CN,4736,Master,Protoss
53,CN,4736,Master,Terran
53,CN,4736,Master,Protoss
53,CN,4735,Master,Terran
53,CN,4734,Master,Terran
53,CN,4733,Master,Zerg
53,CN,4733,Master,Terran
53,CN,4733,Master,Protoss
53,CN,4733,Master,Zerg
53,CN,4732,Master,Terran
53,CN,4730,Master,Terran
53,CN,4730,Master,Zerg
53,CN,4729,Master,Terran
53,CN,4729,Master,Terran
53,CN,4729,Master,Terran
53,CN,4728,Master,Protoss
53,CN,4728,Master,Terran
53,CN,4726,Master,Terran
53,CN,4726,Master,Zerg
53,CN,4725,Master,Protoss
53,CN,4724,Master,Terran
53,CN,4723,Master,Terran
53,CN,4721,Master,Zerg
53,CN,4721,Master,Terran
53,CN,4720,Master,Terran
53,CN,4719,Master,Protoss
53,CN,4718,Master,Zerg
53,CN,4718,Master,Zerg
53,CN,4717,Master,Terran
53,CN,4717,Master,Protoss
53,CN,4715,Master,Terran
53,CN,4714,Master,Random
53,CN,4714,Master,Terran
53,CN,4714,Master,Terran
53,CN,4714,Master,Zerg
53,CN,4713,Master,Zerg
53,CN,4713,Master,Protoss
53,CN,4713,Master,Terran
53,CN,4713,Master,Terran
53,CN,4711,Master,Protoss
53,CN,4710,Master,Terran
53,CN,4709,Master,Zerg
53,CN,4709,Master,Terran
53,CN,4708,Master,Zerg
53,CN,4707,Master,Zerg
53,CN,4707,Master,Zerg
53,CN,4707,Master,Terran
53,CN,4707,Master,Protoss
53,CN,4707,Master,Protoss
53,CN,4706,Master,Protoss
53,CN,4706,Master,Zerg
53,CN,4706,Master,Zerg
53,CN,4706,Master,Terran
53,CN,4705,Master,Protoss
53,CN,4705,Master,Protoss
53,CN,4705,Master,Terran
53,CN,4704,Master,Protoss
53,CN,4704,Master,Random
53,CN,4703,Master,Protoss
53,CN,4703,Master,Protoss
53,CN,4702,Master,Zerg
53,CN,4701,Master,Terran
53,CN,4701,Master,Protoss
53,CN,4701,Master,Random
53,CN,4701,Master,Terran
53,CN,4701,Master,Terran
53,CN,4701,Master,Terran
53,CN,4700,Master,Protoss
53,CN,4700,Master,Terran
53,CN,4699,Master,Terran
53,CN,4699,Master,Terran
53,CN,4699,Master,Terran
53,CN,4698,Master,Protoss
53,CN,4698,Master,Terran
53,CN,4698,Master,Terran
53,CN,4698,Master,Zerg
53,CN,4698,Master,Terran
53,CN,4698,Master,Terran
53,CN,4697,Master,Protoss
53,CN,4696,Master,Terran
53,CN,4696,Master,Terran
53,CN,4694,Master,Terran
53,CN,4693,Master,Terran
53,CN,4693,Master,Terran
53,CN,4693,Master,Protoss
53,CN,4691,Master,Protoss
53,CN,4691,Master,Protoss
53,CN,4690,Master,Protoss
53,CN,4690,Master,Terran
53,CN,4690,Master,Zerg
53,CN,4689,Master,Protoss
53,CN,4689,Master,Zerg
53,CN,4688,Master,Protoss
53,CN,4687,Master,Zerg
53,CN,4687,Master,Protoss
53,CN,4687,Master,Protoss
53,CN,4687,Master,Protoss
53,CN,4686,Master,Protoss
53,CN,4685,Master,Protoss
53,CN,4684,Master,Zerg
53,CN,4684,Master,Zerg
53,CN,4683,Master,Protoss
53,CN,4682,Master,Zerg
53,CN,4682,Master,Protoss
53,CN,4682,Master,Terran
53,CN,4680,Master,Terran
53,CN,4680,Master,Protoss
53,CN,4678,Master,Protoss
53,CN,4678,Master,Protoss
53,CN,4677,Master,Zerg
53,CN,4677,Master,Protoss
53,CN,4675,Master,Terran
53,CN,4674,Master,Zerg
53,CN,4674,Master,Terran
53,CN,4674,Master,Zerg
53,CN,4674,Master,Terran
53,CN,4673,Master,Terran
53,CN,4673,Master,Terran
53,CN,4673,Master,Terran
53,CN,4672,Master,Protoss
53,CN,4672,Master,Terran
53,CN,4672,Master,Terran
53,CN,4672,Master,Zerg
53,CN,4672,Master,Zerg
53,CN,4672,Master,Protoss
53,CN,4671,Master,Zerg
53,CN,4671,Master,Terran
53,CN,4671,Master,Protoss
53,CN,4670,Master,Zerg
53,CN,4670,Master,Protoss
53,CN,4668,Master,Terran
53,CN,4667,Master,Protoss
53,CN,4667,Master,Terran
53,CN,4667,Master,Terran
53,CN,4666,Master,Zerg
53,CN,4665,Master,Terran
53,CN,4664,Master,Zerg
53,CN,4664,Master,Protoss
53,CN,4663,Master,Terran
53,CN,4663,Master,Protoss
53,CN,4662,Master,Protoss
53,CN,4662,Master,Terran
53,CN,4662,Master,Zerg
53,CN,4661,Master,Terran
53,CN,4661,Master,Zerg
53,CN,4661,Master,Terran
53,CN,4660,Master,Terran
53,CN,4659,Master,Zerg
53,CN,4658,Master,Protoss
53,CN,4656,Master,Protoss
53,CN,4656,Master,Terran
53,CN,4656,Master,Terran
53,CN,4655,Master,Zerg
53,CN,4655,Master,Protoss
53,CN,4654,Master,Zerg
53,CN,4653,Master,Terran
53,CN,4653,Master,Random
53,CN,4653,Master,Protoss
53,CN,4652,Master,Protoss
53,CN,4652,Master,Terran
53,CN,4652,Master,Terran
53,CN,4652,Master,Zerg
53,CN,4651,Master,Terran
53,CN,4650,Master,Terran
53,CN,4650,Master,Terran
53,CN,4650,Master,Terran
53,CN,4649,Master,Protoss
53,CN,4649,Master,Protoss
53,CN,4649,Master,Protoss
53,CN,4648,Master,Random
53,CN,4648,Master,Terran
53,CN,4648,Master,Zerg
53,CN,4646,Master,Protoss
53,CN,4646,Master,Terran
53,CN,4645,Master,Protoss
53,CN,4643,Master,Protoss
53,CN,4643,Master,Protoss
53,CN,4643,Master,Terran
53,CN,4643,Master,Zerg
53,CN,4642,Master,Terran
53,CN,4641,Master,Protoss
53,CN,4641,Master,Zerg
53,CN,4641,Master,Zerg
53,CN,4640,Master,Terran
53,CN,4640,Master,Protoss
53,CN,4638,Master,Protoss
53,CN,4637,Master,Zerg
53,CN,4637,Master,Protoss
53,CN,4637,Master,Zerg
53,CN,4637,Master,Terran
53,CN,4637,Master,Terran
53,CN,4636,Master,Terran
53,CN,4636,Master,Terran
53,CN,4636,Master,Zerg
53,CN,4635,Master,Zerg
53,CN,4635,Master,Zerg
53,CN,4634,Master,Protoss
53,CN,4634,Master,Protoss
53,CN,4632,Master,Zerg
53,CN,4631,Master,Protoss
53,CN,4631,Master,Terran
53,CN,4629,Master,Zerg
53,CN,4627,Master,Zerg
53,CN,4627,Master,Protoss
53,CN,4627,Master,Terran
53,CN,4626,Master,Protoss
53,CN,4626,Master,Protoss
53,CN,4624,Master,Protoss
53,CN,4624,Master,Zerg
53,CN,4624,Master,Protoss
53,CN,4624,Master,Terran
53,CN,4624,Master,Zerg
53,CN,4623,Master,Random
53,CN,4623,Master,Zerg
53,CN,4622,Master,Terran
53,CN,4622,Master,Terran
53,CN,4621,Master,Zerg
53,CN,4621,Master,Terran
53,CN,4621,Master,Zerg
53,CN,4621,Master,Protoss
53,CN,4620,Master,Zerg
53,CN,4620,Master,Zerg
53,CN,4619,Master,Zerg
53,CN,4619,Master,Random
53,CN,4619,Master,Protoss
53,CN,4619,Master,Protoss
53,CN,4618,Master,Terran
53,CN,4618,Master,Terran
53,CN,4618,Master,Protoss
53,CN,4617,Master,Protoss
53,CN,4615,Master,Terran
53,CN,4615,Master,Terran
53,CN,4615,Master,Terran
53,CN,4615,Master,Terran
53,CN,4614,Master,Terran
53,CN,4614,Master,Terran
53,CN,4614,Master,Zerg
53,CN,4613,Master,Zerg
53,CN,4613,Master,Terran
53,CN,4613,Master,Zerg
53,CN,4613,Master,Zerg
53,CN,4613,Master,Terran
53,CN,4613,Master,Zerg
53,CN,4612,Master,Zerg
53,CN,4611,Master,Terran
53,CN,4611,Master,Terran
53,CN,4610,Master,Terran
53,CN,4610,Master,Zerg
53,CN,4610,Master,Terran
53,CN,4608,Master,Protoss
53,CN,4608,Master,Zerg
53,CN,4607,Master,Protoss
53,CN,4607,Master,Terran
53,CN,4606,Master,Zerg
53,CN,4606,Master,Random
53,CN,4604,Master,Protoss
53,CN,4603,Master,Zerg
53,CN,4603,Master,Terran
53,CN,4603,Master,Protoss
53,CN,4602,Master,Protoss
53,CN,4602,Master,Terran
53,CN,4602,Master,Terran
53,CN,4601,Master,Terran
53,CN,4601,Master,Protoss
53,CN,4601,Master,Zerg
53,CN,4600,Master,Protoss
53,CN,4600,Master,Zerg
53,CN,4600,Master,Zerg
53,CN,4600,Master,Protoss
53,CN,4600,Master,Protoss
53,CN,4599,Master,Zerg
53,CN,4598,Master,Terran
53,CN,4598,Master,Protoss
53,CN,4598,Master,Random
53,CN,4597,Master,Protoss
53,CN,4597,Master,Zerg
53,CN,4596,Master,Zerg
53,CN,4596,Master,Protoss
53,CN,4596,Master,Random
53,CN,4596,Master,Terran
53,CN,4596,Master,Random
53,CN,4595,Master,Zerg
53,CN,4595,Master,Protoss
53,CN,4593,Master,Terran
53,CN,4593,Master,Protoss
53,CN,4592,Master,Terran
53,CN,4592,Master,Zerg
53,CN,4592,Master,Zerg
53,CN,4591,Master,Zerg
53,CN,4591,Master,Protoss
53,CN,4589,Master,Terran
