Season,Region,Rating,Rank,Race
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Random
55,US,2278,Silver,Random
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Random
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Random
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Random
55,US,2278,Silver,Random
55,US,2278,Silver,Zerg
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Zerg
55,US,2278,Silver,Random
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Random
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Zerg
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2278,Silver,Terran
55,US,2278,Silver,Terran
55,US,2278,Silver,Protoss
55,US,2277,Silver,Random
55,US,2277,Silver,Protoss
55,US,2277,Silver,Protoss
55,US,2277,Silver,Zerg
55,US,2277,Silver,Random
55,US,2277,Silver,Terran
55,US,2277,Silver,Random
55,US,2277,Silver,Random
55,US,2277,Silver,Protoss
55,US,2277,Silver,Random
55,US,2277,Silver,Protoss
55,US,2277,Silver,Random
55,US,2277,Silver,Protoss
55,US,2277,Silver,Zerg
55,US,2277,Silver,Protoss
55,US,2277,Silver,Terran
55,US,2277,Silver,Terran
55,US,2277,Silver,Protoss
55,US,2277,Silver,Terran
55,US,2277,Silver,Zerg
55,US,2277,Silver,Terran
55,US,2277,Silver,Protoss
55,US,2277,Silver,Protoss
55,US,2277,Silver,Zerg
55,US,2277,Silver,Terran
55,US,2277,Silver,Zerg
55,US,2277,Silver,Protoss
55,US,2277,Silver,Terran
55,US,2277,Silver,Protoss
55,US,2277,Silver,Terran
55,US,2277,Silver,Protoss
55,US,2275,Silver,Protoss
55,US,2275,Silver,Random
55,US,2275,Silver,Random
55,US,2275,Silver,Terran
55,US,2275,Silver,Protoss
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Zerg
55,US,2275,Silver,Random
55,US,2275,Silver,Zerg
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Zerg
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Protoss
55,US,2275,Silver,Protoss
55,US,2275,Silver,Terran
55,US,2275,Silver,Protoss
55,US,2275,Silver,Random
55,US,2275,Silver,Random
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2275,Silver,Protoss
55,US,2275,Silver,Random
55,US,2275,Silver,Terran
55,US,2275,Silver,Zerg
55,US,2275,Silver,Protoss
55,US,2275,Silver,Zerg
55,US,2275,Silver,Protoss
55,US,2275,Silver,Zerg
55,US,2275,Silver,Terran
55,US,2275,Silver,Terran
55,US,2274,Silver,Zerg
55,US,2274,Silver,Terran
55,US,2274,Silver,Zerg
55,US,2274,Silver,Protoss
55,US,2274,Silver,Random
55,US,2274,Silver,Terran
55,US,2274,Silver,Protoss
55,US,2274,Silver,Protoss
55,US,2274,Silver,Zerg
55,US,2274,Silver,Protoss
55,US,2274,Silver,Zerg
55,US,2274,Silver,Random
55,US,2274,Silver,Terran
55,US,2274,Silver,Terran
55,US,2274,Silver,Zerg
55,US,2274,Silver,Zerg
55,US,2274,Silver,Protoss
55,US,2274,Silver,Protoss
55,US,2274,Silver,Terran
55,US,2274,Silver,Terran
55,US,2274,Silver,Terran
55,US,2274,Silver,Zerg
55,US,2274,Silver,Terran
55,US,2274,Silver,Terran
