Season,Region,Rating,Rank,Race
57,KR,3119,Platinum,Terran
57,KR,3119,Platinum,Zerg
57,KR,3119,Platinum,Zerg
57,KR,3119,Platinum,Random
57,KR,3119,Platinum,Protoss
57,KR,3119,Platinum,Random
57,KR,3119,Platinum,Terran
57,KR,3119,Platinum,Protoss
57,KR,3119,Platinum,Protoss
57,KR,3119,Platinum,Protoss
57,KR,3119,Platinum,Zerg
57,KR,3119,Platinum,Random
57,KR,3119,Platinum,Terran
57,KR,3119,Platinum,Terran
57,KR,3119,Platinum,Protoss
57,KR,3119,Platinum,Terran
57,KR,3118,Platinum,Zerg
57,KR,3118,Platinum,Terran
57,KR,3116,Platinum,Zerg
57,KR,3116,Platinum,Zerg
57,KR,3116,Platinum,Protoss
57,KR,3116,Platinum,Terran
57,KR,3116,Platinum,Terran
57,KR,3116,Platinum,Protoss
57,KR,3116,Platinum,Zerg
57,KR,3116,Platinum,Protoss
57,KR,3116,Platinum,Zerg
57,KR,3116,Platinum,Protoss
57,KR,3116,Platinum,Terran
57,KR,3116,Platinum,Protoss
57,KR,3116,Platinum,Protoss
57,KR,3115,Platinum,Terran
57,KR,3115,Platinum,Zerg
57,KR,3115,Platinum,Terran
57,KR,3115,Platinum,Random
57,KR,3115,Platinum,Terran
57,KR,3115,Platinum,Random
57,KR,3115,Platinum,Terran
57,KR,3115,Platinum,Zerg
57,KR,3115,Platinum,Zerg
57,KR,3115,Platinum,Protoss
57,KR,3115,Platinum,Random
57,KR,3114,Platinum,Zerg
57,KR,3114,Platinum,Protoss
57,KR,3114,Platinum,Terran
57,KR,3114,Platinum,Terran
57,KR,3114,Platinum,Terran
57,KR,3114,Platinum,Zerg
57,KR,3114,Platinum,Random
57,KR,3114,Platinum,Protoss
57,KR,3113,Platinum,Zerg
57,KR,3113,Platinum,Protoss
57,KR,3113,Platinum,Protoss
57,KR,3113,Platinum,Random
57,KR,3113,Platinum,Protoss
57,KR,3113,Platinum,Protoss
57,KR,3113,Platinum,Zerg
57,KR,3113,Platinum,Terran
57,KR,3113,Platinum,Protoss
57,KR,3113,Platinum,Terran
57,KR,3113,Platinum,Terran
57,KR,3112,Platinum,Protoss
