Season,Region,Rating,Rank,Race
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Random
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Random
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Random
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Random
57,US,3119,Platinum,Random
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Zerg
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Protoss
57,US,3119,Platinum,Terran
57,US,3119,Platinum,Terran
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Random
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Random
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Random
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Protoss
57,US,3118,Platinum,Zerg
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Terran
57,US,3118,Platinum,Protoss
57,US,3117,Platinum,Zerg
57,US,3117,Platinum,Terran
57,US,3117,Platinum,Protoss
57,US,3117,Platinum,Zerg
57,US,3117,Platinum,Protoss
57,US,3117,Platinum,Protoss
57,US,3117,Platinum,Protoss
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Zerg
57,US,3115,Platinum,Random
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Zerg
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Zerg
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Random
57,US,3115,Platinum,Zerg
57,US,3115,Platinum,Random
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Random
57,US,3115,Platinum,Protoss
57,US,3115,Platinum,Terran
57,US,3115,Platinum,Zerg
57,US,3115,Platinum,Protoss
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Random
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Random
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Random
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Zerg
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Terran
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Protoss
57,US,3114,Platinum,Terran
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Terran
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Terran
57,US,3113,Platinum,Random
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Random
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Terran
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Terran
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Terran
57,US,3113,Platinum,Protoss
57,US,3113,Platinum,Zerg
57,US,3113,Platinum,Zerg
57,US,3112,Platinum,Protoss
57,US,3112,Platinum,Random
57,US,3112,Platinum,Random
57,US,3112,Platinum,Random
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Protoss
57,US,3112,Platinum,Terran
57,US,3112,Platinum,Random
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Protoss
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Terran
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Terran
57,US,3112,Platinum,Protoss
57,US,3112,Platinum,Zerg
57,US,3112,Platinum,Terran
57,US,3112,Platinum,Zerg
57,US,3110,Platinum,Zerg
57,US,3110,Platinum,Protoss
57,US,3110,Platinum,Protoss
57,US,3110,Platinum,Terran
57,US,3110,Platinum,Zerg
57,US,3110,Platinum,Random
57,US,3110,Platinum,Terran
