Season,Region,Rating,Rank,Race
28,CN,2279,Silver,Protoss
28,CN,2279,Silver,Zerg
28,CN,2278,Silver,Protoss
28,CN,2277,Silver,Zerg
28,CN,2277,Silver,Terran
28,CN,2277,Silver,Zerg
28,CN,2277,Silver,Protoss
28,CN,2277,Silver,Protoss
28,CN,2276,Silver,Zerg
28,CN,2276,Silver,Protoss
28,CN,2275,Silver,Protoss
28,CN,2275,Silver,Terran
28,CN,2275,Silver,Terran
28,CN,2274,Silver,Random
28,CN,2274,Silver,Protoss
28,CN,2274,Silver,Protoss
28,CN,2274,Silver,Terran
28,CN,2274,Silver,Protoss
28,CN,2273,Silver,Terran
28,CN,2273,Silver,Protoss
28,CN,2273,Silver,Terran
28,CN,2273,Silver,Random
28,CN,2272,Silver,Protoss
28,CN,2272,Silver,Terran
28,CN,2272,Silver,Protoss
28,CN,2271,Silver,Zerg
28,CN,2270,Silver,Terran
28,CN,2270,Silver,Terran
28,CN,2270,Silver,Zerg
28,CN,2269,Silver,Protoss
28,CN,2269,Silver,Protoss
28,CN,2269,Silver,Zerg
28,CN,2269,Silver,Terran
28,CN,2269,Silver,Protoss
28,CN,2268,Silver,Protoss
28,CN,2267,Silver,Zerg
28,CN,2267,Silver,Terran
28,CN,2265,Silver,Protoss
28,CN,2265,Silver,Protoss
28,CN,2265,Silver,Terran
28,CN,2264,Silver,Protoss
28,CN,2264,Silver,Zerg
28,CN,2264,Silver,Protoss
28,CN,2263,Silver,Zerg
28,CN,2263,Silver,Terran
28,CN,2263,Silver,Terran
28,CN,2262,Silver,Terran
28,CN,2261,Silver,Terran
28,CN,2261,Silver,Terran
28,CN,2261,Silver,Random
28,CN,2259,Silver,Terran
28,CN,2258,Silver,Protoss
28,CN,2258,Silver,Protoss
28,CN,2257,Silver,Terran
28,CN,2256,Silver,Terran
28,CN,2256,Silver,Protoss
28,CN,2255,Silver,Terran
28,CN,2255,Silver,Protoss
28,CN,2255,Silver,Protoss
28,CN,2253,Silver,Terran
28,CN,2253,Silver,Random
28,CN,2253,Silver,Terran
28,CN,2253,Silver,Terran
28,CN,2253,Silver,Terran
28,CN,2251,Silver,Protoss
28,CN,2251,Silver,Protoss
28,CN,2251,Silver,Terran
28,CN,2250,Silver,Terran
28,CN,2249,Silver,Protoss
28,CN,2249,Silver,Protoss
28,CN,2249,Silver,Protoss
28,CN,2248,Silver,Protoss
28,CN,2248,Silver,Zerg
28,CN,2248,Silver,Terran
28,CN,2247,Silver,Terran
28,CN,2247,Silver,Terran
28,CN,2247,Silver,Terran
28,CN,2247,Silver,Terran
28,CN,2246,Silver,Protoss
28,CN,2246,Silver,Terran
28,CN,2244,Silver,Protoss
28,CN,2244,Silver,Terran
28,CN,2244,Silver,Protoss
28,CN,2243,Silver,Zerg
28,CN,2242,Silver,Protoss
28,CN,2242,Silver,Random
28,CN,2240,Silver,Terran
28,CN,2240,Silver,Zerg
28,CN,2239,Silver,Protoss
28,CN,2239,Silver,Zerg
28,CN,2238,Silver,Terran
28,CN,2238,Silver,Protoss
28,CN,2238,Silver,Protoss
28,CN,2237,Silver,Terran
28,CN,2236,Silver,Terran
28,CN,2236,Silver,Protoss
28,CN,2236,Silver,Terran
28,CN,2236,Silver,Protoss
28,CN,2235,Silver,Protoss
28,CN,2235,Silver,Terran
28,CN,2234,Silver,Protoss
28,CN,2234,Silver,Protoss
28,CN,2234,Silver,Terran
28,CN,2234,Silver,Terran
28,CN,2233,Silver,Protoss
28,CN,2233,Silver,Terran
28,CN,2232,Silver,Terran
28,CN,2232,Silver,Terran
28,CN,2231,Silver,Terran
28,CN,2231,Silver,Terran
28,CN,2230,Silver,Zerg
28,CN,2230,Silver,Zerg
28,CN,2230,Silver,Protoss
28,CN,2230,Silver,Protoss
28,CN,2228,Silver,Protoss
28,CN,2228,Silver,Zerg
28,CN,2228,Silver,Zerg
28,CN,2228,Silver,Zerg
28,CN,2227,Silver,Protoss
28,CN,2226,Silver,Random
28,CN,2226,Silver,Protoss
28,CN,2225,Silver,Protoss
28,CN,2225,Silver,Protoss
28,CN,2224,Silver,Terran
28,CN,2224,Silver,Protoss
28,CN,2224,Silver,Protoss
28,CN,2224,Silver,Zerg
28,CN,2223,Silver,Terran
28,CN,2222,Silver,Terran
28,CN,2222,Silver,Zerg
28,CN,2221,Silver,Terran
28,CN,2221,Silver,Protoss
28,CN,2220,Silver,Random
28,CN,2220,Silver,Protoss
28,CN,2220,Silver,Terran
28,CN,2220,Silver,Protoss
28,CN,2219,Silver,Terran
28,CN,2219,Silver,Protoss
28,CN,2218,Silver,Protoss
28,CN,2217,Silver,Terran
28,CN,2217,Silver,Protoss
28,CN,2217,Silver,Protoss
28,CN,2216,Silver,Protoss
28,CN,2216,Silver,Protoss
28,CN,2214,Silver,Protoss
28,CN,2214,Silver,Terran
28,CN,2213,Silver,Terran
28,CN,2213,Silver,Terran
28,CN,2213,Silver,Protoss
28,CN,2213,Silver,Protoss
28,CN,2212,Silver,Protoss
28,CN,2211,Silver,Zerg
28,CN,2211,Silver,Zerg
28,CN,2211,Silver,Terran
28,CN,2211,Silver,Terran
28,CN,2210,Silver,Terran
28,CN,2209,Silver,Terran
28,CN,2209,Silver,Protoss
28,CN,2209,Silver,Protoss
28,CN,2209,Silver,Terran
28,CN,2209,Silver,Terran
28,CN,2207,Silver,Protoss
28,CN,2206,Silver,Protoss
28,CN,2205,Silver,Terran
28,CN,2205,Silver,Protoss
28,CN,2205,Silver,Terran
28,CN,2203,Silver,Protoss
28,CN,2203,Silver,Protoss
28,CN,2202,Silver,Protoss
28,CN,2202,Silver,Terran
28,CN,2201,Silver,Protoss
28,CN,2201,Silver,Random
28,CN,2200,Silver,Protoss
28,CN,2200,Silver,Protoss
28,CN,2199,Silver,Terran
28,CN,2199,Silver,Terran
28,CN,2197,Silver,Protoss
28,CN,2195,Silver,Terran
28,CN,2195,Silver,Protoss
28,CN,2194,Silver,Zerg
28,CN,2192,Silver,Protoss
28,CN,2192,Silver,Terran
28,CN,2192,Silver,Random
28,CN,2192,Silver,Terran
28,CN,2191,Silver,Terran
28,CN,2191,Silver,Protoss
28,CN,2190,Silver,Protoss
28,CN,2189,Silver,Terran
28,CN,2187,Silver,Terran
28,CN,2187,Silver,Protoss
28,CN,2186,Silver,Protoss
28,CN,2186,Silver,Terran
28,CN,2185,Silver,Protoss
28,CN,2183,Silver,Terran
28,CN,2183,Silver,Protoss
28,CN,2182,Silver,Protoss
28,CN,2181,Silver,Protoss
28,CN,2179,Silver,Protoss
28,CN,2179,Silver,Terran
28,CN,2178,Silver,Terran
28,CN,2178,Silver,Terran
28,CN,2178,Silver,Random
28,CN,2177,Silver,Terran
28,CN,2176,Silver,Terran
28,CN,2175,Silver,Zerg
28,CN,2175,Silver,Random
28,CN,2175,Silver,Terran
28,CN,2173,Silver,Terran
28,CN,2169,Silver,Terran
28,CN,2169,Silver,Protoss
28,CN,2168,Silver,Terran
28,CN,2168,Silver,Terran
28,CN,2166,Silver,Protoss
28,CN,2165,Silver,Terran
28,CN,2165,Silver,Protoss
28,CN,2165,Silver,Random
28,CN,2164,Silver,Zerg
28,CN,2163,Silver,Random
28,CN,2160,Silver,Protoss
28,CN,2160,Silver,Protoss
28,CN,2159,Silver,Zerg
28,CN,2158,Silver,Terran
28,CN,2157,Silver,Terran
28,CN,2154,Silver,Protoss
28,CN,2154,Silver,Protoss
28,CN,2154,Silver,Protoss
28,CN,2151,Silver,Terran
28,CN,2151,Silver,Zerg
28,CN,2150,Silver,Terran
28,CN,2150,Silver,Protoss
28,CN,2150,Silver,Protoss
28,CN,2149,Silver,Protoss
28,CN,2148,Silver,Terran
28,CN,2148,Silver,Protoss
28,CN,2148,Silver,Zerg
28,CN,2148,Silver,Protoss
28,CN,2147,Silver,Terran
28,CN,2147,Silver,Terran
28,CN,2147,Silver,Terran
28,CN,2146,Silver,Random
28,CN,2145,Silver,Random
28,CN,2145,Silver,Terran
28,CN,2145,Silver,Zerg
28,CN,2144,Silver,Random
28,CN,2143,Silver,Terran
28,CN,2141,Silver,Zerg
28,CN,2139,Silver,Protoss
28,CN,2139,Silver,Protoss
28,CN,2139,Silver,Zerg
28,CN,2136,Silver,Terran
28,CN,2135,Silver,Protoss
28,CN,2134,Silver,Terran
28,CN,2132,Silver,Protoss
28,CN,2132,Silver,Zerg
28,CN,2132,Silver,Terran
28,CN,2129,Silver,Zerg
28,CN,2128,Silver,Terran
28,CN,2128,Silver,Protoss
28,CN,2127,Silver,Terran
28,CN,2126,Silver,Protoss
28,CN,2126,Silver,Protoss
28,CN,2125,Silver,Terran
28,CN,2123,Silver,Terran
28,CN,2123,Silver,Terran
28,CN,2122,Silver,Terran
28,CN,2122,Silver,Zerg
28,CN,2121,Silver,Protoss
28,CN,2121,Silver,Terran
28,CN,2121,Silver,Protoss
28,CN,2121,Silver,Zerg
28,CN,2120,Silver,Terran
28,CN,2120,Silver,Terran
28,CN,2118,Silver,Terran
28,CN,2118,Silver,Terran
28,CN,2118,Silver,Terran
28,CN,2118,Silver,Protoss
28,CN,2115,Silver,Random
28,CN,2115,Silver,Zerg
28,CN,2114,Silver,Protoss
28,CN,2114,Silver,Random
28,CN,2112,Silver,Zerg
28,CN,2112,Silver,Protoss
28,CN,2112,Silver,Terran
28,CN,2109,Silver,Terran
28,CN,2108,Silver,Terran
28,CN,2108,Silver,Zerg
28,CN,2107,Silver,Zerg
28,CN,2106,Silver,Protoss
28,CN,2104,Silver,Protoss
28,CN,2103,Silver,Terran
28,CN,2103,Silver,Terran
28,CN,2102,Silver,Zerg
28,CN,2102,Silver,Terran
28,CN,2102,Silver,Protoss
28,CN,2101,Silver,Zerg
28,CN,2100,Silver,Terran
28,CN,2099,Silver,Terran
28,CN,2099,Silver,Random
28,CN,2098,Silver,Protoss
28,CN,2097,Silver,Protoss
28,CN,2096,Silver,Terran
28,CN,2096,Silver,Terran
28,CN,2096,Silver,Terran
28,CN,2096,Silver,Zerg
28,CN,2095,Silver,Protoss
28,CN,2094,Silver,Terran
28,CN,2094,Silver,Protoss
28,CN,2093,Silver,Terran
28,CN,2093,Silver,Terran
28,CN,2093,Silver,Terran
28,CN,2092,Silver,Protoss
28,CN,2092,Silver,Terran
28,CN,2092,Silver,Protoss
28,CN,2092,Silver,Terran
28,CN,2091,Silver,Terran
28,CN,2091,Silver,Protoss
28,CN,2088,Silver,Terran
28,CN,2086,Silver,Terran
28,CN,2086,Silver,Zerg
28,CN,2086,Silver,Protoss
28,CN,2085,Silver,Protoss
28,CN,2084,Silver,Protoss
28,CN,2084,Silver,Terran
28,CN,2084,Silver,Protoss
28,CN,2083,Silver,Terran
28,CN,2082,Silver,Protoss
28,CN,2079,Silver,Protoss
28,CN,2078,Silver,Zerg
28,CN,2078,Silver,Terran
28,CN,2078,Silver,Protoss
28,CN,2073,Silver,Protoss
28,CN,2073,Silver,Protoss
28,CN,2072,Silver,Zerg
28,CN,2071,Silver,Zerg
28,CN,2070,Silver,Zerg
28,CN,2067,Silver,Protoss
28,CN,2065,Silver,Zerg
28,CN,2064,Silver,Protoss
28,CN,2063,Silver,Zerg
28,CN,2063,Silver,Protoss
28,CN,2063,Silver,Protoss
28,CN,2062,Silver,Terran
28,CN,2061,Silver,Terran
28,CN,2060,Silver,Protoss
28,CN,2060,Silver,Protoss
28,CN,2059,Silver,Zerg
28,CN,2059,Silver,Protoss
28,CN,2056,Silver,Terran
28,CN,2056,Silver,Terran
28,CN,2054,Silver,Terran
28,CN,2046,Silver,Zerg
28,CN,2046,Silver,Zerg
28,CN,2041,Silver,Protoss
28,CN,2037,Silver,Terran
28,CN,2033,Silver,Zerg
28,CN,2032,Silver,Terran
28,CN,2028,Silver,Terran
28,CN,2028,Silver,Protoss
28,CN,2027,Silver,Protoss
28,CN,2025,Silver,Terran
28,CN,2021,Silver,Protoss
28,CN,2021,Silver,Terran
28,CN,2015,Silver,Protoss
28,CN,2011,Silver,Terran
28,CN,2011,Silver,Terran
28,CN,2010,Silver,Terran
28,CN,2009,Silver,Terran
28,CN,2006,Silver,Protoss
28,CN,2005,Silver,Random
28,CN,2000,Silver,Protoss
28,CN,1997,Silver,Terran
28,CN,1987,Silver,Protoss
28,CN,1984,Silver,Terran
28,CN,1983,Silver,Terran
28,CN,1979,Silver,Terran
28,CN,1976,Silver,Random
28,CN,1971,Silver,Protoss
28,CN,1970,Silver,Protoss
28,CN,1967,Silver,Protoss
28,CN,1966,Silver,Terran
28,CN,1963,Silver,Random
28,CN,1963,Silver,Protoss
28,CN,1961,Silver,Terran
28,CN,1960,Silver,Terran
28,CN,1953,Silver,Zerg
28,CN,1950,Silver,Terran
28,CN,1950,Silver,Random
28,CN,1950,Silver,Terran
28,CN,1949,Silver,Zerg
28,CN,1948,Silver,Protoss
28,CN,1945,Silver,Terran
28,CN,1944,Silver,Protoss
28,CN,1943,Silver,Terran
28,CN,1938,Silver,Terran
28,CN,1938,Silver,Terran
28,CN,1936,Silver,Zerg
28,CN,1935,Silver,Protoss
28,CN,1934,Silver,Protoss
28,CN,1931,Silver,Protoss
28,CN,1929,Silver,Protoss
28,CN,1919,Silver,Terran
28,CN,1918,Silver,Protoss
28,CN,1910,Silver,Protoss
28,CN,1909,Silver,Terran
28,CN,1907,Silver,Zerg
28,CN,1904,Silver,Protoss
28,CN,1897,Silver,Protoss
28,CN,1880,Silver,Zerg
28,CN,1875,Silver,Protoss
28,CN,1871,Silver,Protoss
28,CN,1862,Silver,Random
28,CN,1854,Silver,Terran
28,CN,1846,Silver,Terran
28,CN,1846,Silver,Terran
28,CN,1846,Silver,Terran
28,CN,1843,Silver,Zerg
28,CN,1828,Silver,Random
28,CN,1827,Silver,Terran
28,CN,1812,Silver,Zerg
28,CN,1810,Silver,Protoss
28,CN,1765,Silver,Terran
28,CN,1746,Silver,Terran
28,CN,1727,Silver,Terran
