Season,Region,Rating,Rank,Race
28,US,2678,Gold,Protoss
28,US,2678,Gold,Terran
28,US,2678,Gold,Terran
28,US,2678,Gold,Terran
28,US,2678,Gold,Zerg
28,US,2678,Gold,Terran
28,US,2678,Gold,Protoss
28,US,2678,Gold,Protoss
28,US,2678,Gold,Protoss
28,US,2678,Gold,Protoss
28,US,2678,Gold,Terran
28,US,2678,Gold,Zerg
28,US,2678,Gold,Protoss
28,US,2678,Gold,Terran
28,US,2678,Gold,Zerg
28,US,2678,Gold,Zerg
28,US,2677,Gold,Terran
28,US,2677,Gold,Zerg
28,US,2677,Gold,Protoss
28,US,2677,Gold,Terran
28,US,2677,Gold,Protoss
28,US,2677,Gold,Protoss
28,US,2677,Gold,Protoss
28,US,2677,Gold,Terran
28,US,2677,Gold,Zerg
28,US,2677,Gold,Protoss
28,US,2677,Gold,Zerg
28,US,2677,Gold,Protoss
28,US,2677,Gold,Terran
28,US,2677,Gold,Zerg
28,US,2677,Gold,Random
28,US,2677,Gold,Terran
28,US,2677,Gold,Protoss
28,US,2677,Gold,Terran
28,US,2676,Gold,Protoss
28,US,2676,Gold,Terran
28,US,2676,Gold,Protoss
28,US,2676,Gold,Zerg
28,US,2676,Gold,Terran
28,US,2676,Gold,Protoss
28,US,2676,Gold,Terran
28,US,2676,Gold,Zerg
28,US,2676,Gold,Terran
28,US,2676,Gold,Protoss
28,US,2676,Gold,Terran
28,US,2676,Gold,Protoss
28,US,2676,Gold,Terran
28,US,2676,Gold,Zerg
28,US,2676,Gold,Terran
28,US,2676,Gold,Zerg
28,US,2676,Gold,Zerg
28,US,2676,Gold,Zerg
28,US,2676,Gold,Terran
28,US,2676,Gold,Zerg
28,US,2675,Gold,Terran
28,US,2675,Gold,Protoss
28,US,2675,Gold,Terran
28,US,2675,Gold,Zerg
28,US,2675,Gold,Terran
28,US,2675,Gold,Protoss
28,US,2675,Gold,Protoss
28,US,2675,Gold,Zerg
28,US,2675,Gold,Protoss
28,US,2675,Gold,Zerg
28,US,2675,Gold,Terran
28,US,2675,Gold,Protoss
28,US,2675,Gold,Random
28,US,2675,Gold,Zerg
28,US,2674,Gold,Zerg
28,US,2674,Gold,Protoss
28,US,2674,Gold,Protoss
28,US,2674,Gold,Protoss
28,US,2674,Gold,Protoss
28,US,2674,Gold,Terran
28,US,2674,Gold,Protoss
28,US,2674,Gold,Terran
28,US,2674,Gold,Terran
28,US,2674,Gold,Protoss
28,US,2674,Gold,Terran
28,US,2674,Gold,Terran
28,US,2673,Gold,Protoss
28,US,2673,Gold,Terran
28,US,2673,Gold,Protoss
28,US,2673,Gold,Zerg
28,US,2673,Gold,Random
28,US,2673,Gold,Protoss
28,US,2673,Gold,Protoss
28,US,2673,Gold,Zerg
28,US,2673,Gold,Protoss
28,US,2672,Gold,Terran
28,US,2672,Gold,Protoss
28,US,2672,Gold,Random
28,US,2672,Gold,Terran
28,US,2672,Gold,Terran
