Season,Region,Rating,Rank,Race
29,US,6919,Grandmaster,Protoss
29,US,6773,Grandmaster,Terran
29,US,6675,Grandmaster,Zerg
29,US,6670,Grandmaster,Protoss
29,US,6663,Grandmaster,Terran
29,US,6573,Grandmaster,Terran
29,US,6544,Grandmaster,Zerg
29,US,6527,Grandmaster,Protoss
29,US,6522,Grandmaster,Zerg
29,US,6509,Grandmaster,Zerg
29,US,6475,Grandmaster,Protoss
29,US,6469,Grandmaster,Zerg
29,US,6449,Grandmaster,Protoss
29,US,6432,Grandmaster,Terran
29,US,6423,Grandmaster,Protoss
29,US,6411,Grandmaster,Zerg
29,US,6408,Grandmaster,Protoss
29,US,6408,Grandmaster,Terran
29,US,6408,Grandmaster,Protoss
29,US,6404,Grandmaster,Zerg
29,US,6396,Grandmaster,Zerg
29,US,6367,Grandmaster,Zerg
29,US,6341,Grandmaster,Zerg
29,US,6324,Grandmaster,Protoss
29,US,6288,Grandmaster,Terran
29,US,6287,Grandmaster,Terran
29,US,6270,Grandmaster,Terran
29,US,6267,Grandmaster,Zerg
29,US,6239,Grandmaster,Zerg
29,US,6238,Grandmaster,Terran
29,US,6236,Grandmaster,Protoss
29,US,6220,Grandmaster,Terran
29,US,6196,Grandmaster,Zerg
29,US,6185,Grandmaster,Zerg
29,US,6177,Grandmaster,Protoss
29,US,6173,Grandmaster,Random
29,US,6168,Grandmaster,Terran
29,US,6163,Grandmaster,Terran
29,US,6160,Grandmaster,Protoss
29,US,6158,Grandmaster,Zerg
29,US,6156,Grandmaster,Protoss
29,US,6152,Grandmaster,Protoss
29,US,6152,Grandmaster,Zerg
29,US,6145,Grandmaster,Zerg
29,US,6127,Grandmaster,Terran
29,US,6122,Grandmaster,Protoss
29,US,6110,Grandmaster,Protoss
29,US,6109,Grandmaster,Protoss
29,US,6109,Grandmaster,Protoss
29,US,6099,Grandmaster,Zerg
29,US,6096,Grandmaster,Terran
29,US,6086,Grandmaster,Protoss
29,US,6085,Grandmaster,Protoss
29,US,6078,Grandmaster,Zerg
29,US,6056,Grandmaster,Protoss
29,US,6051,Grandmaster,Protoss
29,US,6042,Grandmaster,Terran
29,US,6040,Grandmaster,Zerg
29,US,6029,Grandmaster,Terran
29,US,6018,Grandmaster,Zerg
29,US,6017,Grandmaster,Zerg
29,US,6004,Grandmaster,Terran
29,US,6003,Grandmaster,Terran
29,US,5999,Grandmaster,Terran
29,US,5999,Grandmaster,Zerg
29,US,5997,Grandmaster,Zerg
29,US,5995,Grandmaster,Zerg
29,US,5993,Grandmaster,Terran
29,US,5991,Grandmaster,Protoss
29,US,5989,Grandmaster,Terran
29,US,5987,Grandmaster,Terran
29,US,5985,Grandmaster,Terran
29,US,5977,Grandmaster,Zerg
29,US,5972,Grandmaster,Protoss
29,US,5971,Grandmaster,Protoss
29,US,5968,Grandmaster,Terran
29,US,5966,Grandmaster,Zerg
29,US,5947,Grandmaster,Protoss
29,US,5930,Grandmaster,Protoss
29,US,5927,Grandmaster,Zerg
29,US,5927,Grandmaster,Terran
29,US,5925,Grandmaster,Zerg
29,US,5920,Grandmaster,Protoss
29,US,5918,Grandmaster,Zerg
29,US,5918,Grandmaster,Terran
29,US,5916,Grandmaster,Zerg
29,US,5906,Grandmaster,Zerg
29,US,5897,Grandmaster,Protoss
29,US,5896,Grandmaster,Protoss
29,US,5887,Grandmaster,Protoss
29,US,5881,Grandmaster,Zerg
29,US,5880,Grandmaster,Zerg
29,US,5879,Grandmaster,Protoss
29,US,5876,Grandmaster,Zerg
29,US,5871,Grandmaster,Terran
29,US,5871,Grandmaster,Terran
29,US,5870,Grandmaster,Terran
29,US,5868,Grandmaster,Terran
29,US,5868,Grandmaster,Protoss
29,US,5866,Grandmaster,Terran
29,US,5863,Grandmaster,Zerg
29,US,5861,Grandmaster,Zerg
29,US,5858,Grandmaster,Terran
29,US,5857,Grandmaster,Zerg
29,US,5853,Grandmaster,Terran
29,US,5853,Grandmaster,Random
29,US,5848,Grandmaster,Protoss
29,US,5845,Grandmaster,Zerg
29,US,5837,Grandmaster,Terran
29,US,5833,Grandmaster,Protoss
29,US,5832,Grandmaster,Zerg
29,US,5832,Grandmaster,Zerg
29,US,5827,Grandmaster,Zerg
29,US,5826,Grandmaster,Protoss
29,US,5825,Grandmaster,Terran
29,US,5823,Grandmaster,Zerg
29,US,5816,Grandmaster,Terran
29,US,5816,Grandmaster,Zerg
29,US,5814,Grandmaster,Protoss
29,US,5813,Grandmaster,Terran
29,US,5809,Grandmaster,Protoss
29,US,5803,Grandmaster,Protoss
29,US,5800,Grandmaster,Protoss
29,US,5800,Grandmaster,Random
29,US,5797,Grandmaster,Protoss
29,US,5796,Grandmaster,Zerg
29,US,5796,Grandmaster,Zerg
29,US,5795,Grandmaster,Protoss
29,US,5793,Grandmaster,Protoss
29,US,5789,Grandmaster,Zerg
29,US,5789,Grandmaster,Terran
29,US,5788,Grandmaster,Protoss
29,US,5784,Grandmaster,Zerg
29,US,5784,Grandmaster,Terran
29,US,5782,Grandmaster,Terran
29,US,5775,Grandmaster,Zerg
29,US,5772,Grandmaster,Zerg
29,US,5771,Grandmaster,Zerg
29,US,5771,Grandmaster,Terran
29,US,5768,Grandmaster,Terran
29,US,5767,Grandmaster,Protoss
29,US,5767,Grandmaster,Terran
29,US,5759,Grandmaster,Protoss
29,US,5754,Grandmaster,Terran
29,US,5751,Grandmaster,Terran
29,US,5750,Grandmaster,Terran
29,US,5749,Grandmaster,Protoss
29,US,5748,Grandmaster,Zerg
29,US,5747,Grandmaster,Protoss
29,US,5746,Grandmaster,Protoss
29,US,5744,Grandmaster,Zerg
29,US,5743,Grandmaster,Zerg
29,US,5742,Grandmaster,Protoss
29,US,5740,Grandmaster,Terran
29,US,5740,Grandmaster,Protoss
29,US,5739,Grandmaster,Terran
29,US,5739,Grandmaster,Terran
29,US,5738,Grandmaster,Terran
29,US,5737,Grandmaster,Terran
29,US,5736,Grandmaster,Zerg
29,US,5731,Grandmaster,Terran
29,US,5731,Grandmaster,Terran
29,US,5730,Grandmaster,Zerg
29,US,5729,Grandmaster,Terran
29,US,5729,Grandmaster,Protoss
29,US,5729,Grandmaster,Zerg
