Season,Region,Rating,Rank,Race
30,US,1704,Bronze,Protoss
30,US,1704,Bronze,Terran
30,US,1691,Bronze,Protoss
30,US,1686,Bronze,Protoss
30,US,1683,Bronze,Random
30,US,1672,Bronze,Terran
30,US,1666,Bronze,Protoss
30,US,1654,Bronze,Protoss
30,US,1647,Bronze,Terran
30,US,1630,Bronze,Random
30,US,1620,Bronze,Protoss
30,US,1614,Bronze,Terran
30,US,1611,Bronze,Terran
30,US,1598,Bronze,Terran
30,US,1588,Bronze,Zerg
30,US,1584,Bronze,Terran
30,US,1519,Bronze,Random
30,US,1481,Bronze,Zerg
30,US,1478,Bronze,Protoss
30,US,1465,Bronze,Protoss
30,US,1440,Bronze,Terran
30,US,1412,Bronze,Protoss
30,US,1306,Bronze,Random
30,US,1259,Bronze,Random
