Season,Region,Rating,Rank,Race
31,KR,7080,Grandmaster,Zerg
31,KR,7018,Grandmaster,Terran
31,KR,7018,Grandmaster,Terran
31,KR,7008,Grandmaster,Zerg
31,KR,7006,Grandmaster,Zerg
31,KR,6980,Grandmaster,Terran
31,KR,6968,Grandmaster,Terran
31,KR,6944,Grandmaster,Terran
31,KR,6936,Grandmaster,Zerg
31,KR,6936,Grandmaster,Terran
31,KR,6927,Grandmaster,Protoss
31,KR,6926,Grandmaster,Terran
31,KR,6925,Grandmaster,Protoss
31,KR,6922,Grandmaster,Zerg
31,KR,6903,Grandmaster,Terran
31,KR,6902,Grandmaster,Terran
31,KR,6891,Grandmaster,Protoss
31,KR,6890,Grandmaster,Protoss
31,KR,6887,Grandmaster,Zerg
31,KR,6881,Grandmaster,Protoss
31,KR,6879,Grandmaster,Zerg
31,KR,6854,Grandmaster,Zerg
31,KR,6847,Grandmaster,Terran
31,KR,6838,Grandmaster,Zerg
31,KR,6822,Grandmaster,Zerg
31,KR,6821,Grandmaster,Terran
31,KR,6812,Grandmaster,Zerg
31,KR,6812,Grandmaster,Zerg
31,KR,6808,Grandmaster,Zerg
31,KR,6796,Grandmaster,Zerg
31,KR,6793,Grandmaster,Zerg
31,KR,6789,Grandmaster,Protoss
31,KR,6779,Grandmaster,Terran
31,KR,6771,Grandmaster,Terran
31,KR,6760,Grandmaster,Zerg
31,KR,6753,Grandmaster,Zerg
31,KR,6746,Grandmaster,Zerg
31,KR,6738,Grandmaster,Terran
31,KR,6732,Grandmaster,Zerg
31,KR,6724,Grandmaster,Protoss
31,KR,6723,Grandmaster,Terran
31,KR,6712,Grandmaster,Protoss
31,KR,6710,Grandmaster,Terran
31,KR,6705,Grandmaster,Zerg
31,KR,6705,Grandmaster,Protoss
31,KR,6702,Grandmaster,Zerg
31,KR,6702,Grandmaster,Zerg
31,KR,6691,Grandmaster,Protoss
31,KR,6683,Grandmaster,Zerg
31,KR,6682,Grandmaster,Zerg
31,KR,6681,Grandmaster,Terran
31,KR,6667,Grandmaster,Protoss
31,KR,6665,Grandmaster,Protoss
31,KR,6659,Grandmaster,Protoss
31,KR,6658,Grandmaster,Terran
31,KR,6655,Grandmaster,Terran
31,KR,6653,Grandmaster,Protoss
31,KR,6632,Grandmaster,Protoss
31,KR,6628,Grandmaster,Zerg
31,KR,6617,Grandmaster,Zerg
31,KR,6615,Grandmaster,Terran
31,KR,6612,Grandmaster,Protoss
