Season,Region,Rating,Rank,Race
40,EU,7312,Grandmaster,Zerg
40,EU,7124,Grandmaster,Protoss
40,EU,7090,Grandmaster,Protoss
40,EU,7059,Grandmaster,Terran
40,EU,7057,Grandmaster,Terran
40,EU,7009,Grandmaster,Terran
40,EU,6987,Grandmaster,Zerg
40,EU,6971,Grandmaster,Zerg
40,EU,6937,Grandmaster,Protoss
40,EU,6936,Grandmaster,Protoss
40,EU,6915,Grandmaster,Terran
40,EU,6912,Grandmaster,Terran
40,EU,6868,Grandmaster,Terran
40,EU,6868,Grandmaster,Zerg
40,EU,6839,Grandmaster,Terran
40,EU,6838,Grandmaster,Protoss
40,EU,6835,Grandmaster,Terran
40,EU,6816,Grandmaster,Protoss
40,EU,6808,Grandmaster,Terran
40,EU,6789,Grandmaster,Terran
40,EU,6783,Grandmaster,Protoss
40,EU,6747,Grandmaster,Zerg
40,EU,6741,Grandmaster,Protoss
40,EU,6736,Grandmaster,Terran
40,EU,6732,Grandmaster,Terran
40,EU,6729,Grandmaster,Terran
40,EU,6726,Grandmaster,Protoss
40,EU,6715,Grandmaster,Protoss
40,EU,6714,Grandmaster,Terran
40,EU,6702,Grandmaster,Protoss
40,EU,6692,Grandmaster,Zerg
40,EU,6689,Grandmaster,Zerg
40,EU,6682,Grandmaster,Protoss
40,EU,6680,Grandmaster,Protoss
40,EU,6666,Grandmaster,Protoss
40,EU,6660,Grandmaster,Zerg
40,EU,6638,Grandmaster,Protoss
40,EU,6638,Grandmaster,Terran
40,EU,6617,Grandmaster,Protoss
40,EU,6613,Grandmaster,Zerg
40,EU,6600,Grandmaster,Zerg
40,EU,6598,Grandmaster,Zerg
40,EU,6586,Grandmaster,Protoss
40,EU,6582,Grandmaster,Zerg
40,EU,6580,Grandmaster,Zerg
40,EU,6576,Grandmaster,Terran
40,EU,6566,Grandmaster,Zerg
40,EU,6560,Grandmaster,Terran
40,EU,6558,Grandmaster,Protoss
40,EU,6546,Grandmaster,Zerg
40,EU,6524,Grandmaster,Protoss
40,EU,6517,Grandmaster,Terran
40,EU,6504,Grandmaster,Terran
40,EU,6493,Grandmaster,Terran
40,EU,6490,Grandmaster,Protoss
40,EU,6480,Grandmaster,Zerg
40,EU,6477,Grandmaster,Protoss
40,EU,6465,Grandmaster,Zerg
40,EU,6456,Grandmaster,Terran
40,EU,6456,Grandmaster,Zerg
40,EU,6455,Grandmaster,Protoss
40,EU,6455,Grandmaster,Protoss
40,EU,6450,Grandmaster,Zerg
40,EU,6448,Grandmaster,Protoss
40,EU,6445,Grandmaster,Terran
40,EU,6442,Grandmaster,Protoss
40,EU,6432,Grandmaster,Protoss
40,EU,6432,Grandmaster,Protoss
40,EU,6429,Grandmaster,Protoss
40,EU,6428,Grandmaster,Terran
40,EU,6413,Grandmaster,Terran
40,EU,6401,Grandmaster,Terran
40,EU,6384,Grandmaster,Protoss
40,EU,6378,Grandmaster,Protoss
40,EU,6373,Grandmaster,Zerg
40,EU,6356,Grandmaster,Terran
40,EU,6352,Grandmaster,Protoss
40,EU,6351,Grandmaster,Zerg
40,EU,6349,Grandmaster,Protoss
40,EU,6346,Grandmaster,Zerg
40,EU,6338,Grandmaster,Zerg
40,EU,6332,Grandmaster,Terran
