Season,Region,Rating,Rank,Race
41,CN,1718,Bronze,Random
41,CN,1716,Bronze,Zerg
41,CN,1715,Bronze,Zerg
41,CN,1715,Bronze,Terran
41,CN,1714,Bronze,Random
41,CN,1714,Bronze,Terran
41,CN,1714,Bronze,Zerg
41,CN,1712,Bronze,Protoss
41,CN,1712,Bronze,Zerg
41,CN,1711,Bronze,Protoss
41,CN,1711,Bronze,Zerg
41,CN,1711,Bronze,Protoss
41,CN,1710,Bronze,Zerg
41,CN,1710,Bronze,Zerg
41,CN,1708,Bronze,Terran
41,CN,1707,Bronze,Terran
41,CN,1707,Bronze,Random
41,CN,1706,Bronze,Zerg
41,CN,1705,Bronze,Terran
41,CN,1704,Bronze,Protoss
41,CN,1704,Bronze,Protoss
41,CN,1704,Bronze,Terran
41,CN,1703,Bronze,Protoss
41,CN,1703,Bronze,Terran
41,CN,1703,Bronze,Terran
41,CN,1701,Bronze,Terran
41,CN,1701,Bronze,Random
41,CN,1700,Bronze,Terran
41,CN,1699,Bronze,Terran
41,CN,1699,Bronze,Protoss
41,CN,1698,Bronze,Zerg
41,CN,1698,Bronze,Terran
41,CN,1694,Bronze,Protoss
41,CN,1694,Bronze,Protoss
41,CN,1694,Bronze,Protoss
41,CN,1694,Bronze,Random
41,CN,1694,Bronze,Zerg
41,CN,1692,Bronze,Zerg
41,CN,1692,Bronze,Terran
41,CN,1690,Bronze,Zerg
41,CN,1687,Bronze,Zerg
41,CN,1687,Bronze,Terran
41,CN,1686,Bronze,Terran
41,CN,1685,Bronze,Terran
41,CN,1685,Bronze,Protoss
41,CN,1684,Bronze,Protoss
41,CN,1683,Bronze,Zerg
41,CN,1682,Bronze,Protoss
41,CN,1682,Bronze,Zerg
41,CN,1682,Bronze,Protoss
41,CN,1675,Bronze,Terran
41,CN,1675,Bronze,Random
41,CN,1674,Bronze,Random
41,CN,1673,Bronze,Zerg
41,CN,1673,Bronze,Terran
41,CN,1671,Bronze,Random
41,CN,1670,Bronze,Protoss
41,CN,1669,Bronze,Terran
41,CN,1667,Bronze,Zerg
41,CN,1665,Bronze,Protoss
41,CN,1663,Bronze,Zerg
41,CN,1661,Bronze,Zerg
41,CN,1661,Bronze,Protoss
41,CN,1661,Bronze,Terran
41,CN,1659,Bronze,Terran
41,CN,1656,Bronze,Terran
41,CN,1655,Bronze,Terran
41,CN,1651,Bronze,Terran
41,CN,1650,Bronze,Random
41,CN,1650,Bronze,Terran
41,CN,1649,Bronze,Terran
41,CN,1649,Bronze,Protoss
41,CN,1649,Bronze,Random
41,CN,1647,Bronze,Terran
41,CN,1646,Bronze,Terran
41,CN,1646,Bronze,Zerg
41,CN,1642,Bronze,Protoss
41,CN,1641,Bronze,Terran
41,CN,1640,Bronze,Protoss
41,CN,1639,Bronze,Protoss
41,CN,1638,Bronze,Protoss
41,CN,1638,Bronze,Terran
41,CN,1638,Bronze,Protoss
41,CN,1636,Bronze,Terran
41,CN,1635,Bronze,Zerg
41,CN,1635,Bronze,Zerg
41,CN,1634,Bronze,Terran
41,CN,1633,Bronze,Terran
41,CN,1633,Bronze,Protoss
41,CN,1632,Bronze,Terran
41,CN,1632,Bronze,Random
41,CN,1630,Bronze,Terran
41,CN,1630,Bronze,Zerg
41,CN,1630,Bronze,Terran
41,CN,1629,Bronze,Zerg
41,CN,1628,Bronze,Random
41,CN,1627,Bronze,Terran
41,CN,1623,Bronze,Terran
41,CN,1622,Bronze,Terran
41,CN,1619,Bronze,Terran
41,CN,1616,Bronze,Terran
41,CN,1615,Bronze,Zerg
41,CN,1614,Bronze,Terran
41,CN,1613,Bronze,Random
41,CN,1613,Bronze,Protoss
41,CN,1612,Bronze,Terran
41,CN,1606,Bronze,Terran
41,CN,1604,Bronze,Terran
41,CN,1601,Bronze,Terran
41,CN,1601,Bronze,Random
41,CN,1599,Bronze,Terran
41,CN,1598,Bronze,Zerg
41,CN,1597,Bronze,Random
41,CN,1594,Bronze,Terran
41,CN,1592,Bronze,Protoss
41,CN,1590,Bronze,Random
41,CN,1587,Bronze,Terran
41,CN,1584,Bronze,Zerg
41,CN,1582,Bronze,Protoss
41,CN,1581,Bronze,Protoss
41,CN,1576,Bronze,Zerg
41,CN,1574,Bronze,Protoss
41,CN,1571,Bronze,Zerg
41,CN,1571,Bronze,Terran
41,CN,1570,Bronze,Terran
41,CN,1568,Bronze,Terran
41,CN,1567,Bronze,Zerg
41,CN,1565,Bronze,Protoss
41,CN,1555,Bronze,Terran
41,CN,1550,Bronze,Protoss
41,CN,1544,Bronze,Zerg
41,CN,1539,Bronze,Random
41,CN,1536,Bronze,Zerg
41,CN,1526,Bronze,Zerg
41,CN,1526,Bronze,Protoss
41,CN,1525,Bronze,Zerg
41,CN,1520,Bronze,Terran
41,CN,1520,Bronze,Random
41,CN,1520,Bronze,Terran
41,CN,1517,Bronze,Protoss
41,CN,1516,Bronze,Terran
41,CN,1516,Bronze,Terran
41,CN,1514,Bronze,Protoss
41,CN,1505,Bronze,Terran
41,CN,1499,Bronze,Protoss
41,CN,1496,Bronze,Random
41,CN,1493,Bronze,Zerg
41,CN,1487,Bronze,Protoss
41,CN,1486,Bronze,Terran
41,CN,1480,Bronze,Random
41,CN,1474,Bronze,Zerg
41,CN,1472,Bronze,Random
41,CN,1471,Bronze,Zerg
41,CN,1463,Bronze,Terran
41,CN,1463,Bronze,Protoss
41,CN,1462,Bronze,Terran
41,CN,1460,Bronze,Zerg
41,CN,1442,Bronze,Protoss
41,CN,1442,Bronze,Zerg
41,CN,1441,Bronze,Terran
41,CN,1439,Bronze,Terran
41,CN,1438,Bronze,Terran
41,CN,1433,Bronze,Zerg
41,CN,1430,Bronze,Protoss
41,CN,1429,Bronze,Zerg
41,CN,1423,Bronze,Protoss
41,CN,1423,Bronze,Terran
41,CN,1408,Bronze,Terran
41,CN,1407,Bronze,Random
41,CN,1393,Bronze,Zerg
41,CN,1385,Bronze,Terran
41,CN,1373,Bronze,Terran
41,CN,1353,Bronze,Terran
41,CN,1345,Bronze,Protoss
