Season,Region,Rating,Rank,Race
41,EU,4249,Diamond,Terran
41,EU,4249,Diamond,Random
41,EU,4249,Diamond,Terran
41,EU,4249,Diamond,Zerg
41,EU,4249,Diamond,Zerg
41,EU,4249,Diamond,Protoss
41,EU,4249,Diamond,Terran
41,EU,4249,Diamond,Random
41,EU,4249,Diamond,Protoss
41,EU,4249,Diamond,Random
41,EU,4249,Diamond,Terran
41,EU,4249,Diamond,Terran
41,EU,4248,Diamond,Terran
41,EU,4248,Diamond,Terran
41,EU,4248,Diamond,Random
41,EU,4248,Diamond,Zerg
41,EU,4248,Diamond,Zerg
41,EU,4248,Diamond,Zerg
41,EU,4247,Diamond,Zerg
41,EU,4247,Diamond,Zerg
41,EU,4247,Diamond,Terran
41,EU,4247,Diamond,Terran
41,EU,4247,Diamond,Terran
41,EU,4247,Diamond,Terran
41,EU,4247,Diamond,Random
41,EU,4247,Diamond,Zerg
41,EU,4247,Diamond,Protoss
41,EU,4247,Diamond,Terran
41,EU,4247,Diamond,Zerg
41,EU,4247,Diamond,Terran
41,EU,4246,Diamond,Zerg
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Protoss
41,EU,4246,Diamond,Protoss
41,EU,4246,Diamond,Protoss
41,EU,4246,Diamond,Zerg
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Zerg
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Terran
41,EU,4246,Diamond,Zerg
41,EU,4245,Diamond,Protoss
41,EU,4245,Diamond,Terran
41,EU,4245,Diamond,Terran
41,EU,4245,Diamond,Protoss
41,EU,4245,Diamond,Protoss
41,EU,4245,Diamond,Zerg
41,EU,4243,Diamond,Terran
41,EU,4243,Diamond,Random
41,EU,4243,Diamond,Terran
41,EU,4243,Diamond,Protoss
41,EU,4243,Diamond,Zerg
41,EU,4243,Diamond,Terran
41,EU,4243,Diamond,Random
41,EU,4243,Diamond,Protoss
41,EU,4243,Diamond,Zerg
41,EU,4243,Diamond,Terran
41,EU,4243,Diamond,Zerg
41,EU,4243,Diamond,Terran
41,EU,4243,Diamond,Protoss
41,EU,4242,Diamond,Zerg
41,EU,4242,Diamond,Protoss
41,EU,4242,Diamond,Terran
41,EU,4242,Diamond,Protoss
41,EU,4242,Diamond,Terran
41,EU,4242,Diamond,Zerg
41,EU,4242,Diamond,Terran
41,EU,4242,Diamond,Terran
41,EU,4242,Diamond,Zerg
41,EU,4242,Diamond,Random
41,EU,4242,Diamond,Protoss
41,EU,4242,Diamond,Terran
41,EU,4242,Diamond,Zerg
41,EU,4242,Diamond,Protoss
41,EU,4242,Diamond,Random
41,EU,4242,Diamond,Zerg
41,EU,4241,Diamond,Protoss
41,EU,4241,Diamond,Random
41,EU,4241,Diamond,Protoss
41,EU,4241,Diamond,Terran
41,EU,4241,Diamond,Terran
41,EU,4241,Diamond,Zerg
41,EU,4241,Diamond,Zerg
41,EU,4241,Diamond,Terran
41,EU,4241,Diamond,Zerg
41,EU,4241,Diamond,Random
41,EU,4241,Diamond,Protoss
41,EU,4241,Diamond,Zerg
41,EU,4241,Diamond,Terran
41,EU,4241,Diamond,Zerg
41,EU,4241,Diamond,Terran
41,EU,4240,Diamond,Zerg
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Protoss
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Random
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Random
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Terran
41,EU,4240,Diamond,Protoss
41,EU,4239,Diamond,Zerg
41,EU,4239,Diamond,Zerg
41,EU,4239,Diamond,Random
41,EU,4239,Diamond,Zerg
41,EU,4239,Diamond,Random
41,EU,4239,Diamond,Terran
41,EU,4239,Diamond,Terran
41,EU,4239,Diamond,Zerg
41,EU,4239,Diamond,Protoss
41,EU,4239,Diamond,Terran
41,EU,4239,Diamond,Zerg
41,EU,4239,Diamond,Protoss
41,EU,4239,Diamond,Protoss
41,EU,4238,Diamond,Terran
41,EU,4238,Diamond,Terran
41,EU,4238,Diamond,Terran
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Terran
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Zerg
41,EU,4238,Diamond,Random
41,EU,4238,Diamond,Protoss
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Terran
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Protoss
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Random
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Random
41,EU,4237,Diamond,Zerg
41,EU,4237,Diamond,Terran
41,EU,4237,Diamond,Random
41,EU,4236,Diamond,Zerg
41,EU,4236,Diamond,Zerg
41,EU,4236,Diamond,Terran
41,EU,4236,Diamond,Zerg
41,EU,4236,Diamond,Zerg
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Protoss
41,EU,4234,Diamond,Random
41,EU,4234,Diamond,Protoss
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Protoss
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Protoss
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Terran
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Protoss
41,EU,4234,Diamond,Zerg
41,EU,4234,Diamond,Zerg
41,EU,4233,Diamond,Terran
41,EU,4233,Diamond,Terran
41,EU,4233,Diamond,Terran
41,EU,4233,Diamond,Protoss
41,EU,4233,Diamond,Zerg
41,EU,4233,Diamond,Protoss
41,EU,4233,Diamond,Terran
41,EU,4233,Diamond,Protoss
41,EU,4233,Diamond,Zerg
41,EU,4233,Diamond,Protoss
41,EU,4233,Diamond,Zerg
41,EU,4233,Diamond,Random
41,EU,4233,Diamond,Zerg
41,EU,4232,Diamond,Zerg
41,EU,4232,Diamond,Terran
41,EU,4232,Diamond,Terran
41,EU,4232,Diamond,Protoss
41,EU,4232,Diamond,Protoss
41,EU,4232,Diamond,Terran
41,EU,4232,Diamond,Zerg
41,EU,4232,Diamond,Random
41,EU,4232,Diamond,Zerg
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Random
41,EU,4231,Diamond,Zerg
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Protoss
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Zerg
41,EU,4231,Diamond,Zerg
41,EU,4231,Diamond,Zerg
41,EU,4231,Diamond,Terran
41,EU,4231,Diamond,Random
41,EU,4231,Diamond,Protoss
41,EU,4231,Diamond,Zerg
41,EU,4231,Diamond,Random
41,EU,4230,Diamond,Zerg
41,EU,4230,Diamond,Zerg
41,EU,4230,Diamond,Protoss
41,EU,4230,Diamond,Terran
41,EU,4230,Diamond,Random
41,EU,4230,Diamond,Random
41,EU,4230,Diamond,Zerg
41,EU,4230,Diamond,Zerg
41,EU,4230,Diamond,Terran
41,EU,4230,Diamond,Protoss
41,EU,4230,Diamond,Protoss
41,EU,4230,Diamond,Terran
41,EU,4229,Diamond,Zerg
41,EU,4229,Diamond,Terran
