Season,Region,Rating,Rank,Race
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Random
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Random
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Random
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Terran
41,KR,2678,Gold,Protoss
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Zerg
41,KR,2678,Gold,Random
41,KR,2677,Gold,Terran
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Terran
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Terran
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Random
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Terran
41,KR,2677,Gold,Zerg
41,KR,2677,Gold,Terran
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Protoss
41,KR,2677,Gold,Protoss
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Zerg
41,KR,2676,Gold,Terran
41,KR,2676,Gold,Terran
41,KR,2676,Gold,Zerg
41,KR,2676,Gold,Zerg
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Protoss
41,KR,2676,Gold,Terran
41,KR,2676,Gold,Terran
41,KR,2676,Gold,Zerg
41,KR,2676,Gold,Terran
41,KR,2676,Gold,Terran
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Random
41,KR,2675,Gold,Random
41,KR,2675,Gold,Zerg
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Zerg
41,KR,2675,Gold,Random
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Zerg
41,KR,2675,Gold,Zerg
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Random
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Terran
41,KR,2675,Gold,Protoss
41,KR,2675,Gold,Zerg
41,KR,2674,Gold,Zerg
41,KR,2674,Gold,Terran
41,KR,2674,Gold,Protoss
41,KR,2674,Gold,Random
41,KR,2674,Gold,Terran
41,KR,2674,Gold,Protoss
41,KR,2674,Gold,Terran
41,KR,2674,Gold,Zerg
41,KR,2674,Gold,Zerg
41,KR,2674,Gold,Protoss
