Season,Region,Rating,Rank,Race
42,CN,6375,Grandmaster,Terran
42,CN,6126,Grandmaster,Zerg
42,CN,6078,Grandmaster,Zerg
42,CN,6006,Grandmaster,Terran
42,CN,5892,Grandmaster,Terran
42,CN,5803,Grandmaster,Zerg
42,CN,5800,Grandmaster,Zerg
42,CN,5779,Grandmaster,Zerg
42,CN,5768,Grandmaster,Protoss
42,CN,5765,Grandmaster,Zerg
42,CN,5760,Grandmaster,Terran
42,CN,5736,Grandmaster,Protoss
42,CN,5714,Grandmaster,Zerg
42,CN,5713,Grandmaster,Zerg
42,CN,5700,Grandmaster,Terran
42,CN,5695,Grandmaster,Terran
42,CN,5684,Grandmaster,Terran
42,CN,5684,Grandmaster,Zerg
42,CN,5680,Grandmaster,Protoss
42,CN,5679,Grandmaster,Protoss
42,CN,5662,Grandmaster,Protoss
42,CN,5660,Grandmaster,Zerg
42,CN,5660,Grandmaster,Zerg
42,CN,5617,Grandmaster,Protoss
42,CN,5601,Grandmaster,Protoss
42,CN,5600,Grandmaster,Protoss
42,CN,5595,Grandmaster,Protoss
42,CN,5580,Grandmaster,Terran
42,CN,5579,Grandmaster,Protoss
42,CN,5576,Grandmaster,Protoss
42,CN,5568,Grandmaster,Terran
42,CN,5560,Grandmaster,Terran
42,CN,5556,Grandmaster,Protoss
42,CN,5550,Grandmaster,Protoss
42,CN,5548,Grandmaster,Terran
42,CN,5534,Grandmaster,Zerg
42,CN,5533,Grandmaster,Protoss
42,CN,5531,Grandmaster,Protoss
42,CN,5513,Grandmaster,Terran
42,CN,5512,Grandmaster,Zerg
42,CN,5512,Grandmaster,Protoss
42,CN,5510,Grandmaster,Terran
42,CN,5504,Grandmaster,Protoss
42,CN,5504,Grandmaster,Terran
42,CN,5502,Grandmaster,Terran
42,CN,5499,Grandmaster,Protoss
42,CN,5498,Grandmaster,Zerg
42,CN,5482,Grandmaster,Terran
42,CN,5482,Grandmaster,Zerg
42,CN,5477,Grandmaster,Protoss
42,CN,5475,Grandmaster,Protoss
42,CN,5463,Grandmaster,Terran
42,CN,5461,Grandmaster,Terran
42,CN,5457,Grandmaster,Protoss
42,CN,5455,Grandmaster,Protoss
42,CN,5449,Grandmaster,Terran
42,CN,5446,Grandmaster,Zerg
42,CN,5434,Grandmaster,Terran
42,CN,5432,Grandmaster,Terran
42,CN,5430,Grandmaster,Terran
42,CN,5425,Grandmaster,Terran
42,CN,5424,Grandmaster,Protoss
42,CN,5421,Grandmaster,Zerg
42,CN,5420,Grandmaster,Zerg
42,CN,5418,Grandmaster,Zerg
42,CN,5412,Grandmaster,Protoss
42,CN,5410,Grandmaster,Protoss
42,CN,5409,Grandmaster,Protoss
42,CN,5406,Grandmaster,Zerg
42,CN,5405,Grandmaster,Terran
42,CN,5405,Grandmaster,Terran
42,CN,5401,Grandmaster,Random
42,CN,5401,Grandmaster,Random
42,CN,5401,Grandmaster,Protoss
42,CN,5400,Grandmaster,Zerg
42,CN,5392,Grandmaster,Protoss
42,CN,5391,Grandmaster,Protoss
42,CN,5388,Grandmaster,Protoss
42,CN,5379,Grandmaster,Terran
42,CN,5379,Grandmaster,Protoss
42,CN,5375,Grandmaster,Terran
42,CN,5369,Grandmaster,Zerg
42,CN,5366,Grandmaster,Zerg
42,CN,5362,Grandmaster,Protoss
42,CN,5362,Grandmaster,Protoss
42,CN,5359,Grandmaster,Random
42,CN,5358,Grandmaster,Protoss
42,CN,5356,Grandmaster,Zerg
42,CN,5354,Grandmaster,Random
42,CN,5354,Grandmaster,Protoss
42,CN,5351,Grandmaster,Terran
42,CN,5351,Grandmaster,Terran
42,CN,5350,Grandmaster,Protoss
42,CN,5350,Grandmaster,Protoss
42,CN,5350,Grandmaster,Terran
42,CN,5347,Grandmaster,Terran
42,CN,5338,Grandmaster,Protoss
42,CN,5335,Grandmaster,Terran
42,CN,5334,Grandmaster,Terran
42,CN,5331,Grandmaster,Protoss
42,CN,5329,Grandmaster,Zerg
42,CN,5327,Grandmaster,Protoss
42,CN,5326,Grandmaster,Terran
42,CN,5322,Grandmaster,Terran
42,CN,5321,Grandmaster,Zerg
42,CN,5320,Grandmaster,Terran
42,CN,5319,Grandmaster,Protoss
42,CN,5319,Grandmaster,Zerg
42,CN,5319,Grandmaster,Protoss
42,CN,5318,Grandmaster,Random
42,CN,5313,Grandmaster,Terran
42,CN,5313,Grandmaster,Protoss
42,CN,5312,Grandmaster,Zerg
42,CN,5310,Grandmaster,Protoss
42,CN,5310,Grandmaster,Protoss
42,CN,5309,Grandmaster,Terran
42,CN,5309,Grandmaster,Terran
42,CN,5308,Grandmaster,Terran
42,CN,5308,Grandmaster,Terran
42,CN,5307,Grandmaster,Terran
42,CN,5306,Grandmaster,Zerg
42,CN,5305,Grandmaster,Protoss
42,CN,5303,Grandmaster,Terran
42,CN,5303,Grandmaster,Terran
42,CN,5302,Grandmaster,Protoss
42,CN,5292,Grandmaster,Protoss
42,CN,5291,Grandmaster,Terran
42,CN,5288,Grandmaster,Random
42,CN,5283,Grandmaster,Protoss
42,CN,5279,Grandmaster,Zerg
42,CN,5278,Grandmaster,Terran
42,CN,5268,Grandmaster,Zerg
42,CN,5266,Grandmaster,Protoss
42,CN,5263,Grandmaster,Protoss
42,CN,5263,Grandmaster,Protoss
42,CN,5260,Grandmaster,Random
42,CN,5257,Grandmaster,Protoss
42,CN,5256,Grandmaster,Zerg
42,CN,5256,Grandmaster,Protoss
42,CN,5249,Grandmaster,Terran
42,CN,5244,Grandmaster,Terran
