Season,Region,Rating,Rank,Race
42,US,2279,Silver,Random
42,US,2279,Silver,Zerg
42,US,2279,Silver,Terran
42,US,2279,Silver,Zerg
42,US,2279,Silver,Zerg
42,US,2279,Silver,Random
42,US,2279,Silver,Terran
42,US,2279,Silver,Terran
42,US,2279,Silver,Protoss
42,US,2279,Silver,Terran
42,US,2279,Silver,Protoss
42,US,2279,Silver,Terran
42,US,2279,Silver,Protoss
42,US,2279,Silver,Terran
42,US,2279,Silver,Random
42,US,2279,Silver,Terran
42,US,2279,Silver,Terran
42,US,2279,Silver,Random
42,US,2279,Silver,Zerg
42,US,2279,Silver,Protoss
42,US,2279,Silver,Terran
42,US,2279,Silver,Terran
42,US,2279,Silver,Protoss
42,US,2279,Silver,Terran
42,US,2279,Silver,Zerg
42,US,2279,Silver,Protoss
42,US,2279,Silver,Random
42,US,2279,Silver,Terran
42,US,2279,Silver,Protoss
42,US,2278,Silver,Random
42,US,2278,Silver,Random
42,US,2278,Silver,Terran
42,US,2278,Silver,Random
42,US,2278,Silver,Protoss
42,US,2278,Silver,Terran
42,US,2278,Silver,Protoss
42,US,2278,Silver,Protoss
42,US,2278,Silver,Protoss
42,US,2278,Silver,Terran
42,US,2278,Silver,Protoss
42,US,2278,Silver,Random
42,US,2278,Silver,Protoss
42,US,2278,Silver,Zerg
42,US,2278,Silver,Terran
42,US,2278,Silver,Zerg
42,US,2278,Silver,Protoss
42,US,2278,Silver,Terran
42,US,2278,Silver,Zerg
42,US,2278,Silver,Terran
42,US,2278,Silver,Zerg
42,US,2278,Silver,Terran
42,US,2278,Silver,Terran
42,US,2278,Silver,Protoss
42,US,2278,Silver,Protoss
42,US,2278,Silver,Terran
42,US,2278,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Zerg
42,US,2276,Silver,Terran
42,US,2276,Silver,Protoss
42,US,2276,Silver,Terran
42,US,2276,Silver,Terran
42,US,2276,Silver,Random
42,US,2276,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Random
42,US,2276,Silver,Zerg
42,US,2276,Silver,Terran
42,US,2276,Silver,Zerg
42,US,2276,Silver,Zerg
42,US,2276,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Terran
42,US,2276,Silver,Random
42,US,2276,Silver,Terran
42,US,2276,Silver,Terran
42,US,2276,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Terran
42,US,2276,Silver,Terran
42,US,2276,Silver,Terran
42,US,2276,Silver,Protoss
42,US,2276,Silver,Protoss
42,US,2276,Silver,Terran
42,US,2276,Silver,Zerg
42,US,2276,Silver,Random
42,US,2276,Silver,Protoss
