Season,Region,Rating,Rank,Race
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Random
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Random
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Random
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Random
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Random
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Random
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Protoss
45,EU,2279,Silver,Terran
45,EU,2279,Silver,Zerg
45,EU,2279,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Random
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Random
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Random
45,EU,2277,Silver,Zerg
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Protoss
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2277,Silver,Terran
45,EU,2276,Silver,Random
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Random
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Random
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Zerg
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Random
45,EU,2274,Silver,Zerg
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Terran
45,EU,2274,Silver,Protoss
45,EU,2274,Silver,Terran
