Season,Region,Rating,Rank,Race
45,KR,1718,Bronze,Terran
45,KR,1718,Bronze,Zerg
45,KR,1716,Bronze,Zerg
45,KR,1716,Bronze,Terran
45,KR,1716,Bronze,Terran
45,KR,1715,Bronze,Terran
45,KR,1714,Bronze,Zerg
45,KR,1713,Bronze,Protoss
45,KR,1713,Bronze,Zerg
45,KR,1711,Bronze,Protoss
45,KR,1710,Bronze,Protoss
45,KR,1710,Bronze,Protoss
45,KR,1708,Bronze,Terran
45,KR,1708,Bronze,Random
45,KR,1707,Bronze,Terran
45,KR,1707,Bronze,Zerg
45,KR,1705,Bronze,Protoss
45,KR,1703,Bronze,Zerg
45,KR,1703,Bronze,Terran
45,KR,1702,Bronze,Zerg
45,KR,1702,Bronze,Protoss
45,KR,1701,Bronze,Protoss
45,KR,1699,Bronze,Zerg
45,KR,1695,Bronze,Protoss
45,KR,1695,Bronze,Terran
45,KR,1695,Bronze,Terran
45,KR,1694,Bronze,Zerg
45,KR,1693,Bronze,Protoss
45,KR,1693,Bronze,Terran
45,KR,1692,Bronze,Protoss
45,KR,1690,Bronze,Protoss
45,KR,1687,Bronze,Protoss
45,KR,1687,Bronze,Protoss
45,KR,1686,Bronze,Terran
45,KR,1686,Bronze,Protoss
45,KR,1685,Bronze,Zerg
45,KR,1681,Bronze,Terran
45,KR,1678,Bronze,Zerg
45,KR,1677,Bronze,Protoss
45,KR,1674,Bronze,Protoss
45,KR,1674,Bronze,Terran
45,KR,1673,Bronze,Protoss
45,KR,1671,Bronze,Terran
45,KR,1671,Bronze,Terran
45,KR,1669,Bronze,Protoss
45,KR,1666,Bronze,Zerg
45,KR,1663,Bronze,Protoss
45,KR,1663,Bronze,Terran
45,KR,1659,Bronze,Zerg
45,KR,1659,Bronze,Zerg
45,KR,1653,Bronze,Protoss
45,KR,1650,Bronze,Terran
45,KR,1646,Bronze,Terran
45,KR,1643,Bronze,Zerg
45,KR,1643,Bronze,Terran
45,KR,1640,Bronze,Terran
45,KR,1637,Bronze,Protoss
45,KR,1636,Bronze,Terran
45,KR,1635,Bronze,Protoss
45,KR,1631,Bronze,Zerg
45,KR,1623,Bronze,Zerg
45,KR,1622,Bronze,Terran
45,KR,1622,Bronze,Protoss
45,KR,1619,Bronze,Terran
45,KR,1618,Bronze,Random
45,KR,1615,Bronze,Random
45,KR,1608,Bronze,Terran
45,KR,1608,Bronze,Terran
45,KR,1602,Bronze,Protoss
45,KR,1602,Bronze,Terran
45,KR,1601,Bronze,Random
45,KR,1598,Bronze,Random
45,KR,1596,Bronze,Terran
45,KR,1594,Bronze,Random
45,KR,1577,Bronze,Terran
45,KR,1568,Bronze,Protoss
45,KR,1567,Bronze,Protoss
45,KR,1566,Bronze,Random
45,KR,1565,Bronze,Protoss
45,KR,1562,Bronze,Random
45,KR,1559,Bronze,Protoss
45,KR,1559,Bronze,Terran
45,KR,1558,Bronze,Terran
45,KR,1553,Bronze,Protoss
45,KR,1552,Bronze,Random
45,KR,1549,Bronze,Terran
45,KR,1542,Bronze,Terran
45,KR,1532,Bronze,Random
45,KR,1531,Bronze,Protoss
45,KR,1513,Bronze,Terran
45,KR,1511,Bronze,Random
45,KR,1510,Bronze,Zerg
45,KR,1505,Bronze,Random
45,KR,1500,Bronze,Terran
45,KR,1490,Bronze,Terran
45,KR,1483,Bronze,Zerg
45,KR,1476,Bronze,Zerg
45,KR,1464,Bronze,Protoss
45,KR,1439,Bronze,Terran
45,KR,1434,Bronze,Random
45,KR,1422,Bronze,Protoss
45,KR,1407,Bronze,Random
45,KR,1369,Bronze,Terran
45,KR,1350,Bronze,Zerg
45,KR,1341,Bronze,Zerg
45,KR,1280,Bronze,Protoss
45,KR,1263,Bronze,Zerg
45,KR,231,Bronze,Terran
