Season,Region,Rating,Rank,Race
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Random
46,CN,2679,Gold,Random
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Random
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Random
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Random
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Terran
46,CN,2679,Gold,Protoss
46,CN,2679,Gold,Zerg
46,CN,2679,Gold,Protoss
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Random
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Random
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Zerg
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2677,Gold,Protoss
46,CN,2677,Gold,Terran
46,CN,2676,Gold,Random
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Random
46,CN,2676,Gold,Random
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Zerg
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Terran
46,CN,2676,Gold,Protoss
46,CN,2676,Gold,Protoss
46,CN,2675,Gold,Terran
46,CN,2675,Gold,Random
46,CN,2675,Gold,Protoss
46,CN,2673,Gold,Terran
46,CN,2673,Gold,Terran
46,CN,2673,Gold,Protoss
46,CN,2673,Gold,Protoss
46,CN,2673,Gold,Terran
46,CN,2673,Gold,Protoss
46,CN,2673,Gold,Protoss
46,CN,2673,Gold,Terran
46,CN,2673,Gold,Random
46,CN,2673,Gold,Random
46,CN,2673,Gold,Protoss
46,CN,2673,Gold,Zerg
46,CN,2673,Gold,Zerg
