Season,Region,Rating,Rank,Race
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Random
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Random
46,EU,2678,Gold,Random
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Random
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Zerg
46,EU,2678,Gold,Protoss
46,EU,2678,Gold,Terran
46,EU,2678,Gold,Random
46,EU,2678,Gold,Terran
