Season,Region,Rating,Rank,Race
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Random
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Random
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Random
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Random
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Protoss
47,KR,3119,Platinum,Zerg
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Terran
47,KR,3119,Platinum,Zerg
47,KR,3118,Platinum,Random
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Terran
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Terran
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Terran
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Random
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Zerg
47,KR,3118,Platinum,Terran
47,KR,3118,Platinum,Protoss
47,KR,3118,Platinum,Random
47,KR,3118,Platinum,Terran
47,KR,3118,Platinum,Protoss
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Zerg
47,KR,3117,Platinum,Random
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Zerg
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Protoss
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Protoss
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Terran
47,KR,3117,Platinum,Protoss
47,KR,3117,Platinum,Terran
47,KR,3116,Platinum,Protoss
47,KR,3116,Platinum,Terran
47,KR,3116,Platinum,Protoss
47,KR,3116,Platinum,Protoss
47,KR,3116,Platinum,Terran
47,KR,3116,Platinum,Terran
47,KR,3116,Platinum,Zerg
47,KR,3114,Platinum,Protoss
47,KR,3114,Platinum,Zerg
47,KR,3114,Platinum,Terran
47,KR,3114,Platinum,Zerg
47,KR,3114,Platinum,Zerg
47,KR,3114,Platinum,Protoss
47,KR,3114,Platinum,Protoss
47,KR,3114,Platinum,Zerg
47,KR,3114,Platinum,Protoss
47,KR,3114,Platinum,Zerg
