Season,Region,Rating,Rank,Race
49,EU,4799,Master,Zerg
49,EU,4799,Master,Terran
49,EU,4798,Master,Terran
49,EU,4798,Master,Zerg
49,EU,4797,Master,Terran
49,EU,4797,Master,Protoss
49,EU,4797,Master,Protoss
49,EU,4796,Master,Terran
49,EU,4796,Master,Zerg
49,EU,4796,Master,Terran
49,EU,4796,Master,Terran
49,EU,4795,Master,Random
49,EU,4793,Master,Terran
49,EU,4793,Master,Terran
49,EU,4793,Master,Protoss
49,EU,4792,Master,Terran
49,EU,4792,Master,Protoss
49,EU,4792,Master,Terran
49,EU,4791,Master,Protoss
49,EU,4790,Master,Protoss
49,EU,4788,Master,Protoss
49,EU,4788,Master,Random
49,EU,4788,Master,Zerg
49,EU,4786,Master,Terran
49,EU,4786,Master,Protoss
49,EU,4786,Master,Protoss
49,EU,4785,Master,Random
49,EU,4785,Master,Zerg
49,EU,4785,Master,Protoss
49,EU,4785,Master,Terran
49,EU,4784,Master,Zerg
49,EU,4784,Master,Terran
49,EU,4783,Master,Protoss
49,EU,4783,Master,Protoss
49,EU,4783,Master,Zerg
49,EU,4783,Master,Protoss
49,EU,4783,Master,Zerg
49,EU,4781,Master,Zerg
49,EU,4781,Master,Terran
49,EU,4781,Master,Protoss
49,EU,4781,Master,Protoss
49,EU,4781,Master,Zerg
49,EU,4780,Master,Terran
49,EU,4779,Master,Terran
49,EU,4779,Master,Random
49,EU,4778,Master,Terran
49,EU,4778,Master,Zerg
49,EU,4778,Master,Terran
49,EU,4777,Master,Zerg
49,EU,4777,Master,Protoss
49,EU,4777,Master,Zerg
49,EU,4777,Master,Zerg
49,EU,4776,Master,Zerg
49,EU,4776,Master,Terran
49,EU,4776,Master,Zerg
49,EU,4775,Master,Protoss
49,EU,4775,Master,Zerg
49,EU,4775,Master,Protoss
49,EU,4775,Master,Terran
49,EU,4774,Master,Zerg
49,EU,4774,Master,Protoss
49,EU,4774,Master,Terran
49,EU,4773,Master,Protoss
49,EU,4773,Master,Protoss
49,EU,4772,Master,Protoss
49,EU,4772,Master,Protoss
49,EU,4771,Master,Terran
49,EU,4771,Master,Protoss
49,EU,4771,Master,Zerg
49,EU,4771,Master,Terran
49,EU,4770,Master,Terran
49,EU,4770,Master,Protoss
49,EU,4770,Master,Terran
49,EU,4770,Master,Protoss
49,EU,4770,Master,Terran
49,EU,4769,Master,Terran
49,EU,4768,Master,Terran
49,EU,4768,Master,Protoss
49,EU,4768,Master,Protoss
49,EU,4768,Master,Protoss
49,EU,4767,Master,Terran
49,EU,4767,Master,Zerg
49,EU,4767,Master,Zerg
49,EU,4767,Master,Zerg
49,EU,4767,Master,Zerg
49,EU,4766,Master,Protoss
49,EU,4765,Master,Terran
49,EU,4765,Master,Protoss
49,EU,4765,Master,Protoss
49,EU,4765,Master,Terran
49,EU,4765,Master,Protoss
49,EU,4764,Master,Protoss
49,EU,4764,Master,Terran
49,EU,4764,Master,Protoss
49,EU,4764,Master,Terran
49,EU,4764,Master,Protoss
49,EU,4763,Master,Zerg
49,EU,4763,Master,Protoss
49,EU,4763,Master,Protoss
49,EU,4763,Master,Zerg
49,EU,4763,Master,Zerg
49,EU,4763,Master,Terran
49,EU,4763,Master,Terran
49,EU,4761,Master,Protoss
49,EU,4760,Master,Terran
49,EU,4760,Master,Terran
49,EU,4760,Master,Protoss
49,EU,4760,Master,Zerg
49,EU,4759,Master,Random
49,EU,4759,Master,Terran
49,EU,4759,Master,Protoss
49,EU,4759,Master,Zerg
49,EU,4758,Master,Zerg
49,EU,4757,Master,Protoss
49,EU,4757,Master,Terran
49,EU,4757,Master,Zerg
49,EU,4757,Master,Zerg
49,EU,4756,Master,Terran
49,EU,4755,Master,Zerg
49,EU,4755,Master,Terran
49,EU,4753,Master,Terran
49,EU,4753,Master,Zerg
49,EU,4752,Master,Protoss
49,EU,4752,Master,Terran
49,EU,4752,Master,Protoss
49,EU,4752,Master,Terran
49,EU,4752,Master,Terran
49,EU,4751,Master,Terran
49,EU,4751,Master,Zerg
49,EU,4750,Master,Terran
49,EU,4750,Master,Protoss
49,EU,4750,Master,Zerg
49,EU,4750,Master,Protoss
49,EU,4750,Master,Terran
49,EU,4749,Master,Protoss
49,EU,4749,Master,Terran
49,EU,4749,Master,Terran
49,EU,4749,Master,Zerg
49,EU,4749,Master,Zerg
49,EU,4748,Master,Random
49,EU,4748,Master,Protoss
49,EU,4748,Master,Terran
49,EU,4748,Master,Protoss
49,EU,4747,Master,Zerg
49,EU,4747,Master,Protoss
49,EU,4746,Master,Terran
49,EU,4746,Master,Protoss
49,EU,4746,Master,Zerg
49,EU,4745,Master,Protoss
49,EU,4745,Master,Protoss
