Season,Region,Rating,Rank,Race
50,CN,3119,Platinum,Zerg
50,CN,3119,Platinum,Protoss
50,CN,3119,Platinum,Terran
50,CN,3119,Platinum,Protoss
50,CN,3119,Platinum,Zerg
50,CN,3119,Platinum,Terran
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Random
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Random
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Random
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Terran
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3117,Platinum,Zerg
50,CN,3117,Platinum,Protoss
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Random
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Random
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Protoss
50,CN,3116,Platinum,Zerg
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Terran
50,CN,3116,Platinum,Protoss
50,CN,3115,Platinum,Zerg
50,CN,3115,Platinum,Random
50,CN,3115,Platinum,Protoss
50,CN,3115,Platinum,Random
50,CN,3115,Platinum,Terran
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Random
50,CN,3113,Platinum,Random
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Random
50,CN,3113,Platinum,Random
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Protoss
50,CN,3113,Platinum,Terran
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Zerg
50,CN,3113,Platinum,Random
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Random
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Random
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Random
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Zerg
50,CN,3112,Platinum,Protoss
50,CN,3112,Platinum,Terran
50,CN,3112,Platinum,Zerg
50,CN,3110,Platinum,Random
50,CN,3110,Platinum,Random
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Random
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Random
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Terran
50,CN,3110,Platinum,Zerg
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Protoss
50,CN,3110,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Random
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Random
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Random
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Protoss
50,CN,3109,Platinum,Terran
50,CN,3109,Platinum,Zerg
50,CN,3109,Platinum,Zerg
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Random
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Zerg
50,CN,3108,Platinum,Zerg
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Zerg
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Zerg
50,CN,3108,Platinum,Protoss
50,CN,3108,Platinum,Zerg
50,CN,3108,Platinum,Random
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Terran
50,CN,3108,Platinum,Protoss
