Season,Region,Rating,Rank,Race
50,KR,2279,Silver,Random
50,KR,2279,Silver,Terran
50,KR,2279,Silver,Terran
50,KR,2279,Silver,Zerg
50,KR,2279,Silver,Terran
50,KR,2279,Silver,Protoss
50,KR,2279,Silver,Protoss
50,KR,2278,Silver,Zerg
50,KR,2278,Silver,Protoss
50,KR,2278,Silver,Terran
50,KR,2278,Silver,Random
50,KR,2278,Silver,Protoss
50,KR,2278,Silver,Protoss
50,KR,2278,Silver,Terran
50,KR,2278,Silver,Protoss
50,KR,2278,Silver,Random
50,KR,2278,Silver,Zerg
50,KR,2278,Silver,Terran
50,KR,2278,Silver,Terran
50,KR,2278,Silver,Zerg
50,KR,2277,Silver,Protoss
50,KR,2277,Silver,Random
50,KR,2277,Silver,Terran
50,KR,2276,Silver,Terran
50,KR,2276,Silver,Zerg
50,KR,2276,Silver,Zerg
50,KR,2274,Silver,Random
50,KR,2274,Silver,Protoss
50,KR,2274,Silver,Protoss
50,KR,2274,Silver,Protoss
50,KR,2274,Silver,Zerg
50,KR,2274,Silver,Terran
50,KR,2274,Silver,Terran
50,KR,2274,Silver,Zerg
50,KR,2274,Silver,Terran
50,KR,2274,Silver,Zerg
50,KR,2274,Silver,Protoss
50,KR,2274,Silver,Protoss
50,KR,2273,Silver,Terran
50,KR,2273,Silver,Protoss
50,KR,2273,Silver,Zerg
50,KR,2272,Silver,Zerg
50,KR,2272,Silver,Protoss
50,KR,2272,Silver,Protoss
50,KR,2272,Silver,Terran
50,KR,2272,Silver,Terran
50,KR,2272,Silver,Zerg
50,KR,2272,Silver,Zerg
50,KR,2272,Silver,Protoss
50,KR,2272,Silver,Protoss
50,KR,2271,Silver,Zerg
50,KR,2271,Silver,Protoss
50,KR,2271,Silver,Terran
50,KR,2271,Silver,Terran
50,KR,2271,Silver,Protoss
50,KR,2271,Silver,Terran
50,KR,2271,Silver,Protoss
50,KR,2270,Silver,Zerg
50,KR,2270,Silver,Protoss
50,KR,2270,Silver,Protoss
50,KR,2270,Silver,Protoss
50,KR,2270,Silver,Random
50,KR,2270,Silver,Zerg
50,KR,2270,Silver,Terran
50,KR,2270,Silver,Protoss
50,KR,2270,Silver,Terran
50,KR,2270,Silver,Terran
50,KR,2270,Silver,Protoss
50,KR,2270,Silver,Protoss
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Random
50,KR,2269,Silver,Zerg
50,KR,2269,Silver,Terran
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Zerg
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Terran
50,KR,2269,Silver,Zerg
50,KR,2269,Silver,Terran
50,KR,2269,Silver,Terran
50,KR,2269,Silver,Zerg
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Terran
50,KR,2269,Silver,Protoss
50,KR,2269,Silver,Zerg
50,KR,2268,Silver,Zerg
50,KR,2268,Silver,Protoss
50,KR,2268,Silver,Protoss
50,KR,2268,Silver,Protoss
50,KR,2268,Silver,Protoss
50,KR,2268,Silver,Terran
50,KR,2268,Silver,Terran
50,KR,2268,Silver,Zerg
50,KR,2268,Silver,Random
50,KR,2267,Silver,Protoss
50,KR,2267,Silver,Protoss
50,KR,2267,Silver,Zerg
50,KR,2267,Silver,Terran
50,KR,2267,Silver,Zerg
50,KR,2267,Silver,Protoss
50,KR,2266,Silver,Terran
50,KR,2266,Silver,Terran
50,KR,2266,Silver,Zerg
50,KR,2266,Silver,Protoss
50,KR,2266,Silver,Terran
50,KR,2266,Silver,Zerg
50,KR,2266,Silver,Terran
50,KR,2266,Silver,Zerg
50,KR,2266,Silver,Terran
50,KR,2266,Silver,Zerg
50,KR,2266,Silver,Protoss
50,KR,2266,Silver,Protoss
50,KR,2265,Silver,Zerg
50,KR,2265,Silver,Terran
50,KR,2265,Silver,Protoss
50,KR,2265,Silver,Terran
50,KR,2265,Silver,Protoss
50,KR,2265,Silver,Protoss
50,KR,2265,Silver,Protoss
50,KR,2265,Silver,Terran
50,KR,2264,Silver,Terran
50,KR,2264,Silver,Terran
50,KR,2264,Silver,Terran
50,KR,2264,Silver,Protoss
50,KR,2264,Silver,Protoss
50,KR,2262,Silver,Protoss
50,KR,2262,Silver,Zerg
50,KR,2262,Silver,Zerg
50,KR,2262,Silver,Protoss
50,KR,2262,Silver,Terran
50,KR,2262,Silver,Terran
50,KR,2262,Silver,Protoss
50,KR,2262,Silver,Terran
50,KR,2262,Silver,Protoss
50,KR,2262,Silver,Protoss
50,KR,2261,Silver,Zerg
50,KR,2261,Silver,Zerg
50,KR,2261,Silver,Protoss
50,KR,2261,Silver,Random
50,KR,2261,Silver,Zerg
50,KR,2261,Silver,Protoss
50,KR,2261,Silver,Zerg
50,KR,2260,Silver,Zerg
50,KR,2260,Silver,Protoss
50,KR,2260,Silver,Terran
50,KR,2260,Silver,Protoss
50,KR,2260,Silver,Terran
50,KR,2260,Silver,Protoss
50,KR,2260,Silver,Terran
50,KR,2259,Silver,Protoss
50,KR,2259,Silver,Terran
50,KR,2259,Silver,Terran
50,KR,2259,Silver,Terran
50,KR,2259,Silver,Terran
50,KR,2259,Silver,Protoss
50,KR,2259,Silver,Terran
50,KR,2259,Silver,Random
50,KR,2259,Silver,Protoss
50,KR,2259,Silver,Zerg
50,KR,2259,Silver,Zerg
50,KR,2259,Silver,Terran
50,KR,2258,Silver,Zerg
50,KR,2258,Silver,Protoss
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Protoss
50,KR,2258,Silver,Random
50,KR,2258,Silver,Zerg
50,KR,2258,Silver,Zerg
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Protoss
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Protoss
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Terran
50,KR,2258,Silver,Protoss
50,KR,2257,Silver,Zerg
50,KR,2257,Silver,Zerg
50,KR,2257,Silver,Terran
50,KR,2257,Silver,Protoss
50,KR,2257,Silver,Random
50,KR,2257,Silver,Protoss
50,KR,2257,Silver,Terran
50,KR,2257,Silver,Protoss
50,KR,2257,Silver,Protoss
50,KR,2257,Silver,Terran
50,KR,2257,Silver,Protoss
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Zerg
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Terran
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Protoss
50,KR,2256,Silver,Terran
50,KR,2255,Silver,Zerg
50,KR,2255,Silver,Terran
50,KR,2255,Silver,Terran
50,KR,2255,Silver,Zerg
50,KR,2255,Silver,Protoss
50,KR,2255,Silver,Terran
50,KR,2255,Silver,Protoss
50,KR,2255,Silver,Terran
50,KR,2255,Silver,Terran
50,KR,2255,Silver,Protoss
50,KR,2255,Silver,Protoss
50,KR,2254,Silver,Random
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Protoss
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Zerg
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Terran
50,KR,2254,Silver,Protoss
50,KR,2252,Silver,Zerg
50,KR,2252,Silver,Terran
50,KR,2252,Silver,Terran
50,KR,2252,Silver,Random
50,KR,2252,Silver,Terran
50,KR,2252,Silver,Zerg
50,KR,2252,Silver,Protoss
50,KR,2252,Silver,Terran
