Season,Region,Rating,Rank,Race
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Random
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Random
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Random
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Random
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Random
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Random
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Random
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Random
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Protoss
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Random
51,US,3118,Platinum,Terran
51,US,3118,Platinum,Zerg
51,US,3118,Platinum,Random
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Random
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Random
51,US,3117,Platinum,Random
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Random
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Terran
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Random
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Zerg
51,US,3117,Platinum,Protoss
51,US,3117,Platinum,Terran
51,US,3116,Platinum,Zerg
51,US,3116,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Random
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Random
51,US,3114,Platinum,Random
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Random
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Terran
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3114,Platinum,Zerg
51,US,3114,Platinum,Protoss
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Random
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Random
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Protoss
51,US,3113,Platinum,Protoss
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Protoss
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Terran
51,US,3113,Platinum,Protoss
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Zerg
51,US,3113,Platinum,Terran
