Season,Region,Rating,Rank,Race
53,KR,4798,Master,Zerg
53,KR,4798,Master,Terran
53,KR,4797,Master,Terran
53,KR,4797,Master,Terran
53,KR,4796,Master,Terran
53,KR,4795,Master,Protoss
53,KR,4794,Master,Terran
53,KR,4793,Master,Protoss
53,KR,4792,Master,Terran
53,KR,4792,Master,Protoss
53,KR,4791,Master,Protoss
53,KR,4789,Master,Protoss
53,KR,4789,Master,Protoss
53,KR,4788,Master,Terran
53,KR,4788,Master,Terran
53,KR,4787,Master,Terran
53,KR,4786,Master,Zerg
53,KR,4785,Master,Terran
53,KR,4783,Master,Protoss
53,KR,4782,Master,Random
53,KR,4782,Master,Terran
53,KR,4781,Master,Protoss
53,KR,4780,Master,Zerg
53,KR,4780,Master,Terran
53,KR,4779,Master,Zerg
53,KR,4778,Master,Protoss
53,KR,4777,Master,Terran
53,KR,4775,Master,Protoss
53,KR,4775,Master,Terran
53,KR,4774,Master,Terran
53,KR,4774,Master,Zerg
53,KR,4773,Master,Protoss
53,KR,4772,Master,Zerg
53,KR,4771,Master,Terran
53,KR,4770,Master,Terran
53,KR,4769,Master,Random
53,KR,4768,Master,Zerg
53,KR,4766,Master,Terran
53,KR,4765,Master,Zerg
53,KR,4763,Master,Terran
53,KR,4762,Master,Zerg
53,KR,4761,Master,Zerg
53,KR,4760,Master,Protoss
53,KR,4760,Master,Protoss
53,KR,4757,Master,Zerg
53,KR,4757,Master,Terran
53,KR,4756,Master,Zerg
53,KR,4755,Master,Terran
53,KR,4755,Master,Terran
53,KR,4755,Master,Zerg
53,KR,4755,Master,Zerg
53,KR,4753,Master,Terran
53,KR,4752,Master,Random
53,KR,4751,Master,Terran
53,KR,4750,Master,Zerg
53,KR,4749,Master,Terran
53,KR,4749,Master,Terran
53,KR,4749,Master,Terran
53,KR,4749,Master,Protoss
53,KR,4747,Master,Zerg
53,KR,4747,Master,Random
53,KR,4746,Master,Terran
53,KR,4746,Master,Terran
53,KR,4744,Master,Terran
53,KR,4743,Master,Protoss
53,KR,4742,Master,Random
53,KR,4742,Master,Terran
53,KR,4740,Master,Terran
53,KR,4740,Master,Terran
53,KR,4739,Master,Terran
53,KR,4738,Master,Protoss
53,KR,4738,Master,Protoss
53,KR,4737,Master,Zerg
53,KR,4737,Master,Zerg
53,KR,4735,Master,Terran
53,KR,4735,Master,Terran
53,KR,4734,Master,Protoss
53,KR,4733,Master,Terran
53,KR,4733,Master,Zerg
53,KR,4733,Master,Zerg
53,KR,4732,Master,Protoss
53,KR,4731,Master,Protoss
53,KR,4730,Master,Random
53,KR,4729,Master,Random
53,KR,4729,Master,Protoss
53,KR,4727,Master,Protoss
53,KR,4727,Master,Protoss
53,KR,4727,Master,Terran
53,KR,4727,Master,Protoss
53,KR,4726,Master,Terran
53,KR,4726,Master,Terran
53,KR,4726,Master,Zerg
53,KR,4725,Master,Random
53,KR,4725,Master,Zerg
53,KR,4724,Master,Protoss
53,KR,4723,Master,Terran
53,KR,4723,Master,Terran
53,KR,4723,Master,Terran
53,KR,4722,Master,Zerg
53,KR,4721,Master,Terran
53,KR,4719,Master,Zerg
53,KR,4719,Master,Terran
53,KR,4719,Master,Terran
53,KR,4718,Master,Zerg
53,KR,4718,Master,Terran
53,KR,4717,Master,Zerg
53,KR,4717,Master,Terran
53,KR,4717,Master,Terran
53,KR,4717,Master,Terran
53,KR,4717,Master,Zerg
53,KR,4716,Master,Zerg
53,KR,4714,Master,Zerg
53,KR,4714,Master,Terran
53,KR,4713,Master,Protoss
53,KR,4713,Master,Zerg
53,KR,4711,Master,Zerg
53,KR,4711,Master,Terran
53,KR,4711,Master,Terran
53,KR,4711,Master,Terran
53,KR,4709,Master,Terran
53,KR,4709,Master,Protoss
53,KR,4709,Master,Protoss
53,KR,4709,Master,Terran
53,KR,4708,Master,Protoss
53,KR,4707,Master,Zerg
53,KR,4706,Master,Protoss
53,KR,4705,Master,Terran
53,KR,4702,Master,Terran
53,KR,4701,Master,Zerg
53,KR,4701,Master,Terran
53,KR,4701,Master,Terran
53,KR,4701,Master,Terran
53,KR,4700,Master,Protoss
53,KR,4699,Master,Zerg
53,KR,4698,Master,Protoss
53,KR,4698,Master,Protoss
53,KR,4698,Master,Terran
53,KR,4697,Master,Zerg
53,KR,4697,Master,Terran
53,KR,4697,Master,Protoss
53,KR,4697,Master,Terran
53,KR,4696,Master,Zerg
53,KR,4695,Master,Zerg
53,KR,4695,Master,Protoss
53,KR,4695,Master,Terran
53,KR,4695,Master,Terran
53,KR,4695,Master,Protoss
53,KR,4695,Master,Protoss
53,KR,4694,Master,Protoss
53,KR,4693,Master,Terran
53,KR,4692,Master,Random
53,KR,4691,Master,Zerg
53,KR,4691,Master,Terran
53,KR,4690,Master,Protoss
53,KR,4689,Master,Terran
53,KR,4689,Master,Random
53,KR,4688,Master,Protoss
53,KR,4687,Master,Zerg
53,KR,4687,Master,Protoss
53,KR,4687,Master,Protoss
53,KR,4687,Master,Zerg
53,KR,4686,Master,Terran
53,KR,4686,Master,Terran
53,KR,4686,Master,Terran
53,KR,4686,Master,Terran
53,KR,4685,Master,Zerg
53,KR,4684,Master,Protoss
53,KR,4682,Master,Protoss
53,KR,4682,Master,Terran
53,KR,4682,Master,Terran
53,KR,4682,Master,Protoss
53,KR,4682,Master,Protoss
53,KR,4681,Master,Terran
53,KR,4681,Master,Protoss
53,KR,4681,Master,Zerg
53,KR,4681,Master,Zerg
53,KR,4681,Master,Protoss
53,KR,4680,Master,Protoss
53,KR,4678,Master,Protoss
53,KR,4677,Master,Zerg
53,KR,4675,Master,Terran
53,KR,4673,Master,Terran
53,KR,4671,Master,Protoss
53,KR,4671,Master,Zerg
53,KR,4671,Master,Zerg
53,KR,4669,Master,Terran
53,KR,4669,Master,Random
53,KR,4669,Master,Terran
53,KR,4669,Master,Terran
53,KR,4668,Master,Protoss
53,KR,4667,Master,Terran
53,KR,4665,Master,Zerg
53,KR,4665,Master,Terran
53,KR,4664,Master,Zerg
53,KR,4664,Master,Protoss
53,KR,4662,Master,Protoss
53,KR,4662,Master,Zerg
53,KR,4661,Master,Protoss
53,KR,4661,Master,Protoss
53,KR,4661,Master,Terran
53,KR,4659,Master,Terran
53,KR,4658,Master,Zerg
53,KR,4658,Master,Terran
53,KR,4657,Master,Terran
53,KR,4657,Master,Terran
53,KR,4656,Master,Terran
53,KR,4656,Master,Terran
53,KR,4656,Master,Terran
53,KR,4654,Master,Random
53,KR,4654,Master,Terran
53,KR,4653,Master,Zerg
53,KR,4650,Master,Protoss
53,KR,4650,Master,Terran
53,KR,4649,Master,Terran
53,KR,4648,Master,Protoss
53,KR,4648,Master,Terran
53,KR,4647,Master,Protoss
53,KR,4646,Master,Protoss
53,KR,4645,Master,Zerg
53,KR,4645,Master,Terran
53,KR,4645,Master,Terran
53,KR,4644,Master,Protoss
53,KR,4644,Master,Protoss
53,KR,4643,Master,Terran
53,KR,4643,Master,Terran
53,KR,4642,Master,Protoss
53,KR,4642,Master,Protoss
53,KR,4641,Master,Protoss
53,KR,4640,Master,Protoss
53,KR,4640,Master,Terran
53,KR,4639,Master,Protoss
53,KR,4638,Master,Zerg
53,KR,4637,Master,Zerg
53,KR,4637,Master,Protoss
53,KR,4636,Master,Terran
53,KR,4635,Master,Terran
53,KR,4635,Master,Protoss
53,KR,4634,Master,Zerg
53,KR,4633,Master,Random
53,KR,4629,Master,Terran
53,KR,4629,Master,Protoss
53,KR,4629,Master,Terran
53,KR,4626,Master,Terran
53,KR,4626,Master,Random
53,KR,4625,Master,Protoss
53,KR,4623,Master,Zerg
53,KR,4622,Master,Terran
53,KR,4619,Master,Terran
53,KR,4619,Master,Zerg
53,KR,4617,Master,Protoss
53,KR,4617,Master,Zerg
53,KR,4616,Master,Zerg
53,KR,4616,Master,Terran
53,KR,4616,Master,Terran
53,KR,4613,Master,Zerg
53,KR,4610,Master,Terran
53,KR,4609,Master,Terran
53,KR,4609,Master,Protoss
53,KR,4608,Master,Protoss
53,KR,4607,Master,Protoss
53,KR,4606,Master,Protoss
53,KR,4604,Master,Random
53,KR,4604,Master,Protoss
53,KR,4604,Master,Zerg
53,KR,4603,Master,Zerg
53,KR,4603,Master,Protoss
53,KR,4603,Master,Terran
53,KR,4602,Master,Zerg
53,KR,4602,Master,Zerg
53,KR,4602,Master,Terran
53,KR,4602,Master,Protoss
53,KR,4601,Master,Protoss
53,KR,4600,Master,Zerg
53,KR,4600,Master,Terran
53,KR,4599,Master,Zerg
53,KR,4597,Master,Protoss
53,KR,4597,Master,Zerg
53,KR,4597,Master,Protoss
53,KR,4596,Master,Terran
53,KR,4596,Master,Zerg
53,KR,4595,Master,Protoss
53,KR,4595,Master,Terran
53,KR,4595,Master,Protoss
53,KR,4595,Master,Terran
53,KR,4594,Master,Terran
53,KR,4593,Master,Terran
53,KR,4592,Master,Protoss
53,KR,4591,Master,Terran
53,KR,4591,Master,Protoss
53,KR,4590,Master,Terran
53,KR,4588,Master,Terran
53,KR,4588,Master,Protoss
53,KR,4587,Master,Terran
53,KR,4587,Master,Zerg
53,KR,4587,Master,Zerg
53,KR,4583,Master,Protoss
53,KR,4583,Master,Zerg
53,KR,4583,Master,Terran
53,KR,4582,Master,Protoss
53,KR,4582,Master,Terran
53,KR,4580,Master,Random
53,KR,4580,Master,Protoss
53,KR,4580,Master,Protoss
53,KR,4576,Master,Protoss
53,KR,4576,Master,Zerg
53,KR,4575,Master,Zerg
53,KR,4574,Master,Protoss
53,KR,4574,Master,Protoss
53,KR,4574,Master,Terran
53,KR,4573,Master,Terran
53,KR,4573,Master,Protoss
53,KR,4571,Master,Terran
53,KR,4567,Master,Protoss
53,KR,4567,Master,Terran
53,KR,4566,Master,Protoss
53,KR,4566,Master,Zerg
53,KR,4565,Master,Terran
53,KR,4564,Master,Zerg
53,KR,4564,Master,Protoss
53,KR,4562,Master,Terran
53,KR,4562,Master,Protoss
53,KR,4562,Master,Zerg
53,KR,4561,Master,Zerg
53,KR,4560,Master,Terran
53,KR,4560,Master,Terran
53,KR,4560,Master,Terran
53,KR,4559,Master,Zerg
53,KR,4559,Master,Protoss
53,KR,4558,Master,Zerg
53,KR,4557,Master,Zerg
53,KR,4557,Master,Protoss
53,KR,4555,Master,Zerg
53,KR,4554,Master,Protoss
53,KR,4553,Master,Zerg
53,KR,4553,Master,Random
53,KR,4552,Master,Terran
53,KR,4549,Master,Protoss
53,KR,4548,Master,Random
53,KR,4546,Master,Protoss
53,KR,4545,Master,Terran
53,KR,4544,Master,Terran
53,KR,4544,Master,Protoss
53,KR,4543,Master,Terran
53,KR,4542,Master,Terran
53,KR,4541,Master,Terran
53,KR,4540,Master,Terran
53,KR,4540,Master,Terran
53,KR,4540,Master,Zerg
53,KR,4540,Master,Terran
53,KR,4540,Master,Terran
53,KR,4539,Master,Terran
53,KR,4539,Master,Zerg
53,KR,4537,Master,Terran
53,KR,4537,Master,Terran
53,KR,4536,Master,Terran
53,KR,4536,Master,Protoss
53,KR,4535,Master,Terran
53,KR,4534,Master,Zerg
53,KR,4534,Master,Terran
53,KR,4531,Master,Random
53,KR,4530,Master,Terran
53,KR,4528,Master,Terran
53,KR,4527,Master,Protoss
53,KR,4527,Master,Terran
53,KR,4526,Master,Random
53,KR,4526,Master,Protoss
53,KR,4525,Master,Zerg
53,KR,4525,Master,Terran
53,KR,4524,Master,Terran
53,KR,4523,Master,Terran
53,KR,4522,Master,Zerg
53,KR,4522,Master,Terran
53,KR,4521,Master,Terran
53,KR,4520,Master,Protoss
53,KR,4519,Master,Terran
53,KR,4519,Master,Protoss
53,KR,4519,Master,Terran
53,KR,4518,Master,Protoss
53,KR,4518,Master,Protoss
53,KR,4518,Master,Zerg
53,KR,4517,Master,Zerg
53,KR,4517,Master,Zerg
53,KR,4516,Master,Protoss
53,KR,4516,Master,Random
53,KR,4516,Master,Terran
53,KR,4516,Master,Terran
53,KR,4513,Master,Protoss
53,KR,4513,Master,Terran
53,KR,4512,Master,Terran
53,KR,4512,Master,Protoss
53,KR,4512,Master,Zerg
53,KR,4511,Master,Terran
53,KR,4509,Master,Terran
53,KR,4509,Master,Zerg
53,KR,4507,Master,Terran
53,KR,4506,Master,Random
53,KR,4506,Master,Zerg
53,KR,4506,Master,Protoss
53,KR,4504,Master,Protoss
53,KR,4504,Master,Protoss
53,KR,4501,Master,Terran
53,KR,4501,Master,Zerg
53,KR,4500,Master,Terran
53,KR,4500,Master,Zerg
53,KR,4500,Master,Terran
53,KR,4500,Master,Zerg
53,KR,4500,Master,Protoss
53,KR,4500,Master,Protoss
53,KR,4500,Master,Zerg
53,KR,4499,Master,Protoss
53,KR,4498,Master,Terran
53,KR,4493,Master,Terran
53,KR,4491,Master,Protoss
53,KR,4490,Master,Protoss
53,KR,4490,Master,Zerg
53,KR,4490,Master,Terran
53,KR,4490,Master,Terran
53,KR,4489,Master,Protoss
53,KR,4489,Master,Protoss
53,KR,4489,Master,Protoss
53,KR,4488,Master,Protoss
53,KR,4488,Master,Protoss
53,KR,4487,Master,Terran
53,KR,4486,Master,Terran
