Season,Region,Rating,Rank,Race
53,US,4249,Diamond,Protoss
53,US,4249,Diamond,Protoss
53,US,4249,Diamond,Protoss
53,US,4249,Diamond,Terran
53,US,4249,Diamond,Protoss
53,US,4249,Diamond,Terran
53,US,4248,Diamond,Terran
53,US,4248,Diamond,Protoss
53,US,4248,Diamond,Zerg
53,US,4248,Diamond,Random
53,US,4248,Diamond,Zerg
53,US,4248,Diamond,Protoss
53,US,4247,Diamond,Zerg
53,US,4247,Diamond,Zerg
53,US,4247,Diamond,Terran
53,US,4246,Diamond,Terran
53,US,4246,Diamond,Terran
53,US,4246,Diamond,Random
53,US,4245,Diamond,Zerg
53,US,4245,Diamond,Terran
53,US,4245,Diamond,Protoss
53,US,4245,Diamond,Terran
53,US,4244,Diamond,Terran
53,US,4244,Diamond,Zerg
53,US,4244,Diamond,Protoss
53,US,4244,Diamond,Protoss
53,US,4244,Diamond,Terran
53,US,4244,Diamond,Terran
53,US,4244,Diamond,Protoss
53,US,4244,Diamond,Zerg
53,US,4243,Diamond,Terran
53,US,4243,Diamond,Random
53,US,4242,Diamond,Zerg
53,US,4242,Diamond,Zerg
53,US,4242,Diamond,Protoss
53,US,4242,Diamond,Terran
53,US,4242,Diamond,Random
53,US,4242,Diamond,Zerg
53,US,4241,Diamond,Random
53,US,4241,Diamond,Terran
53,US,4241,Diamond,Terran
53,US,4241,Diamond,Random
53,US,4240,Diamond,Terran
53,US,4240,Diamond,Terran
53,US,4240,Diamond,Protoss
53,US,4240,Diamond,Terran
53,US,4240,Diamond,Protoss
53,US,4239,Diamond,Terran
53,US,4239,Diamond,Terran
53,US,4239,Diamond,Terran
53,US,4239,Diamond,Terran
53,US,4239,Diamond,Terran
53,US,4239,Diamond,Terran
53,US,4238,Diamond,Protoss
53,US,4238,Diamond,Protoss
53,US,4238,Diamond,Protoss
53,US,4238,Diamond,Zerg
53,US,4238,Diamond,Terran
53,US,4238,Diamond,Terran
53,US,4238,Diamond,Protoss
53,US,4238,Diamond,Terran
53,US,4237,Diamond,Zerg
53,US,4237,Diamond,Terran
53,US,4237,Diamond,Protoss
53,US,4236,Diamond,Terran
53,US,4236,Diamond,Zerg
53,US,4236,Diamond,Terran
53,US,4236,Diamond,Protoss
53,US,4236,Diamond,Protoss
53,US,4235,Diamond,Protoss
53,US,4235,Diamond,Terran
53,US,4235,Diamond,Protoss
53,US,4234,Diamond,Protoss
53,US,4234,Diamond,Random
53,US,4234,Diamond,Zerg
53,US,4234,Diamond,Protoss
53,US,4234,Diamond,Protoss
53,US,4232,Diamond,Protoss
53,US,4232,Diamond,Zerg
53,US,4232,Diamond,Terran
53,US,4232,Diamond,Zerg
53,US,4232,Diamond,Random
53,US,4232,Diamond,Zerg
53,US,4232,Diamond,Terran
53,US,4232,Diamond,Random
53,US,4231,Diamond,Terran
53,US,4231,Diamond,Protoss
53,US,4231,Diamond,Protoss
53,US,4231,Diamond,Terran
53,US,4230,Diamond,Zerg
53,US,4230,Diamond,Protoss
53,US,4230,Diamond,Terran
53,US,4230,Diamond,Protoss
53,US,4230,Diamond,Terran
53,US,4230,Diamond,Terran
53,US,4230,Diamond,Protoss
53,US,4229,Diamond,Terran
53,US,4229,Diamond,Protoss
53,US,4228,Diamond,Protoss
53,US,4228,Diamond,Protoss
53,US,4228,Diamond,Terran
53,US,4228,Diamond,Terran
53,US,4228,Diamond,Zerg
53,US,4228,Diamond,Terran
