Season,Region,Rating,Rank,Race
54,CN,4797,Master,Terran
54,CN,4797,Master,Terran
54,CN,4796,Master,Zerg
54,CN,4796,Master,Protoss
54,CN,4794,Master,Zerg
54,CN,4793,Master,Zerg
54,CN,4792,Master,Zerg
54,CN,4790,Master,Zerg
54,CN,4789,Master,Terran
54,CN,4789,Master,Terran
54,CN,4788,Master,Zerg
54,CN,4787,Master,Zerg
54,CN,4786,Master,Zerg
54,CN,4786,Master,Zerg
54,CN,4786,Master,Zerg
54,CN,4785,Master,Protoss
54,CN,4784,Master,Terran
54,CN,4783,Master,Zerg
54,CN,4783,Master,Zerg
54,CN,4781,Master,Terran
54,CN,4780,Master,Protoss
54,CN,4780,Master,Zerg
54,CN,4780,Master,Terran
54,CN,4779,Master,Terran
54,CN,4779,Master,Terran
54,CN,4779,Master,Protoss
54,CN,4777,Master,Terran
54,CN,4775,Master,Terran
54,CN,4773,Master,Protoss
54,CN,4773,Master,Protoss
54,CN,4771,Master,Zerg
54,CN,4771,Master,Zerg
54,CN,4770,Master,Terran
54,CN,4770,Master,Protoss
54,CN,4769,Master,Protoss
54,CN,4767,Master,Terran
54,CN,4766,Master,Protoss
54,CN,4766,Master,Zerg
54,CN,4766,Master,Zerg
54,CN,4763,Master,Terran
54,CN,4762,Master,Zerg
54,CN,4762,Master,Zerg
54,CN,4760,Master,Zerg
54,CN,4760,Master,Zerg
54,CN,4759,Master,Terran
54,CN,4755,Master,Terran
54,CN,4755,Master,Zerg
54,CN,4754,Master,Protoss
54,CN,4753,Master,Zerg
54,CN,4750,Master,Zerg
54,CN,4750,Master,Terran
54,CN,4748,Master,Zerg
54,CN,4746,Master,Protoss
54,CN,4745,Master,Protoss
54,CN,4744,Master,Zerg
54,CN,4743,Master,Protoss
54,CN,4742,Master,Protoss
54,CN,4742,Master,Protoss
54,CN,4742,Master,Terran
54,CN,4742,Master,Zerg
54,CN,4742,Master,Protoss
54,CN,4742,Master,Terran
54,CN,4742,Master,Protoss
54,CN,4741,Master,Zerg
54,CN,4741,Master,Terran
54,CN,4740,Master,Protoss
54,CN,4739,Master,Protoss
54,CN,4739,Master,Terran
54,CN,4739,Master,Protoss
54,CN,4737,Master,Protoss
54,CN,4737,Master,Zerg
54,CN,4737,Master,Protoss
54,CN,4736,Master,Zerg
54,CN,4735,Master,Zerg
54,CN,4735,Master,Terran
54,CN,4733,Master,Terran
54,CN,4733,Master,Zerg
54,CN,4732,Master,Terran
54,CN,4732,Master,Random
54,CN,4731,Master,Protoss
54,CN,4729,Master,Terran
54,CN,4729,Master,Protoss
