Season,Region,Rating,Rank,Race
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Random
55,EU,3119,Platinum,Random
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Random
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Random
55,EU,3119,Platinum,Terran
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Zerg
55,EU,3119,Platinum,Protoss
55,EU,3119,Platinum,Zerg
55,EU,3118,Platinum,Protoss
55,EU,3118,Platinum,Zerg
55,EU,3118,Platinum,Zerg
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Protoss
55,EU,3118,Platinum,Zerg
55,EU,3118,Platinum,Random
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Terran
55,EU,3118,Platinum,Protoss
55,EU,3118,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Random
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Terran
55,EU,3116,Platinum,Random
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Zerg
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Protoss
55,EU,3116,Platinum,Zerg
