Season,Region,Rank,Race,Count,Percentage
28,CN,Bronze,Protoss,2,25.0
28,CN,Bronze,Random,2,25.0
28,CN,Bronze,Terran,2,25.0
28,CN,Bronze,Zerg,2,25.0
28,CN,Diamond,Protoss,3745,23.529781352098517
28,CN,Diamond,Random,914,5.7426489067604924
28,CN,Diamond,Terran,5883,36.962804724805224
28,CN,Diamond,Zerg,5374,33.764765016335765
28,CN,Gold,Protoss,983,39.94311255587159
28,CN,Gold,Random,111,4.510361641609102
28,CN,Gold,Terran,952,38.6834620073141
28,CN,Gold,Zerg,415,16.863063795205203
28,CN,Grandmaster,Protoss,166,26.948051948051948
28,CN,Grandmaster,Random,26,4.220779220779221
28,CN,Grandmaster,Terran,216,35.064935064935064
28,CN,Grandmaster,Zerg,208,33.76623376623377
28,CN,Master,Protoss,504,25.225225225225223
28,CN,Master,Random,75,3.7537537537537538
28,CN,Master,Terran,764,38.23823823823824
28,CN,Master,Zerg,655,32.78278278278278
28,CN,Platinum,Protoss,2581,35.703416793470744
28,CN,Platinum,Random,441,6.100428828330337
28,CN,Platinum,Terran,2720,37.62622769401024
28,CN,Platinum,Zerg,1487,20.569926684188687
28,CN,Silver,Protoss,165,39.00709219858156
28,CN,Silver,Random,25,5.91016548463357
28,CN,Silver,Terran,172,40.66193853427896
28,CN,Silver,Zerg,61,14.420803782505912
28,EU,Bronze,Protoss,2,28.57142857142857
28,EU,Bronze,Random,2,28.57142857142857
28,EU,Bronze,Terran,2,28.57142857142857
28,EU,Bronze,Zerg,1,14.285714285714285
28,EU,Diamond,Protoss,6063,24.998969199686634
28,EU,Diamond,Random,1530,6.308497917783367
28,EU,Diamond,Terran,7342,30.272543602853258
28,EU,Diamond,Zerg,9318,38.41998927967674
28,EU,Gold,Protoss,1267,36.02502132499289
28,EU,Gold,Random,199,5.658231447256185
28,EU,Gold,Terran,1450,41.22831959056013
28,EU,Gold,Zerg,601,17.088427637190787
28,EU,Grandmaster,Protoss,367,28.015267175572518
28,EU,Grandmaster,Random,9,0.6870229007633588
28,EU,Grandmaster,Terran,436,33.2824427480916
28,EU,Grandmaster,Zerg,498,38.01526717557252
28,EU,Master,Protoss,696,22.597402597402596
28,EU,Master,Random,97,3.149350649350649
28,EU,Master,Terran,1066,34.61038961038961
28,EU,Master,Zerg,1221,39.64285714285714
28,EU,Platinum,Protoss,3414,35.57732388495206
28,EU,Platinum,Random,630,6.565235514797832
28,EU,Platinum,Terran,3365,35.06669445602334
