Season,Region,Rating,Rank,Race
31,CN,4799,Master,Zerg
31,CN,4799,Master,Protoss
31,CN,4799,Master,Protoss
31,CN,4799,Master,Zerg
31,CN,4798,Master,Terran
31,CN,4798,Master,Terran
31,CN,4798,Master,Terran
31,CN,4797,Master,Zerg
31,CN,4797,Master,Terran
31,CN,4797,Master,Terran
31,CN,4796,Master,Protoss
31,CN,4796,Master,Zerg
31,CN,4796,Master,Random
31,CN,4795,Master,Protoss
31,CN,4795,Master,Zerg
31,CN,4795,Master,Zerg
31,CN,4794,Master,Zerg
31,CN,4794,Master,Zerg
31,CN,4794,Master,Zerg
31,CN,4794,Master,Protoss
31,CN,4793,Master,Zerg
31,CN,4793,Master,Random
31,CN,4793,Master,Random
31,CN,4792,Master,Zerg
31,CN,4792,Master,Terran
31,CN,4792,Master,Protoss
31,CN,4792,Master,Terran
31,CN,4791,Master,Terran
31,CN,4791,Master,Terran
31,CN,4791,Master,Zerg
31,CN,4791,Master,Random
31,CN,4790,Master,Zerg
31,CN,4790,Master,Terran
31,CN,4789,Master,Terran
31,CN,4789,Master,Protoss
31,CN,4788,Master,Zerg
31,CN,4787,Master,Protoss
31,CN,4786,Master,Zerg
31,CN,4786,Master,Random
31,CN,4786,Master,Terran
31,CN,4786,Master,Terran
31,CN,4786,Master,Zerg
31,CN,4785,Master,Random
31,CN,4785,Master,Protoss
31,CN,4785,Master,Protoss
31,CN,4784,Master,Terran
31,CN,4784,Master,Terran
31,CN,4784,Master,Terran
31,CN,4784,Master,Terran
31,CN,4783,Master,Terran
31,CN,4781,Master,Zerg
31,CN,4781,Master,Protoss
31,CN,4781,Master,Terran
31,CN,4780,Master,Zerg
31,CN,4780,Master,Protoss
31,CN,4779,Master,Terran
31,CN,4779,Master,Protoss
31,CN,4777,Master,Protoss
31,CN,4777,Master,Zerg
31,CN,4777,Master,Zerg
31,CN,4776,Master,Random
31,CN,4775,Master,Protoss
31,CN,4775,Master,Random
31,CN,4774,Master,Terran
31,CN,4774,Master,Protoss
31,CN,4774,Master,Zerg
31,CN,4774,Master,Protoss
31,CN,4773,Master,Terran
31,CN,4773,Master,Zerg
31,CN,4772,Master,Zerg
31,CN,4772,Master,Terran
31,CN,4772,Master,Zerg
31,CN,4771,Master,Terran
31,CN,4771,Master,Zerg
31,CN,4771,Master,Random
31,CN,4771,Master,Protoss
31,CN,4770,Master,Terran
31,CN,4770,Master,Terran
31,CN,4770,Master,Zerg
31,CN,4770,Master,Zerg
31,CN,4770,Master,Terran
31,CN,4769,Master,Terran
31,CN,4769,Master,Random
31,CN,4768,Master,Protoss
31,CN,4768,Master,Protoss
31,CN,4768,Master,Zerg
31,CN,4768,Master,Protoss
31,CN,4768,Master,Zerg
31,CN,4767,Master,Terran
31,CN,4767,Master,Terran
31,CN,4767,Master,Protoss
31,CN,4766,Master,Terran
31,CN,4766,Master,Zerg
31,CN,4766,Master,Terran
31,CN,4766,Master,Zerg
31,CN,4766,Master,Terran
31,CN,4765,Master,Protoss
31,CN,4765,Master,Terran
31,CN,4765,Master,Zerg
31,CN,4765,Master,Protoss
31,CN,4764,Master,Terran
31,CN,4764,Master,Zerg
31,CN,4764,Master,Terran
31,CN,4764,Master,Zerg
31,CN,4763,Master,Terran
31,CN,4763,Master,Terran
31,CN,4763,Master,Zerg
31,CN,4763,Master,Zerg
31,CN,4763,Master,Random
31,CN,4762,Master,Protoss
31,CN,4762,Master,Terran
31,CN,4762,Master,Terran
31,CN,4761,Master,Random
31,CN,4761,Master,Terran
31,CN,4761,Master,Protoss
31,CN,4761,Master,Zerg
31,CN,4760,Master,Zerg
31,CN,4760,Master,Random
31,CN,4760,Master,Zerg
31,CN,4760,Master,Zerg
31,CN,4760,Master,Protoss
31,CN,4759,Master,Zerg
31,CN,4759,Master,Terran
31,CN,4758,Master,Terran
31,CN,4758,Master,Zerg
31,CN,4757,Master,Protoss
31,CN,4757,Master,Zerg
31,CN,4757,Master,Protoss
31,CN,4756,Master,Protoss
31,CN,4756,Master,Zerg
31,CN,4756,Master,Zerg
31,CN,4756,Master,Terran
31,CN,4756,Master,Zerg
31,CN,4756,Master,Protoss
31,CN,4754,Master,Terran
31,CN,4754,Master,Terran
31,CN,4754,Master,Protoss
31,CN,4754,Master,Protoss
31,CN,4754,Master,Protoss
31,CN,4754,Master,Zerg
31,CN,4754,Master,Zerg
31,CN,4753,Master,Protoss
31,CN,4753,Master,Terran
31,CN,4753,Master,Zerg
31,CN,4753,Master,Terran
31,CN,4752,Master,Random
31,CN,4752,Master,Protoss
31,CN,4751,Master,Terran
31,CN,4751,Master,Terran
31,CN,4751,Master,Terran
31,CN,4751,Master,Zerg
31,CN,4751,Master,Terran
31,CN,4751,Master,Terran
31,CN,4750,Master,Zerg
31,CN,4750,Master,Terran
31,CN,4749,Master,Zerg
31,CN,4749,Master,Zerg
31,CN,4747,Master,Zerg
31,CN,4747,Master,Terran
31,CN,4746,Master,Terran
31,CN,4746,Master,Random
31,CN,4746,Master,Zerg
31,CN,4746,Master,Protoss
31,CN,4746,Master,Terran
31,CN,4746,Master,Terran
31,CN,4745,Master,Zerg
31,CN,4745,Master,Random
31,CN,4745,Master,Terran
31,CN,4745,Master,Zerg
31,CN,4745,Master,Protoss
31,CN,4745,Master,Protoss
31,CN,4744,Master,Terran
31,CN,4744,Master,Terran
31,CN,4744,Master,Terran
31,CN,4743,Master,Terran
31,CN,4743,Master,Zerg
31,CN,4742,Master,Zerg
31,CN,4742,Master,Terran
31,CN,4742,Master,Terran
31,CN,4742,Master,Terran
31,CN,4741,Master,Terran
31,CN,4740,Master,Zerg
31,CN,4740,Master,Terran
31,CN,4740,Master,Protoss
31,CN,4740,Master,Terran
31,CN,4739,Master,Terran
31,CN,4739,Master,Protoss
31,CN,4738,Master,Zerg
31,CN,4738,Master,Terran
31,CN,4738,Master,Protoss
31,CN,4738,Master,Terran
31,CN,4738,Master,Random
31,CN,4737,Master,Random
31,CN,4737,Master,Zerg
31,CN,4737,Master,Protoss
31,CN,4737,Master,Zerg
31,CN,4737,Master,Protoss
31,CN,4737,Master,Protoss
31,CN,4737,Master,Zerg
31,CN,4736,Master,Zerg
31,CN,4736,Master,Terran
31,CN,4736,Master,Random
31,CN,4736,Master,Protoss
31,CN,4735,Master,Protoss
31,CN,4735,Master,Protoss
31,CN,4735,Master,Zerg
31,CN,4735,Master,Terran
31,CN,4735,Master,Terran
31,CN,4734,Master,Terran
31,CN,4734,Master,Terran
31,CN,4734,Master,Protoss
31,CN,4734,Master,Terran
31,CN,4733,Master,Terran
31,CN,4733,Master,Terran
31,CN,4733,Master,Zerg
31,CN,4733,Master,Terran
31,CN,4732,Master,Zerg
31,CN,4732,Master,Random
31,CN,4732,Master,Protoss
31,CN,4731,Master,Zerg
31,CN,4731,Master,Random
31,CN,4730,Master,Terran
31,CN,4730,Master,Zerg
31,CN,4730,Master,Protoss
31,CN,4729,Master,Zerg
31,CN,4729,Master,Terran
31,CN,4729,Master,Terran
31,CN,4729,Master,Protoss
31,CN,4729,Master,Protoss
31,CN,4728,Master,Random
31,CN,4728,Master,Protoss
31,CN,4727,Master,Protoss
31,CN,4727,Master,Protoss
31,CN,4727,Master,Terran
31,CN,4727,Master,Protoss
31,CN,4726,Master,Zerg
31,CN,4726,Master,Random
31,CN,4726,Master,Zerg
31,CN,4726,Master,Protoss
31,CN,4725,Master,Terran
31,CN,4725,Master,Protoss
31,CN,4725,Master,Protoss
31,CN,4725,Master,Terran
31,CN,4725,Master,Terran
31,CN,4724,Master,Terran
31,CN,4724,Master,Terran
31,CN,4723,Master,Random
31,CN,4723,Master,Terran
31,CN,4723,Master,Terran
31,CN,4723,Master,Terran
31,CN,4723,Master,Terran
31,CN,4723,Master,Terran
31,CN,4722,Master,Protoss
31,CN,4722,Master,Protoss
31,CN,4722,Master,Terran
31,CN,4721,Master,Terran
31,CN,4721,Master,Terran
31,CN,4719,Master,Protoss
31,CN,4719,Master,Terran
31,CN,4719,Master,Zerg
31,CN,4719,Master,Zerg
31,CN,4719,Master,Protoss
31,CN,4719,Master,Random
31,CN,4719,Master,Random
31,CN,4718,Master,Zerg
31,CN,4718,Master,Random
31,CN,4718,Master,Terran
31,CN,4718,Master,Terran
31,CN,4717,Master,Zerg
31,CN,4717,Master,Zerg
31,CN,4717,Master,Zerg
31,CN,4717,Master,Zerg
31,CN,4717,Master,Protoss
31,CN,4717,Master,Terran
31,CN,4717,Master,Random
31,CN,4716,Master,Protoss
31,CN,4716,Master,Protoss
31,CN,4716,Master,Terran
31,CN,4716,Master,Zerg
31,CN,4716,Master,Terran
31,CN,4715,Master,Terran
31,CN,4715,Master,Protoss
31,CN,4715,Master,Random
31,CN,4715,Master,Zerg
31,CN,4715,Master,Zerg
31,CN,4715,Master,Protoss
31,CN,4715,Master,Terran
31,CN,4715,Master,Protoss
31,CN,4714,Master,Protoss
31,CN,4714,Master,Terran
31,CN,4713,Master,Terran
31,CN,4713,Master,Zerg
31,CN,4713,Master,Protoss
31,CN,4713,Master,Protoss
31,CN,4713,Master,Terran
31,CN,4712,Master,Zerg
31,CN,4712,Master,Terran
31,CN,4712,Master,Terran
31,CN,4712,Master,Terran
31,CN,4711,Master,Zerg
31,CN,4711,Master,Terran
31,CN,4711,Master,Zerg
31,CN,4710,Master,Zerg
31,CN,4710,Master,Protoss
31,CN,4710,Master,Terran
31,CN,4710,Master,Terran
31,CN,4710,Master,Random
31,CN,4710,Master,Protoss
31,CN,4709,Master,Zerg
31,CN,4709,Master,Zerg
31,CN,4709,Master,Zerg
31,CN,4708,Master,Zerg
31,CN,4708,Master,Terran
31,CN,4708,Master,Terran
31,CN,4708,Master,Terran
31,CN,4708,Master,Terran
31,CN,4707,Master,Zerg
31,CN,4707,Master,Protoss
31,CN,4707,Master,Zerg
31,CN,4707,Master,Zerg
31,CN,4707,Master,Terran
31,CN,4707,Master,Zerg
31,CN,4707,Master,Terran
31,CN,4706,Master,Terran
31,CN,4706,Master,Protoss
31,CN,4706,Master,Protoss
31,CN,4706,Master,Terran
31,CN,4705,Master,Protoss
31,CN,4705,Master,Zerg
31,CN,4705,Master,Terran
31,CN,4705,Master,Zerg
31,CN,4704,Master,Zerg
31,CN,4704,Master,Protoss
31,CN,4704,Master,Zerg
31,CN,4704,Master,Zerg
31,CN,4704,Master,Zerg
