Season,Region,Rating,Rank,Race
32,KR,7148,Grandmaster,Terran
32,KR,7145,Grandmaster,Zerg
32,KR,7127,Grandmaster,Terran
32,KR,7059,Grandmaster,Terran
32,KR,7024,Grandmaster,Terran
32,KR,6988,Grandmaster,Zerg
32,KR,6965,Grandmaster,Terran
32,KR,6953,Grandmaster,Terran
32,KR,6939,Grandmaster,Terran
32,KR,6914,Grandmaster,Zerg
32,KR,6905,Grandmaster,Protoss
32,KR,6904,Grandmaster,Zerg
32,KR,6904,Grandmaster,Terran
32,KR,6864,Grandmaster,Terran
32,KR,6860,Grandmaster,Protoss
32,KR,6859,Grandmaster,Zerg
32,KR,6845,Grandmaster,Zerg
32,KR,6835,Grandmaster,Terran
32,KR,6805,Grandmaster,Protoss
32,KR,6805,Grandmaster,Zerg
32,KR,6804,Grandmaster,Zerg
32,KR,6802,Grandmaster,Protoss
32,KR,6800,Grandmaster,Terran
32,KR,6799,Grandmaster,Zerg
32,KR,6768,Grandmaster,Zerg
32,KR,6744,Grandmaster,Terran
32,KR,6741,Grandmaster,Terran
32,KR,6736,Grandmaster,Terran
32,KR,6735,Grandmaster,Zerg
32,KR,6730,Grandmaster,Protoss
32,KR,6730,Grandmaster,Protoss
32,KR,6721,Grandmaster,Protoss
32,KR,6715,Grandmaster,Zerg
32,KR,6711,Grandmaster,Terran
32,KR,6709,Grandmaster,Zerg
32,KR,6703,Grandmaster,Terran
32,KR,6700,Grandmaster,Protoss
32,KR,6672,Grandmaster,Zerg
32,KR,6672,Grandmaster,Terran
32,KR,6666,Grandmaster,Terran
32,KR,6662,Grandmaster,Terran
32,KR,6649,Grandmaster,Zerg
32,KR,6649,Grandmaster,Terran
32,KR,6648,Grandmaster,Zerg
32,KR,6645,Grandmaster,Zerg
32,KR,6640,Grandmaster,Terran
32,KR,6635,Grandmaster,Terran
32,KR,6634,Grandmaster,Protoss
32,KR,6632,Grandmaster,Terran
32,KR,6632,Grandmaster,Zerg
32,KR,6625,Grandmaster,Zerg
32,KR,6616,Grandmaster,Zerg
32,KR,6615,Grandmaster,Protoss
32,KR,6615,Grandmaster,Terran
32,KR,6613,Grandmaster,Protoss
32,KR,6612,Grandmaster,Terran
32,KR,6603,Grandmaster,Terran
32,KR,6600,Grandmaster,Protoss
32,KR,6596,Grandmaster,Terran
32,KR,6593,Grandmaster,Protoss
32,KR,6579,Grandmaster,Protoss
32,KR,6577,Grandmaster,Terran
32,KR,6576,Grandmaster,Zerg
32,KR,6576,Grandmaster,Protoss
32,KR,6574,Grandmaster,Terran
32,KR,6574,Grandmaster,Protoss
32,KR,6567,Grandmaster,Random
32,KR,6558,Grandmaster,Zerg
32,KR,6545,Grandmaster,Protoss
32,KR,6541,Grandmaster,Terran
32,KR,6537,Grandmaster,Terran
32,KR,6531,Grandmaster,Terran
32,KR,6529,Grandmaster,Zerg
32,KR,6525,Grandmaster,Terran
32,KR,6524,Grandmaster,Terran
32,KR,6524,Grandmaster,Protoss
32,KR,6523,Grandmaster,Terran
32,KR,6522,Grandmaster,Zerg
32,KR,6514,Grandmaster,Terran
32,KR,6514,Grandmaster,Protoss
32,KR,6511,Grandmaster,Zerg
32,KR,6511,Grandmaster,Protoss
32,KR,6507,Grandmaster,Zerg
32,KR,6503,Grandmaster,Terran
32,KR,6484,Grandmaster,Protoss
32,KR,6477,Grandmaster,Protoss
32,KR,6475,Grandmaster,Terran
32,KR,6460,Grandmaster,Terran
32,KR,6457,Grandmaster,Terran
32,KR,6456,Grandmaster,Zerg
32,KR,6452,Grandmaster,Random
32,KR,6444,Grandmaster,Terran
32,KR,6438,Grandmaster,Protoss
32,KR,6437,Grandmaster,Protoss
32,KR,6433,Grandmaster,Protoss
32,KR,6432,Grandmaster,Terran
32,KR,6431,Grandmaster,Zerg
32,KR,6430,Grandmaster,Protoss
32,KR,6414,Grandmaster,Protoss
32,KR,6395,Grandmaster,Zerg
32,KR,6386,Grandmaster,Terran
32,KR,6381,Grandmaster,Protoss
32,KR,6378,Grandmaster,Zerg
32,KR,6371,Grandmaster,Terran
32,KR,6369,Grandmaster,Terran
32,KR,6362,Grandmaster,Terran
32,KR,6360,Grandmaster,Protoss
32,KR,6353,Grandmaster,Zerg
32,KR,6348,Grandmaster,Zerg
32,KR,6344,Grandmaster,Terran
32,KR,6336,Grandmaster,Zerg
32,KR,6336,Grandmaster,Protoss
32,KR,6334,Grandmaster,Protoss
32,KR,6332,Grandmaster,Zerg
32,KR,6326,Grandmaster,Protoss
32,KR,6317,Grandmaster,Zerg
32,KR,6316,Grandmaster,Protoss
32,KR,6311,Grandmaster,Terran
