Season,Region,Rating,Rank,Race
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Random
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Zerg
33,EU,3118,Platinum,Protoss
33,EU,3118,Platinum,Terran
33,EU,3118,Platinum,Random
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Protoss
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Protoss
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Random
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Protoss
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Protoss
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Protoss
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Random
33,EU,3117,Platinum,Zerg
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Terran
33,EU,3117,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Random
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Random
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Random
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Protoss
33,EU,3115,Platinum,Random
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Zerg
33,EU,3115,Platinum,Terran
33,EU,3115,Platinum,Zerg
