Season,Region,Rating,Rank,Race
34,EU,1715,Bronze,Protoss
34,EU,1713,Bronze,Random
34,EU,1712,Bronze,Terran
34,EU,1707,Bronze,Protoss
34,EU,1705,Bronze,Terran
34,EU,1698,Bronze,Zerg
34,EU,1696,Bronze,Terran
34,EU,1694,Bronze,Protoss
34,EU,1692,Bronze,Zerg
34,EU,1688,Bronze,Terran
34,EU,1669,Bronze,Terran
34,EU,1668,Bronze,Protoss
34,EU,1666,Bronze,Terran
34,EU,1644,Bronze,Terran
34,EU,1643,Bronze,Random
34,EU,1635,Bronze,Zerg
34,EU,1630,Bronze,Terran
34,EU,1630,Bronze,Zerg
34,EU,1630,Bronze,Terran
34,EU,1628,Bronze,Terran
34,EU,1627,Bronze,Zerg
34,EU,1614,Bronze,Terran
34,EU,1611,Bronze,Terran
34,EU,1608,Bronze,Terran
34,EU,1600,Bronze,Random
34,EU,1591,Bronze,Random
34,EU,1587,Bronze,Protoss
34,EU,1556,Bronze,Protoss
34,EU,1550,Bronze,Random
34,EU,1550,Bronze,Protoss
34,EU,1523,Bronze,Random
34,EU,1523,Bronze,Protoss
34,EU,1509,Bronze,Protoss
34,EU,1491,Bronze,Zerg
34,EU,1490,Bronze,Terran
34,EU,1475,Bronze,Terran
34,EU,1467,Bronze,Terran
34,EU,1459,Bronze,Terran
34,EU,1458,Bronze,Terran
34,EU,1457,Bronze,Zerg
34,EU,1403,Bronze,Random
34,EU,1382,Bronze,Random
34,EU,1364,Bronze,Terran
34,EU,1337,Bronze,Terran
34,EU,1296,Bronze,Random
34,EU,1291,Bronze,Protoss
34,EU,1285,Bronze,Random
34,EU,1212,Bronze,Zerg
34,EU,1138,Bronze,Protoss
34,EU,1135,Bronze,Random
34,EU,1099,Bronze,Zerg
