Season,Region,Rating,Rank,Race
34,EU,7238,Grandmaster,Zerg
34,EU,7169,Grandmaster,Zerg
34,EU,7045,Grandmaster,Protoss
34,EU,7011,Grandmaster,Protoss
34,EU,6986,Grandmaster,Zerg
34,EU,6957,Grandmaster,Protoss
34,EU,6940,Grandmaster,Zerg
34,EU,6936,Grandmaster,Terran
34,EU,6912,Grandmaster,Terran
34,EU,6874,Grandmaster,Protoss
34,EU,6872,Grandmaster,Zerg
34,EU,6861,Grandmaster,Terran
34,EU,6852,Grandmaster,Terran
34,EU,6784,Grandmaster,Terran
34,EU,6777,Grandmaster,Zerg
34,EU,6775,Grandmaster,Protoss
34,EU,6764,Grandmaster,Terran
34,EU,6759,Grandmaster,Protoss
34,EU,6756,Grandmaster,Zerg
34,EU,6744,Grandmaster,Protoss
34,EU,6739,Grandmaster,Terran
34,EU,6732,Grandmaster,Zerg
34,EU,6731,Grandmaster,Protoss
34,EU,6720,Grandmaster,Protoss
34,EU,6706,Grandmaster,Terran
34,EU,6699,Grandmaster,Terran
34,EU,6696,Grandmaster,Zerg
34,EU,6691,Grandmaster,Zerg
34,EU,6665,Grandmaster,Zerg
34,EU,6651,Grandmaster,Terran
34,EU,6643,Grandmaster,Terran
34,EU,6636,Grandmaster,Protoss
34,EU,6636,Grandmaster,Protoss
34,EU,6634,Grandmaster,Zerg
34,EU,6625,Grandmaster,Protoss
34,EU,6623,Grandmaster,Zerg
34,EU,6620,Grandmaster,Zerg
34,EU,6613,Grandmaster,Zerg
34,EU,6607,Grandmaster,Terran
34,EU,6597,Grandmaster,Zerg
34,EU,6589,Grandmaster,Zerg
34,EU,6577,Grandmaster,Protoss
34,EU,6549,Grandmaster,Terran
34,EU,6547,Grandmaster,Protoss
34,EU,6547,Grandmaster,Terran
34,EU,6541,Grandmaster,Zerg
34,EU,6539,Grandmaster,Zerg
34,EU,6514,Grandmaster,Protoss
34,EU,6502,Grandmaster,Zerg
34,EU,6498,Grandmaster,Terran
34,EU,6495,Grandmaster,Protoss
34,EU,6494,Grandmaster,Terran
34,EU,6492,Grandmaster,Protoss
34,EU,6486,Grandmaster,Protoss
34,EU,6483,Grandmaster,Terran
34,EU,6464,Grandmaster,Zerg
34,EU,6462,Grandmaster,Zerg
34,EU,6460,Grandmaster,Protoss
34,EU,6460,Grandmaster,Terran
34,EU,6453,Grandmaster,Terran
34,EU,6448,Grandmaster,Zerg
34,EU,6432,Grandmaster,Protoss
34,EU,6430,Grandmaster,Protoss
34,EU,6426,Grandmaster,Protoss
34,EU,6422,Grandmaster,Terran
34,EU,6421,Grandmaster,Zerg
34,EU,6419,Grandmaster,Terran
34,EU,6415,Grandmaster,Protoss
34,EU,6409,Grandmaster,Protoss
34,EU,6409,Grandmaster,Terran
34,EU,6409,Grandmaster,Zerg
34,EU,6407,Grandmaster,Terran
34,EU,6405,Grandmaster,Zerg
34,EU,6387,Grandmaster,Protoss
34,EU,6386,Grandmaster,Zerg
34,EU,6381,Grandmaster,Terran
34,EU,6380,Grandmaster,Zerg
34,EU,6379,Grandmaster,Protoss
34,EU,6368,Grandmaster,Zerg
34,EU,6360,Grandmaster,Zerg
34,EU,6353,Grandmaster,Zerg
34,EU,6352,Grandmaster,Terran
34,EU,6344,Grandmaster,Zerg
34,EU,6336,Grandmaster,Zerg
34,EU,6330,Grandmaster,Protoss
34,EU,6329,Grandmaster,Zerg
34,EU,6328,Grandmaster,Zerg
34,EU,6326,Grandmaster,Terran
34,EU,6298,Grandmaster,Protoss
34,EU,6291,Grandmaster,Terran
34,EU,6286,Grandmaster,Zerg
34,EU,6282,Grandmaster,Terran
34,EU,6277,Grandmaster,Terran
34,EU,6270,Grandmaster,Terran
34,EU,6270,Grandmaster,Zerg
34,EU,6269,Grandmaster,Terran
34,EU,6267,Grandmaster,Protoss
34,EU,6265,Grandmaster,Protoss
34,EU,6260,Grandmaster,Protoss
34,EU,6259,Grandmaster,Terran
34,EU,6246,Grandmaster,Terran
34,EU,6246,Grandmaster,Zerg
34,EU,6244,Grandmaster,Zerg
34,EU,6239,Grandmaster,Protoss
34,EU,6231,Grandmaster,Zerg
34,EU,6225,Grandmaster,Terran
34,EU,6224,Grandmaster,Protoss
34,EU,6220,Grandmaster,Protoss
34,EU,6217,Grandmaster,Protoss
34,EU,6210,Grandmaster,Protoss
34,EU,6207,Grandmaster,Zerg
34,EU,6207,Grandmaster,Terran
34,EU,6205,Grandmaster,Terran
34,EU,6199,Grandmaster,Terran
34,EU,6199,Grandmaster,Terran
34,EU,6188,Grandmaster,Zerg
34,EU,6188,Grandmaster,Protoss
34,EU,6184,Grandmaster,Protoss
34,EU,6182,Grandmaster,Protoss
34,EU,6175,Grandmaster,Zerg
34,EU,6171,Grandmaster,Zerg
34,EU,6170,Grandmaster,Terran
34,EU,6158,Grandmaster,Protoss
34,EU,6157,Grandmaster,Terran
34,EU,6157,Grandmaster,Terran
34,EU,6155,Grandmaster,Protoss
34,EU,6152,Grandmaster,Protoss
34,EU,6152,Grandmaster,Terran
34,EU,6147,Grandmaster,Zerg
34,EU,6141,Grandmaster,Protoss
34,EU,6141,Grandmaster,Protoss
34,EU,6139,Grandmaster,Zerg
34,EU,6138,Grandmaster,Zerg
34,EU,6130,Grandmaster,Terran
34,EU,6127,Grandmaster,Protoss
34,EU,6126,Grandmaster,Zerg
34,EU,6118,Grandmaster,Terran
34,EU,6118,Grandmaster,Zerg
34,EU,6115,Grandmaster,Zerg
34,EU,6112,Grandmaster,Terran
34,EU,6106,Grandmaster,Terran
34,EU,6105,Grandmaster,Protoss
34,EU,6103,Grandmaster,Protoss
34,EU,6103,Grandmaster,Zerg
34,EU,6102,Grandmaster,Zerg
34,EU,6101,Grandmaster,Zerg
34,EU,6101,Grandmaster,Zerg
34,EU,6097,Grandmaster,Protoss
34,EU,6094,Grandmaster,Terran
34,EU,6091,Grandmaster,Zerg
34,EU,6090,Grandmaster,Zerg
34,EU,6090,Grandmaster,Terran
34,EU,6088,Grandmaster,Protoss
34,EU,6085,Grandmaster,Terran
34,EU,6084,Grandmaster,Protoss
34,EU,6083,Grandmaster,Zerg
34,EU,6075,Grandmaster,Terran
34,EU,6069,Grandmaster,Terran
34,EU,6068,Grandmaster,Zerg
34,EU,6060,Grandmaster,Protoss
34,EU,6060,Grandmaster,Terran
34,EU,6058,Grandmaster,Terran
34,EU,6057,Grandmaster,Zerg
34,EU,6057,Grandmaster,Terran
34,EU,6057,Grandmaster,Terran
34,EU,6057,Grandmaster,Terran
34,EU,6054,Grandmaster,Protoss
34,EU,6054,Grandmaster,Zerg
34,EU,6051,Grandmaster,Protoss
34,EU,6049,Grandmaster,Zerg
34,EU,6049,Grandmaster,Protoss
34,EU,6038,Grandmaster,Protoss
34,EU,6037,Grandmaster,Zerg
34,EU,6035,Grandmaster,Zerg
34,EU,6033,Grandmaster,Terran
34,EU,6032,Grandmaster,Terran
34,EU,6032,Grandmaster,Protoss
34,EU,6031,Grandmaster,Terran
34,EU,6030,Grandmaster,Protoss
34,EU,6030,Grandmaster,Protoss
34,EU,6030,Grandmaster,Protoss
34,EU,6026,Grandmaster,Protoss
34,EU,6023,Grandmaster,Zerg
34,EU,6020,Grandmaster,Zerg
34,EU,6019,Grandmaster,Zerg
34,EU,6019,Grandmaster,Zerg
34,EU,6015,Grandmaster,Protoss
34,EU,6014,Grandmaster,Terran
34,EU,6014,Grandmaster,Protoss
34,EU,6009,Grandmaster,Zerg
34,EU,6008,Grandmaster,Terran
34,EU,6007,Grandmaster,Zerg
34,EU,6007,Grandmaster,Protoss
34,EU,6006,Grandmaster,Zerg
34,EU,6005,Grandmaster,Protoss
34,EU,6005,Grandmaster,Terran
34,EU,6003,Grandmaster,Protoss
34,EU,6003,Grandmaster,Protoss
34,EU,6002,Grandmaster,Protoss
34,EU,6001,Grandmaster,Terran
34,EU,5997,Grandmaster,Terran
34,EU,5997,Grandmaster,Protoss
34,EU,5996,Grandmaster,Zerg
34,EU,5995,Grandmaster,Protoss
34,EU,5994,Grandmaster,Zerg
34,EU,5994,Grandmaster,Protoss
34,EU,5992,Grandmaster,Protoss
34,EU,5987,Grandmaster,Terran
34,EU,5986,Grandmaster,Terran
34,EU,5985,Grandmaster,Terran
34,EU,5984,Grandmaster,Terran
34,EU,5983,Grandmaster,Terran
34,EU,5983,Grandmaster,Terran
34,EU,5982,Grandmaster,Protoss
34,EU,5980,Grandmaster,Zerg
34,EU,5979,Grandmaster,Zerg
34,EU,5975,Grandmaster,Protoss
34,EU,5974,Grandmaster,Terran
34,EU,5972,Grandmaster,Zerg
34,EU,5972,Grandmaster,Terran
34,EU,5972,Grandmaster,Zerg
34,EU,5971,Grandmaster,Zerg
34,EU,5971,Grandmaster,Zerg
34,EU,5969,Grandmaster,Terran
34,EU,5966,Grandmaster,Protoss
34,EU,5964,Grandmaster,Protoss
34,EU,5963,Grandmaster,Zerg
34,EU,5963,Grandmaster,Random
34,EU,5962,Grandmaster,Zerg
34,EU,5962,Grandmaster,Terran
34,EU,5955,Grandmaster,Terran
34,EU,5954,Grandmaster,Protoss
34,EU,5948,Grandmaster,Zerg
34,EU,5944,Grandmaster,Zerg
34,EU,5943,Grandmaster,Zerg
34,EU,5941,Grandmaster,Protoss
34,EU,5941,Grandmaster,Zerg
34,EU,5939,Grandmaster,Protoss
34,EU,5938,Grandmaster,Terran
34,EU,5936,Grandmaster,Zerg
34,EU,5935,Grandmaster,Random
34,EU,5932,Grandmaster,Zerg
34,EU,5932,Grandmaster,Zerg
34,EU,5929,Grandmaster,Zerg
34,EU,5927,Grandmaster,Terran
34,EU,5927,Grandmaster,Zerg
34,EU,5925,Grandmaster,Zerg
34,EU,5923,Grandmaster,Zerg
34,EU,5922,Grandmaster,Zerg
34,EU,5920,Grandmaster,Terran
34,EU,5920,Grandmaster,Zerg
34,EU,5920,Grandmaster,Zerg
34,EU,5916,Grandmaster,Terran
34,EU,5913,Grandmaster,Terran
34,EU,5913,Grandmaster,Protoss
34,EU,5912,Grandmaster,Protoss
34,EU,5910,Grandmaster,Zerg
34,EU,5909,Grandmaster,Protoss
34,EU,5909,Grandmaster,Zerg
34,EU,5908,Grandmaster,Terran
34,EU,5908,Grandmaster,Zerg
34,EU,5908,Grandmaster,Protoss
34,EU,5905,Grandmaster,Protoss
34,EU,5905,Grandmaster,Protoss
34,EU,5903,Grandmaster,Terran
34,EU,5902,Grandmaster,Protoss
34,EU,5902,Grandmaster,Zerg
34,EU,5901,Grandmaster,Protoss
34,EU,5899,Grandmaster,Zerg
34,EU,5899,Grandmaster,Protoss
34,EU,5899,Grandmaster,Protoss
34,EU,5898,Grandmaster,Zerg
34,EU,5898,Grandmaster,Terran
34,EU,5898,Grandmaster,Zerg
34,EU,5897,Grandmaster,Zerg
34,EU,5896,Grandmaster,Zerg
34,EU,5895,Grandmaster,Protoss
