Season,Region,Rating,Rank,Race
35,CN,1719,Bronze,Terran
35,CN,1718,Bronze,Protoss
35,CN,1710,Bronze,Terran
35,CN,1704,Bronze,Zerg
35,CN,1686,Bronze,Random
35,CN,1684,Bronze,Protoss
35,CN,1679,Bronze,Zerg
35,CN,1664,Bronze,Zerg
35,CN,1657,Bronze,Terran
35,CN,1655,Bronze,Terran
35,CN,1650,Bronze,Zerg
35,CN,1635,Bronze,Random
35,CN,1614,Bronze,Random
35,CN,1597,Bronze,Terran
35,CN,1592,Bronze,Random
35,CN,1583,Bronze,Protoss
35,CN,1577,Bronze,Terran
35,CN,1562,Bronze,Terran
35,CN,1560,Bronze,Zerg
35,CN,1554,Bronze,Terran
35,CN,1545,Bronze,Random
35,CN,1542,Bronze,Terran
35,CN,1539,Bronze,Zerg
35,CN,1516,Bronze,Random
35,CN,1514,Bronze,Random
35,CN,1507,Bronze,Random
35,CN,1494,Bronze,Protoss
35,CN,1461,Bronze,Terran
35,CN,1452,Bronze,Zerg
35,CN,1444,Bronze,Zerg
35,CN,1438,Bronze,Random
35,CN,1435,Bronze,Zerg
35,CN,1432,Bronze,Random
35,CN,1422,Bronze,Zerg
35,CN,1411,Bronze,Zerg
35,CN,1396,Bronze,Random
35,CN,1372,Bronze,Random
35,CN,1353,Bronze,Random
35,CN,1347,Bronze,Zerg
35,CN,1305,Bronze,Random
35,CN,1303,Bronze,Protoss
35,CN,1247,Bronze,Protoss
35,CN,1242,Bronze,Terran
35,CN,1228,Bronze,Terran
35,CN,1222,Bronze,Random
35,CN,1214,Bronze,Terran
35,CN,1199,Bronze,Random
35,CN,1173,Bronze,Random
35,CN,1152,Bronze,Random
35,CN,1148,Bronze,Random
35,CN,1092,Bronze,Random
35,CN,1012,Bronze,Random
35,CN,978,Bronze,Terran
35,CN,962,Bronze,Protoss
35,CN,951,Bronze,Protoss
35,CN,943,Bronze,Terran
35,CN,935,Bronze,Random
35,CN,841,Bronze,Protoss
35,CN,697,Bronze,Random
35,CN,684,Bronze,Terran
35,CN,662,Bronze,Random
35,CN,645,Bronze,Random
35,CN,173,Bronze,Terran
35,CN,0,Bronze,Random
35,CN,0,Bronze,Random
