Season,Region,Rating,Rank,Race
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Random
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Random
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Random
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Random
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Zerg
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Protoss
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Terran
35,CN,3119,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Random
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Terran
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Protoss
35,CN,3118,Platinum,Zerg
35,CN,3118,Platinum,Terran
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Random
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Random
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Random
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Random
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Protoss
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3116,Platinum,Zerg
35,CN,3116,Platinum,Terran
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Random
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Zerg
35,CN,3115,Platinum,Zerg
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Zerg
35,CN,3115,Platinum,Zerg
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Terran
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
35,CN,3115,Platinum,Protoss
