Season,Region,Rating,Rank,Race
35,US,2279,Silver,Protoss
35,US,2279,Silver,Terran
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Protoss
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Protoss
35,US,2279,Silver,Protoss
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Zerg
35,US,2279,Silver,Protoss
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Random
35,US,2279,Silver,Terran
35,US,2279,Silver,Protoss
35,US,2279,Silver,Zerg
35,US,2279,Silver,Zerg
35,US,2279,Silver,Zerg
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Protoss
35,US,2279,Silver,Random
35,US,2279,Silver,Terran
35,US,2279,Silver,Random
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Zerg
35,US,2279,Silver,Protoss
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Random
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2279,Silver,Protoss
35,US,2279,Silver,Zerg
35,US,2279,Silver,Terran
35,US,2279,Silver,Terran
35,US,2278,Silver,Terran
35,US,2278,Silver,Zerg
35,US,2278,Silver,Protoss
35,US,2278,Silver,Zerg
35,US,2278,Silver,Terran
35,US,2278,Silver,Protoss
35,US,2278,Silver,Terran
35,US,2278,Silver,Terran
35,US,2278,Silver,Protoss
35,US,2278,Silver,Terran
35,US,2278,Silver,Protoss
35,US,2278,Silver,Protoss
35,US,2278,Silver,Protoss
35,US,2278,Silver,Zerg
35,US,2278,Silver,Random
35,US,2278,Silver,Protoss
35,US,2278,Silver,Random
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2276,Silver,Protoss
35,US,2276,Silver,Terran
35,US,2276,Silver,Protoss
35,US,2276,Silver,Protoss
35,US,2276,Silver,Terran
35,US,2276,Silver,Zerg
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2276,Silver,Protoss
35,US,2276,Silver,Protoss
35,US,2276,Silver,Protoss
35,US,2276,Silver,Random
35,US,2276,Silver,Terran
35,US,2276,Silver,Zerg
35,US,2276,Silver,Protoss
35,US,2276,Silver,Terran
35,US,2276,Silver,Protoss
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2276,Silver,Random
35,US,2276,Silver,Terran
35,US,2276,Silver,Random
35,US,2276,Silver,Protoss
35,US,2276,Silver,Terran
35,US,2276,Silver,Terran
35,US,2275,Silver,Zerg
35,US,2275,Silver,Terran
35,US,2275,Silver,Zerg
35,US,2275,Silver,Protoss
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Random
35,US,2275,Silver,Terran
35,US,2275,Silver,Protoss
35,US,2275,Silver,Protoss
35,US,2275,Silver,Zerg
35,US,2275,Silver,Protoss
35,US,2275,Silver,Zerg
35,US,2275,Silver,Zerg
35,US,2275,Silver,Protoss
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Protoss
35,US,2275,Silver,Protoss
35,US,2275,Silver,Protoss
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2275,Silver,Zerg
35,US,2275,Silver,Terran
35,US,2275,Silver,Protoss
35,US,2275,Silver,Protoss
35,US,2275,Silver,Terran
35,US,2275,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Protoss
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Zerg
35,US,2274,Silver,Protoss
35,US,2274,Silver,Protoss
35,US,2274,Silver,Random
35,US,2274,Silver,Terran
35,US,2274,Silver,Random
35,US,2274,Silver,Terran
35,US,2274,Silver,Random
35,US,2274,Silver,Zerg
35,US,2274,Silver,Zerg
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Random
35,US,2274,Silver,Protoss
35,US,2274,Silver,Zerg
35,US,2274,Silver,Random
35,US,2274,Silver,Terran
35,US,2274,Silver,Terran
35,US,2274,Silver,Zerg
35,US,2274,Silver,Random
35,US,2274,Silver,Random
35,US,2274,Silver,Protoss
35,US,2273,Silver,Terran
35,US,2273,Silver,Terran
35,US,2273,Silver,Terran
35,US,2273,Silver,Terran
35,US,2273,Silver,Protoss
35,US,2273,Silver,Terran
35,US,2273,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Zerg
35,US,2271,Silver,Protoss
35,US,2271,Silver,Terran
35,US,2271,Silver,Protoss
35,US,2271,Silver,Protoss
35,US,2271,Silver,Protoss
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Protoss
35,US,2271,Silver,Terran
35,US,2271,Silver,Protoss
35,US,2271,Silver,Protoss
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
35,US,2271,Silver,Terran
