Season,Region,Rating,Rank,Race
41,US,1719,Bronze,Terran
41,US,1719,Bronze,Terran
41,US,1719,Bronze,Terran
41,US,1719,Bronze,Terran
41,US,1719,Bronze,Terran
41,US,1719,Bronze,Terran
41,US,1718,Bronze,Protoss
41,US,1718,Bronze,Zerg
41,US,1718,Bronze,Protoss
41,US,1718,Bronze,Terran
41,US,1718,Bronze,Terran
41,US,1718,Bronze,Random
41,US,1718,Bronze,Zerg
41,US,1718,Bronze,Terran
41,US,1718,Bronze,Protoss
41,US,1718,Bronze,Terran
41,US,1718,Bronze,Random
41,US,1718,Bronze,Zerg
41,US,1717,Bronze,Terran
41,US,1717,Bronze,Zerg
41,US,1717,Bronze,Zerg
41,US,1717,Bronze,Protoss
41,US,1717,Bronze,Terran
41,US,1717,Bronze,Terran
41,US,1716,Bronze,Zerg
41,US,1716,Bronze,Random
41,US,1716,Bronze,Terran
41,US,1716,Bronze,Protoss
41,US,1715,Bronze,Protoss
41,US,1715,Bronze,Terran
41,US,1715,Bronze,Terran
41,US,1714,Bronze,Protoss
41,US,1714,Bronze,Terran
41,US,1714,Bronze,Random
41,US,1714,Bronze,Protoss
41,US,1714,Bronze,Zerg
41,US,1714,Bronze,Terran
41,US,1714,Bronze,Zerg
41,US,1714,Bronze,Terran
41,US,1714,Bronze,Terran
41,US,1714,Bronze,Terran
41,US,1713,Bronze,Protoss
41,US,1713,Bronze,Protoss
41,US,1713,Bronze,Zerg
41,US,1713,Bronze,Terran
41,US,1713,Bronze,Terran
41,US,1713,Bronze,Zerg
41,US,1713,Bronze,Protoss
41,US,1712,Bronze,Terran
41,US,1712,Bronze,Terran
41,US,1712,Bronze,Protoss
41,US,1711,Bronze,Protoss
41,US,1711,Bronze,Protoss
41,US,1711,Bronze,Zerg
41,US,1711,Bronze,Protoss
41,US,1711,Bronze,Protoss
41,US,1711,Bronze,Zerg
41,US,1711,Bronze,Terran
41,US,1711,Bronze,Terran
41,US,1711,Bronze,Terran
41,US,1711,Bronze,Zerg
41,US,1711,Bronze,Terran
41,US,1710,Bronze,Terran
41,US,1710,Bronze,Terran
41,US,1710,Bronze,Terran
41,US,1710,Bronze,Terran
41,US,1710,Bronze,Random
41,US,1710,Bronze,Protoss
41,US,1709,Bronze,Terran
41,US,1709,Bronze,Terran
41,US,1709,Bronze,Zerg
41,US,1709,Bronze,Terran
41,US,1708,Bronze,Terran
41,US,1708,Bronze,Protoss
41,US,1708,Bronze,Terran
41,US,1708,Bronze,Random
41,US,1708,Bronze,Zerg
41,US,1708,Bronze,Protoss
41,US,1707,Bronze,Protoss
41,US,1707,Bronze,Terran
41,US,1707,Bronze,Zerg
41,US,1707,Bronze,Protoss
41,US,1707,Bronze,Protoss
41,US,1707,Bronze,Zerg
41,US,1707,Bronze,Random
41,US,1707,Bronze,Terran
41,US,1707,Bronze,Terran
41,US,1706,Bronze,Terran
41,US,1706,Bronze,Terran
41,US,1706,Bronze,Terran
41,US,1706,Bronze,Protoss
41,US,1706,Bronze,Terran
41,US,1706,Bronze,Random
41,US,1706,Bronze,Terran
41,US,1704,Bronze,Terran
41,US,1704,Bronze,Protoss
41,US,1704,Bronze,Terran
41,US,1704,Bronze,Zerg
41,US,1704,Bronze,Zerg
41,US,1704,Bronze,Protoss
41,US,1704,Bronze,Random
41,US,1704,Bronze,Terran
41,US,1704,Bronze,Terran
41,US,1704,Bronze,Zerg
41,US,1704,Bronze,Zerg
41,US,1704,Bronze,Terran
41,US,1703,Bronze,Protoss
41,US,1703,Bronze,Terran
41,US,1703,Bronze,Zerg
41,US,1703,Bronze,Zerg
41,US,1703,Bronze,Terran
41,US,1703,Bronze,Zerg
41,US,1703,Bronze,Protoss
41,US,1702,Bronze,Protoss
41,US,1702,Bronze,Zerg
41,US,1702,Bronze,Terran
41,US,1701,Bronze,Terran
41,US,1701,Bronze,Random
41,US,1701,Bronze,Zerg
41,US,1701,Bronze,Random
41,US,1701,Bronze,Zerg
41,US,1701,Bronze,Protoss
41,US,1700,Bronze,Random
41,US,1700,Bronze,Zerg
41,US,1700,Bronze,Terran
41,US,1700,Bronze,Terran
41,US,1700,Bronze,Terran
41,US,1700,Bronze,Terran
41,US,1699,Bronze,Terran
41,US,1699,Bronze,Zerg
41,US,1699,Bronze,Terran
41,US,1698,Bronze,Terran
41,US,1698,Bronze,Zerg
41,US,1698,Bronze,Terran
41,US,1698,Bronze,Zerg
41,US,1698,Bronze,Terran
41,US,1698,Bronze,Zerg
41,US,1698,Bronze,Zerg
41,US,1697,Bronze,Protoss
41,US,1697,Bronze,Random
41,US,1697,Bronze,Zerg
41,US,1697,Bronze,Zerg
41,US,1697,Bronze,Terran
41,US,1697,Bronze,Terran
41,US,1697,Bronze,Terran
41,US,1697,Bronze,Terran
41,US,1696,Bronze,Terran
41,US,1696,Bronze,Terran
41,US,1696,Bronze,Zerg
41,US,1696,Bronze,Protoss
41,US,1696,Bronze,Terran
41,US,1696,Bronze,Terran
41,US,1696,Bronze,Protoss
41,US,1696,Bronze,Terran
41,US,1696,Bronze,Random
41,US,1695,Bronze,Random
41,US,1695,Bronze,Protoss
41,US,1695,Bronze,Terran
41,US,1695,Bronze,Zerg
41,US,1695,Bronze,Zerg
41,US,1695,Bronze,Terran
41,US,1694,Bronze,Terran
41,US,1694,Bronze,Protoss
41,US,1694,Bronze,Protoss
41,US,1694,Bronze,Zerg
41,US,1694,Bronze,Terran
41,US,1694,Bronze,Terran
41,US,1693,Bronze,Zerg
41,US,1693,Bronze,Protoss
41,US,1693,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Zerg
41,US,1692,Bronze,Protoss
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Terran
41,US,1692,Bronze,Zerg
41,US,1692,Bronze,Terran
41,US,1691,Bronze,Terran
41,US,1691,Bronze,Protoss
41,US,1691,Bronze,Terran
41,US,1691,Bronze,Protoss
41,US,1691,Bronze,Terran
41,US,1691,Bronze,Terran
41,US,1691,Bronze,Zerg
41,US,1690,Bronze,Terran
41,US,1690,Bronze,Terran
41,US,1690,Bronze,Random
41,US,1690,Bronze,Terran
41,US,1690,Bronze,Terran
41,US,1688,Bronze,Terran
41,US,1688,Bronze,Terran
41,US,1688,Bronze,Random
41,US,1688,Bronze,Terran
41,US,1688,Bronze,Protoss
41,US,1688,Bronze,Protoss
41,US,1688,Bronze,Terran
41,US,1688,Bronze,Terran
41,US,1687,Bronze,Terran
41,US,1687,Bronze,Terran
41,US,1687,Bronze,Terran
41,US,1687,Bronze,Protoss
41,US,1687,Bronze,Protoss
41,US,1686,Bronze,Terran
41,US,1686,Bronze,Terran
41,US,1686,Bronze,Terran
41,US,1686,Bronze,Terran
41,US,1686,Bronze,Terran
41,US,1686,Bronze,Zerg
41,US,1685,Bronze,Zerg
41,US,1685,Bronze,Terran
41,US,1685,Bronze,Protoss
41,US,1685,Bronze,Terran
41,US,1684,Bronze,Zerg
41,US,1684,Bronze,Terran
41,US,1684,Bronze,Protoss
41,US,1684,Bronze,Zerg
41,US,1684,Bronze,Terran
41,US,1684,Bronze,Protoss
41,US,1683,Bronze,Terran
41,US,1683,Bronze,Protoss
41,US,1683,Bronze,Terran
41,US,1683,Bronze,Terran
41,US,1682,Bronze,Terran
41,US,1682,Bronze,Terran
41,US,1682,Bronze,Terran
41,US,1682,Bronze,Terran
41,US,1682,Bronze,Terran
41,US,1682,Bronze,Zerg
41,US,1681,Bronze,Zerg
41,US,1681,Bronze,Terran
41,US,1681,Bronze,Terran
41,US,1681,Bronze,Terran
41,US,1681,Bronze,Zerg
41,US,1681,Bronze,Terran
41,US,1681,Bronze,Zerg
41,US,1680,Bronze,Protoss
41,US,1680,Bronze,Protoss
41,US,1680,Bronze,Zerg
41,US,1680,Bronze,Terran
41,US,1679,Bronze,Terran
41,US,1679,Bronze,Terran
41,US,1679,Bronze,Zerg
41,US,1679,Bronze,Terran
41,US,1678,Bronze,Protoss
41,US,1678,Bronze,Terran
41,US,1678,Bronze,Terran
41,US,1678,Bronze,Terran
41,US,1678,Bronze,Zerg
41,US,1678,Bronze,Protoss
41,US,1678,Bronze,Random
41,US,1678,Bronze,Terran
41,US,1678,Bronze,Terran
41,US,1677,Bronze,Zerg
41,US,1677,Bronze,Zerg
41,US,1677,Bronze,Zerg
41,US,1677,Bronze,Terran
41,US,1677,Bronze,Zerg
41,US,1677,Bronze,Protoss
41,US,1677,Bronze,Protoss
41,US,1677,Bronze,Zerg
41,US,1677,Bronze,Terran
41,US,1676,Bronze,Random
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Zerg
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Terran
41,US,1676,Bronze,Protoss
41,US,1676,Bronze,Terran
41,US,1675,Bronze,Terran
41,US,1675,Bronze,Terran
41,US,1675,Bronze,Terran
41,US,1674,Bronze,Zerg
41,US,1674,Bronze,Terran
41,US,1674,Bronze,Terran
41,US,1674,Bronze,Protoss
