Season,Region,Rating,Rank,Race
42,US,3119,Platinum,Random
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Random
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Random
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Random
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Random
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Random
42,US,3119,Platinum,Random
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Random
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Zerg
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Random
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Random
42,US,3119,Platinum,Terran
42,US,3119,Platinum,Protoss
42,US,3119,Platinum,Protoss
42,US,3118,Platinum,Protoss
42,US,3118,Platinum,Protoss
42,US,3118,Platinum,Protoss
42,US,3118,Platinum,Protoss
42,US,3118,Platinum,Terran
42,US,3118,Platinum,Protoss
42,US,3118,Platinum,Zerg
42,US,3118,Platinum,Zerg
42,US,3116,Platinum,Random
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Random
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Random
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Random
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Random
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Random
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Protoss
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Random
42,US,3116,Platinum,Random
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Zerg
42,US,3116,Platinum,Terran
42,US,3116,Platinum,Terran
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Random
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Zerg
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Terran
42,US,3115,Platinum,Protoss
42,US,3115,Platinum,Random
42,US,3114,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Random
42,US,3112,Platinum,Protoss
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Random
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Random
42,US,3112,Platinum,Protoss
42,US,3112,Platinum,Zerg
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Protoss
42,US,3112,Platinum,Zerg
42,US,3112,Platinum,Terran
42,US,3112,Platinum,Zerg
42,US,3112,Platinum,Protoss
42,US,3112,Platinum,Zerg
42,US,3112,Platinum,Random
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Random
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Random
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Random
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Terran
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Protoss
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Zerg
42,US,3111,Platinum,Random
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Random
42,US,3110,Platinum,Random
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Terran
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Zerg
42,US,3110,Platinum,Terran
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Random
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Zerg
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Protoss
42,US,3110,Platinum,Zerg
42,US,3110,Platinum,Terran
42,US,3110,Platinum,Terran
42,US,3110,Platinum,Random
42,US,3110,Platinum,Protoss
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Random
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Protoss
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Zerg
42,US,3108,Platinum,Terran
42,US,3108,Platinum,Protoss
