Season,Region,Rating,Rank,Race
46,CN,6451,Grandmaster,Protoss
46,CN,6432,Grandmaster,Terran
46,CN,6270,Grandmaster,Protoss
46,CN,5918,Grandmaster,Protoss
46,CN,5899,Grandmaster,Zerg
46,CN,5896,Grandmaster,Protoss
46,CN,5895,Grandmaster,Terran
46,CN,5858,Grandmaster,Terran
46,CN,5822,Grandmaster,Zerg
46,CN,5793,Grandmaster,Zerg
46,CN,5780,Grandmaster,Terran
46,CN,5771,Grandmaster,Protoss
46,CN,5771,Grandmaster,Protoss
46,CN,5752,Grandmaster,Protoss
46,CN,5740,Grandmaster,Terran
46,CN,5737,Grandmaster,Protoss
46,CN,5729,Grandmaster,Zerg
46,CN,5729,Grandmaster,Protoss
46,CN,5723,Grandmaster,Protoss
46,CN,5713,Grandmaster,Protoss
46,CN,5711,Grandmaster,Terran
46,CN,5709,Grandmaster,Protoss
46,CN,5700,Grandmaster,Terran
46,CN,5685,Grandmaster,Terran
46,CN,5682,Grandmaster,Protoss
46,CN,5671,Grandmaster,Zerg
46,CN,5661,Grandmaster,Protoss
46,CN,5652,Grandmaster,Protoss
46,CN,5642,Grandmaster,Terran
46,CN,5638,Grandmaster,Protoss
46,CN,5636,Grandmaster,Zerg
46,CN,5629,Grandmaster,Protoss
46,CN,5608,Grandmaster,Protoss
46,CN,5578,Grandmaster,Terran
46,CN,5578,Grandmaster,Zerg
46,CN,5568,Grandmaster,Terran
46,CN,5567,Grandmaster,Protoss
46,CN,5560,Grandmaster,Terran
46,CN,5559,Grandmaster,Zerg
46,CN,5559,Grandmaster,Protoss
46,CN,5555,Grandmaster,Protoss
46,CN,5550,Grandmaster,Protoss
46,CN,5544,Grandmaster,Terran
46,CN,5541,Grandmaster,Terran
46,CN,5530,Grandmaster,Zerg
46,CN,5525,Grandmaster,Terran
46,CN,5511,Grandmaster,Terran
46,CN,5510,Grandmaster,Protoss
46,CN,5509,Grandmaster,Protoss
46,CN,5509,Grandmaster,Terran
46,CN,5509,Grandmaster,Protoss
46,CN,5504,Grandmaster,Random
46,CN,5499,Grandmaster,Protoss
46,CN,5498,Grandmaster,Protoss
46,CN,5496,Grandmaster,Terran
46,CN,5482,Grandmaster,Protoss
46,CN,5471,Grandmaster,Zerg
46,CN,5468,Grandmaster,Protoss
46,CN,5463,Grandmaster,Terran
46,CN,5460,Grandmaster,Protoss
46,CN,5444,Grandmaster,Terran
46,CN,5440,Grandmaster,Protoss
46,CN,5435,Grandmaster,Protoss
46,CN,5432,Grandmaster,Protoss
46,CN,5422,Grandmaster,Zerg
46,CN,5420,Grandmaster,Terran
46,CN,5419,Grandmaster,Protoss
46,CN,5418,Grandmaster,Protoss
46,CN,5404,Grandmaster,Protoss
46,CN,5404,Grandmaster,Zerg
46,CN,5400,Grandmaster,Protoss
46,CN,5400,Grandmaster,Terran
46,CN,5399,Grandmaster,Protoss
46,CN,5397,Grandmaster,Protoss
46,CN,5397,Grandmaster,Protoss
46,CN,5390,Grandmaster,Terran
46,CN,5389,Grandmaster,Protoss
46,CN,5386,Grandmaster,Zerg
46,CN,5381,Grandmaster,Zerg
46,CN,5380,Grandmaster,Terran
46,CN,5380,Grandmaster,Terran
46,CN,5377,Grandmaster,Protoss
46,CN,5364,Grandmaster,Protoss
46,CN,5363,Grandmaster,Protoss
46,CN,5361,Grandmaster,Protoss
46,CN,5357,Grandmaster,Terran
46,CN,5356,Grandmaster,Protoss
46,CN,5354,Grandmaster,Terran
46,CN,5353,Grandmaster,Zerg
46,CN,5353,Grandmaster,Terran
46,CN,5352,Grandmaster,Protoss
46,CN,5351,Grandmaster,Protoss
46,CN,5351,Grandmaster,Protoss
46,CN,5350,Grandmaster,Zerg
46,CN,5349,Grandmaster,Protoss
46,CN,5348,Grandmaster,Zerg
46,CN,5348,Grandmaster,Protoss
46,CN,5346,Grandmaster,Protoss
46,CN,5340,Grandmaster,Terran
46,CN,5336,Grandmaster,Terran
46,CN,5332,Grandmaster,Zerg
46,CN,5330,Grandmaster,Terran
46,CN,5328,Grandmaster,Terran
46,CN,5328,Grandmaster,Terran
46,CN,5326,Grandmaster,Protoss
46,CN,5320,Grandmaster,Zerg
46,CN,5319,Grandmaster,Terran
46,CN,5318,Grandmaster,Terran
46,CN,5317,Grandmaster,Protoss
46,CN,5317,Grandmaster,Protoss
46,CN,5317,Grandmaster,Terran
46,CN,5316,Grandmaster,Zerg
46,CN,5315,Grandmaster,Protoss
46,CN,5315,Grandmaster,Protoss
46,CN,5313,Grandmaster,Protoss
46,CN,5313,Grandmaster,Protoss
46,CN,5310,Grandmaster,Protoss
46,CN,5309,Grandmaster,Protoss
46,CN,5309,Grandmaster,Protoss
46,CN,5307,Grandmaster,Protoss
46,CN,5305,Grandmaster,Terran
46,CN,5305,Grandmaster,Protoss
46,CN,5305,Grandmaster,Protoss
46,CN,5304,Grandmaster,Zerg
46,CN,5303,Grandmaster,Zerg
46,CN,5302,Grandmaster,Zerg
46,CN,5300,Grandmaster,Zerg
46,CN,5290,Grandmaster,Zerg
46,CN,5290,Grandmaster,Terran
46,CN,5285,Grandmaster,Protoss
46,CN,5284,Grandmaster,Terran
46,CN,5281,Grandmaster,Protoss
46,CN,5278,Grandmaster,Protoss
46,CN,5275,Grandmaster,Zerg
46,CN,5270,Grandmaster,Zerg
46,CN,5266,Grandmaster,Terran
46,CN,5265,Grandmaster,Protoss
46,CN,5257,Grandmaster,Terran
46,CN,5254,Grandmaster,Zerg
46,CN,5253,Grandmaster,Terran
46,CN,5250,Grandmaster,Protoss
46,CN,5250,Grandmaster,Protoss
46,CN,5246,Grandmaster,Terran
46,CN,5246,Grandmaster,Protoss
46,CN,5245,Grandmaster,Terran
46,CN,5243,Grandmaster,Zerg
46,CN,5239,Grandmaster,Protoss
46,CN,5238,Grandmaster,Terran
46,CN,5238,Grandmaster,Protoss
46,CN,5238,Grandmaster,Protoss
46,CN,5236,Grandmaster,Zerg
46,CN,5234,Grandmaster,Zerg
46,CN,5234,Grandmaster,Protoss
46,CN,5233,Grandmaster,Protoss
46,CN,5232,Grandmaster,Zerg
46,CN,5231,Grandmaster,Protoss
46,CN,5228,Grandmaster,Terran
46,CN,5228,Grandmaster,Terran
46,CN,5224,Grandmaster,Protoss
46,CN,5223,Grandmaster,Random
46,CN,5222,Grandmaster,Terran
46,CN,5220,Grandmaster,Protoss
46,CN,5218,Grandmaster,Random
46,CN,5215,Grandmaster,Terran
46,CN,5209,Grandmaster,Zerg
46,CN,5208,Grandmaster,Protoss
46,CN,5208,Grandmaster,Protoss
46,CN,5207,Grandmaster,Zerg
46,CN,5206,Grandmaster,Terran
46,CN,5206,Grandmaster,Protoss
46,CN,5205,Grandmaster,Zerg
46,CN,5205,Grandmaster,Terran
46,CN,5203,Grandmaster,Protoss
46,CN,5203,Grandmaster,Terran
46,CN,5202,Grandmaster,Protoss
46,CN,5202,Grandmaster,Terran
46,CN,5201,Grandmaster,Terran
46,CN,5195,Grandmaster,Terran
46,CN,5194,Grandmaster,Protoss
46,CN,5193,Grandmaster,Random
46,CN,5192,Grandmaster,Protoss
46,CN,5192,Grandmaster,Terran
46,CN,5191,Grandmaster,Random
46,CN,5191,Grandmaster,Protoss
46,CN,5189,Grandmaster,Zerg
46,CN,5188,Grandmaster,Zerg
46,CN,5187,Grandmaster,Protoss
46,CN,5187,Grandmaster,Zerg
46,CN,5185,Grandmaster,Terran
46,CN,5184,Grandmaster,Protoss
46,CN,5183,Grandmaster,Zerg
46,CN,5181,Grandmaster,Terran
46,CN,5178,Grandmaster,Protoss
46,CN,5177,Grandmaster,Zerg
46,CN,5173,Grandmaster,Zerg
46,CN,5173,Grandmaster,Terran
46,CN,5173,Grandmaster,Terran
46,CN,5171,Grandmaster,Terran
46,CN,5171,Grandmaster,Protoss
46,CN,5169,Grandmaster,Protoss
46,CN,5166,Grandmaster,Protoss
46,CN,5165,Grandmaster,Protoss
46,CN,5164,Grandmaster,Protoss
46,CN,5161,Grandmaster,Zerg
46,CN,5160,Grandmaster,Zerg
46,CN,5158,Grandmaster,Terran
46,CN,5154,Grandmaster,Zerg
46,CN,5153,Grandmaster,Protoss
46,CN,5149,Grandmaster,Protoss
46,CN,5148,Grandmaster,Terran
46,CN,5148,Grandmaster,Zerg
46,CN,5146,Grandmaster,Protoss
46,CN,5146,Grandmaster,Zerg
46,CN,5146,Grandmaster,Protoss
46,CN,5145,Grandmaster,Protoss
46,CN,5144,Grandmaster,Protoss
46,CN,5141,Grandmaster,Protoss
46,CN,5141,Grandmaster,Protoss
46,CN,5138,Grandmaster,Random
46,CN,5138,Grandmaster,Zerg
46,CN,5136,Grandmaster,Protoss
46,CN,5136,Grandmaster,Protoss
46,CN,5134,Grandmaster,Terran
46,CN,5134,Grandmaster,Protoss
46,CN,5131,Grandmaster,Terran
46,CN,5131,Grandmaster,Protoss
46,CN,5130,Grandmaster,Terran
46,CN,5127,Grandmaster,Terran
46,CN,5127,Grandmaster,Protoss
46,CN,5126,Grandmaster,Zerg
46,CN,5126,Grandmaster,Zerg
46,CN,5125,Grandmaster,Protoss
46,CN,5123,Grandmaster,Zerg
46,CN,5122,Grandmaster,Zerg
46,CN,5122,Grandmaster,Protoss
46,CN,5119,Grandmaster,Zerg
46,CN,5119,Grandmaster,Terran
46,CN,5118,Grandmaster,Protoss
46,CN,5118,Grandmaster,Terran
46,CN,5116,Grandmaster,Protoss
46,CN,5115,Grandmaster,Protoss
46,CN,5115,Grandmaster,Random
46,CN,5111,Grandmaster,Protoss
46,CN,5109,Grandmaster,Zerg
46,CN,5109,Grandmaster,Terran
46,CN,5109,Grandmaster,Protoss
46,CN,5108,Grandmaster,Zerg
46,CN,5103,Grandmaster,Zerg
46,CN,5103,Grandmaster,Terran
46,CN,5102,Grandmaster,Protoss
46,CN,5100,Grandmaster,Terran
46,CN,5100,Grandmaster,Terran
46,CN,5099,Grandmaster,Protoss
46,CN,5098,Grandmaster,Terran
46,CN,5098,Grandmaster,Protoss
46,CN,5093,Grandmaster,Protoss
46,CN,5093,Grandmaster,Terran
46,CN,5091,Grandmaster,Zerg
46,CN,5089,Grandmaster,Terran
46,CN,5087,Grandmaster,Protoss
46,CN,5086,Grandmaster,Terran
46,CN,5083,Grandmaster,Zerg
46,CN,5083,Grandmaster,Protoss
46,CN,5082,Grandmaster,Zerg
46,CN,5082,Grandmaster,Terran
46,CN,5081,Grandmaster,Zerg
46,CN,5080,Grandmaster,Protoss
46,CN,5079,Grandmaster,Terran
46,CN,5078,Grandmaster,Protoss
46,CN,5077,Grandmaster,Protoss
46,CN,5077,Grandmaster,Protoss
46,CN,5076,Grandmaster,Protoss
46,CN,5076,Grandmaster,Protoss
46,CN,5075,Grandmaster,Protoss
46,CN,5074,Grandmaster,Terran
46,CN,5074,Grandmaster,Random
46,CN,5073,Grandmaster,Terran
46,CN,5073,Grandmaster,Terran
46,CN,5072,Grandmaster,Protoss
46,CN,5070,Grandmaster,Terran
46,CN,5069,Grandmaster,Protoss
46,CN,5068,Grandmaster,Protoss
46,CN,5067,Grandmaster,Terran
46,CN,5067,Grandmaster,Terran
46,CN,5065,Grandmaster,Zerg
46,CN,5065,Grandmaster,Protoss
46,CN,5064,Grandmaster,Protoss
46,CN,5064,Grandmaster,Protoss
46,CN,5063,Grandmaster,Protoss
46,CN,5062,Grandmaster,Protoss
46,CN,5058,Grandmaster,Terran
46,CN,5057,Grandmaster,Protoss
46,CN,5056,Grandmaster,Protoss
46,CN,5055,Grandmaster,Terran
46,CN,5053,Grandmaster,Zerg
46,CN,5052,Grandmaster,Protoss
46,CN,5052,Grandmaster,Zerg
46,CN,5050,Grandmaster,Terran
46,CN,5048,Grandmaster,Terran
46,CN,5048,Grandmaster,Protoss
46,CN,5046,Grandmaster,Terran
46,CN,5046,Grandmaster,Terran
46,CN,5044,Grandmaster,Random
46,CN,5044,Grandmaster,Zerg
46,CN,5043,Grandmaster,Protoss
46,CN,5043,Grandmaster,Terran
46,CN,5042,Grandmaster,Zerg
46,CN,5041,Grandmaster,Terran
46,CN,5041,Grandmaster,Protoss
46,CN,5040,Grandmaster,Terran
46,CN,5040,Grandmaster,Zerg
46,CN,5038,Grandmaster,Terran
46,CN,5037,Grandmaster,Protoss
46,CN,5037,Grandmaster,Terran
46,CN,5036,Grandmaster,Terran
46,CN,5033,Grandmaster,Terran
46,CN,5032,Grandmaster,Zerg
46,CN,5029,Grandmaster,Protoss
