Season,Region,Rating,Rank,Race
46,KR,1716,Bronze,Protoss
46,KR,1715,Bronze,Terran
46,KR,1712,Bronze,Protoss
46,KR,1710,Bronze,Protoss
46,KR,1708,Bronze,Terran
46,KR,1703,Bronze,Protoss
46,KR,1700,Bronze,Terran
46,KR,1699,Bronze,Random
46,KR,1695,Bronze,Terran
46,KR,1692,Bronze,Terran
46,KR,1690,Bronze,Protoss
46,KR,1688,Bronze,Protoss
46,KR,1685,Bronze,Terran
46,KR,1682,Bronze,Protoss
46,KR,1680,Bronze,Protoss
46,KR,1679,Bronze,Protoss
46,KR,1676,Bronze,Protoss
46,KR,1674,Bronze,Random
46,KR,1674,Bronze,Terran
46,KR,1671,Bronze,Zerg
46,KR,1668,Bronze,Protoss
46,KR,1668,Bronze,Protoss
46,KR,1663,Bronze,Terran
46,KR,1661,Bronze,Terran
46,KR,1658,Bronze,Zerg
46,KR,1654,Bronze,Terran
46,KR,1647,Bronze,Protoss
46,KR,1639,Bronze,Terran
46,KR,1631,Bronze,Protoss
46,KR,1627,Bronze,Random
46,KR,1626,Bronze,Protoss
46,KR,1622,Bronze,Zerg
46,KR,1619,Bronze,Terran
46,KR,1615,Bronze,Terran
46,KR,1607,Bronze,Terran
46,KR,1603,Bronze,Terran
46,KR,1593,Bronze,Terran
46,KR,1592,Bronze,Terran
46,KR,1587,Bronze,Protoss
46,KR,1586,Bronze,Zerg
46,KR,1571,Bronze,Zerg
46,KR,1562,Bronze,Protoss
46,KR,1557,Bronze,Protoss
46,KR,1548,Bronze,Protoss
46,KR,1547,Bronze,Protoss
46,KR,1532,Bronze,Terran
46,KR,1531,Bronze,Zerg
46,KR,1521,Bronze,Terran
46,KR,1515,Bronze,Protoss
46,KR,1509,Bronze,Random
46,KR,1484,Bronze,Random
46,KR,1477,Bronze,Random
46,KR,1427,Bronze,Zerg
46,KR,1421,Bronze,Protoss
46,KR,1406,Bronze,Zerg
46,KR,1369,Bronze,Random
46,KR,1363,Bronze,Zerg
46,KR,1311,Bronze,Terran
46,KR,1308,Bronze,Random
46,KR,1004,Bronze,Terran
46,KR,218,Bronze,Terran
46,KR,0,Bronze,Protoss
